job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,TRUE,470,428,14,84,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.02,n/a,n/a,0.00,0.00,0.04
ptr_eq,TRUE,384,347,6,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.03
array_eq,TRUE,1256,1415,514,2332,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.20,1.17,n/a,n/a,0.00,0.01,1.21
array_eq_c_str,TRUE,1275,1675,644,2765,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.64,0.61,n/a,n/a,0.00,0.01,0.66
array_eq_c_str_ignore_case,TRUE,1161,669,100,581,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.07,n/a,n/a,n/a,0.00,0.09
array_eq_ignore_case,TRUE,1055,1172,322,2971,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.15,1.10,n/a,n/a,0.00,0.02,1.16
add_size_checked,TRUE,545,493,35,197,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.03
add_size_saturating,TRUE,519,485,26,172,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.05,n/a,n/a,0.00,0.00,0.07
mul_size_checked,TRUE,543,491,35,171,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.13,0.12,n/a,n/a,0.00,0.00,0.14
mul_size_saturating,TRUE,464,401,24,147,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.31,0.29,n/a,n/a,0.00,0.00,0.31
is_power_of_two,TRUE,379,338,7,38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.03
round_up_to_power_of_two,TRUE,540,475,33,659,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.10,0.06,n/a,n/a,0.00,0.02,0.11
array_list_back,TRUE,2088,1457,401,1545,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.45,0.41,n/a,n/a,0.00,0.02,0.48
array_list_capacity,TRUE,1684,1221,315,1232,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.34,0.31,n/a,n/a,0.00,0.01,0.35
array_list_clean_up,TRUE,1113,868,138,552,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.04
array_list_clear,TRUE,1295,975,208,818,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.44,0.42,n/a,n/a,0.00,0.01,0.45
array_list_comparator_string,TRUE,1172,1420,432,2830,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.52,5.46,n/a,n/a,0.00,0.03,5.54
array_list_copy,TRUE,2494,1699,485,1875,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.42,1.33,n/a,n/a,0.00,0.05,1.44
array_list_ensure_capacity,TRUE,2217,1546,380,1519,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.52,0.50,n/a,n/a,0.00,0.01,0.54
array_list_erase,TRUE,2689,1700,500,1909,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.69,2.60,n/a,n/a,0.00,0.05,2.72
array_list_front,TRUE,2021,1431,388,1497,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.24,0.21,n/a,n/a,0.00,0.02,0.26
array_list_get_at,TRUE,2038,1454,394,1528,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.73,0.68,n/a,n/a,0.00,0.02,0.74
array_list_get_at_ptr,TRUE,1992,1422,382,1493,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.25,0.22,n/a,n/a,0.00,0.01,0.26
array_list_init_dynamic,TRUE,1555,1031,218,835,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.18,0.16,n/a,n/a,0.00,0.00,0.19
array_list_init_static,TRUE,1666,1246,256,1019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.20,0.18,n/a,n/a,0.00,0.01,0.22
array_list_length,TRUE,1655,1216,315,1237,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.22,0.20,n/a,n/a,0.00,0.01,0.24
array_list_pop_back,TRUE,1918,1314,351,1367,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.51,0.48,n/a,n/a,0.00,0.01,0.52
array_list_pop_front,TRUE,2063,1420,379,1469,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.75,0.71,n/a,n/a,0.00,0.02,0.77
array_list_pop_front_n,TRUE,1990,1418,379,1482,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.67,1.63,n/a,n/a,0.00,0.03,1.69
array_list_push_back,TRUE,2750,1880,497,2088,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.85,0.79,n/a,n/a,0.00,0.04,0.87
array_list_push_front,TRUE,2685,1841,498,2072,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.76,0.69,n/a,n/a,0.00,0.06,0.78
