job_name,pp_loc,opsem_loc,result,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
ptr_eq,n/a,n/a,TRUE,6,30,n/a,n/a,n/a,n/a,0.01,0.01,0.02,0.01,n/a,n/a,0.01,0.01,0.03
is_power_of_two,n/a,n/a,TRUE,7,38,n/a,n/a,n/a,n/a,0.01,0.01,0.02,0.01,n/a,n/a,0.00,0.01,0.03
mul_size_checked,n/a,n/a,TRUE,18,105,n/a,n/a,n/a,n/a,0.01,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.04
add_size_checked,n/a,n/a,TRUE,18,105,n/a,n/a,n/a,n/a,0.00,0.01,0.01,0.01,n/a,n/a,0.00,0.00,0.02
mul_size_saturating,n/a,n/a,TRUE,14,77,n/a,n/a,n/a,n/a,0.01,0.01,0.02,0.01,n/a,n/a,0.00,0.01,0.02
nospec_mask,n/a,n/a,TRUE,14,84,n/a,n/a,n/a,n/a,0.01,0.01,0.03,0.02,n/a,n/a,0.01,0.01,0.04
add_size_saturating,n/a,n/a,TRUE,26,172,n/a,n/a,n/a,n/a,0.01,0.01,0.08,0.06,n/a,n/a,0.01,0.01,0.09
round_up_to_power_of_two,n/a,n/a,TRUE,26,635,n/a,n/a,n/a,n/a,0.01,0.01,0.09,0.06,n/a,n/a,0.01,0.02,0.10
array_eq_c_str_ignore_case,n/a,n/a,TRUE,225,2861,n/a,3,3,8,0.01,0.03,0.05,0.01,n/a,n/a,0.01,0.02,0.06
array_list_clean_up,n/a,n/a,TRUE,28,142,n/a,n/a,n/a,2,0.01,0.04,0.02,0.01,n/a,n/a,0.01,0.01,0.03
array_list_clear,n/a,n/a,TRUE,36,178,n/a,n/a,n/a,n/a,0.01,0.06,0.21,0.21,n/a,n/a,0.01,0.01,0.22
array_list_capacity,n/a,n/a,TRUE,63,299,n/a,3,3,n/a,0.01,0.09,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_eq_ignore_case,n/a,n/a,TRUE,170,2585,n/a,4,4,4,0.03,0.04,0.72,0.66,n/a,n/a,0.01,0.02,0.74
array_list_back,n/a,n/a,TRUE,79,354,2,5,7,n/a,0.01,0.16,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_eq_c_str,n/a,n/a,TRUE,367,1808,n/a,3,3,8,0.01,0.03,0.79,0.76,n/a,n/a,0.01,0.01,0.81
array_list_ensure_capacity,n/a,n/a,TRUE,72,376,n/a,5,5,2,0.02,0.14,0.28,0.24,n/a,n/a,0.01,0.01,0.30
array_list_front,n/a,n/a,TRUE,79,351,2,5,7,n/a,0.01,0.15,0.11,0.08,n/a,n/a,0.01,0.01,0.12
array_list_copy,n/a,n/a,TRUE,88,409,n/a,6,6,2,0.01,0.17,0.60,0.56,n/a,n/a,0.01,0.01,0.61
array_list_init_dynamic,n/a,n/a,TRUE,33,154,n/a,n/a,n/a,2,0.01,0.03,0.03,0.01,n/a,n/a,0.00,0.01,0.04
array_list_init_static,n/a,n/a,TRUE,58,306,n/a,n/a,n/a,3,0.01,0.08,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_list_get_at,n/a,n/a,TRUE,85,382,2,5,7,n/a,0.02,0.16,0.27,0.23,n/a,n/a,0.01,0.01,0.28
array_list_length,n/a,n/a,TRUE,59,293,n/a,3,3,n/a,0.01,0.10,0.13,0.10,n/a,n/a,0.01,0.01,0.13
array_list_get_at_ptr,n/a,n/a,TRUE,70,339,n/a,3,3,n/a,0.01,0.13,0.14,0.12,n/a,n/a,0.01,0.01,0.16
array_list_pop_back,n/a,n/a,TRUE,68,330,n/a,3,3,n/a,0.01,0.14,0.42,0.39,n/a,n/a,0.01,0.01,0.44
array_list_erase,n/a,n/a,TRUE,107,491,8,3,11,n/a,0.01,0.29,1.29,1.26,n/a,n/a,0.01,0.01,1.30
array_list_pop_front,n/a,n/a,TRUE,85,384,4,3,7,n/a,0.02,0.15,0.55,0.51,n/a,n/a,0.01,0.01,0.57
array_list_push_back,n/a,n/a,TRUE,101,477,2,7,9,2,0.02,0.21,0.17,0.14,n/a,n/a,0.01,0.01,0.18
array_list_sort,n/a,n/a,TRUE,63,311,n/a,3,3,n/a,0.01,0.10,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_list_push_front,n/a,n/a,TRUE,106,494,4,9,13,2,0.01,0.21,0.16,0.13,n/a,n/a,0.01,0.01,0.17
array_list_pop_front_n,n/a,n/a,TRUE,92,427,4,3,7,n/a,0.01,0.15,0.98,0.94,n/a,n/a,0.01,0.01,0.99
array_list_shrink_to_fit,n/a,n/a,TRUE,96,444,6,3,11,n/a,0.02,0.16,0.54,0.51,n/a,n/a,0.01,0.01,0.56
array_list_set_at,n/a,n/a,TRUE,109,517,2,7,9,2,0.02,0.19,0.60,0.56,n/a,n/a,0.01,0.01,0.61
byte_buf_append,n/a,n/a,TRUE,68,314,2,n/a,2,2,0.01,0.12,0.05,0.03,n/a,n/a,0.01,0.01,0.07
byte_buf_clean_up,n/a,n/a,TRUE,28,128,n/a,n/a,n/a,n/a,0.01,0.02,0.02,0.01,n/a,n/a,0.01,0.01,0.03
byte_buf_advance,n/a,n/a,TRUE,108,502,n/a,4,4,1,0.01,0.30,0.05,0.03,n/a,n/a,0.01,0.01,0.07
byte_buf_append_dynamic,n/a,n/a,TRUE,84,382,6,2,8,4,0.01,0.16,0.07,0.04,n/a,n/a,0.01,0.01,0.08
byte_buf_clean_up_secure,n/a,n/a,TRUE,28,131,n/a,n/a,n/a,n/a,0.00,0.04,0.02,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_append_with_lookup,n/a,n/a,TRUE,155,720,10,n/a,2,1,0.03,0.19,0.12,0.05,n/a,n/a,0.01,0.01,0.14
array_list_swap_contents,n/a,n/a,TRUE,110,518,n/a,6,6,n/a,0.01,0.51,0.25,0.22,n/a,n/a,0.01,0.01,0.26
byte_buf_from_array,n/a,n/a,TRUE,23,112,n/a,n/a,n/a,n/a,0.01,0.03,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_eq_c_str,n/a,n/a,TRUE,266,1347,n/a,3,3,8,0.01,0.16,0.05,0.01,n/a,n/a,0.01,0.01,0.07
byte_buf_eq_c_str_ignore_case,n/a,n/a,TRUE,252,3028,n/a,3,3,8,0.01,0.14,0.06,0.01,n/a,n/a,0.01,0.02,0.08
byte_buf_from_empty_array,n/a,n/a,TRUE,23,112,n/a,n/a,n/a,n/a,0.01,0.03,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_init,n/a,n/a,TRUE,34,155,n/a,n/a,n/a,n/a,0.01,0.03,0.03,0.01,n/a,n/a,0.00,0.01,0.04
byte_buf_from_c_str,n/a,n/a,TRUE,173,957,n/a,n/a,n/a,18,0.01,0.03,0.33,0.31,n/a,n/a,0.01,0.01,0.34
byte_buf_reserve_relative,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
byte_buf_init_copy_from_cursor,n/a,n/a,TRUE,45,234,n/a,4,4,n/a,0.01,0.08,0.08,0.05,n/a,n/a,0.01,0.01,0.09
byte_buf_reserve,n/a,n/a,TRUE,46,205,n/a,n/a,n/a,4,0.01,0.04,0.04,0.02,n/a,n/a,0.01,0.01,0.06
byte_buf_reset,n/a,n/a,TRUE,40,194,n/a,n/a,n/a,1,0.01,0.03,0.06,0.04,n/a,n/a,0.01,0.01,0.07
byte_buf_cat,n/a,n/a,TRUE,245,1094,6,6,12,10,0.04,0.99,0.21,0.14,n/a,n/a,0.01,0.01,0.23
byte_buf_secure_zero,n/a,n/a,TRUE,48,227,n/a,n/a,n/a,1,0.01,0.05,0.07,0.04,n/a,n/a,0.01,0.01,0.08
byte_buf_init_copy,n/a,n/a,TRUE,113,705,n/a,2,2,7,0.03,0.26,0.37,0.27,n/a,n/a,0.01,0.03,0.38
byte_buf_write_be16,n/a,n/a,TRUE,65,325,n/a,2,2,3,0.01,0.09,0.05,0.02,n/a,n/a,0.01,0.01,0.07
byte_buf_write,n/a,n/a,TRUE,89,432,2,2,4,3,0.02,0.08,0.18,0.14,n/a,n/a,0.01,0.01,0.19
array_list_swap,n/a,n/a,TRUE,144,857,12,12,20,4,0.01,0.19,3.16,3.12,n/a,n/a,0.01,0.02,3.17
byte_buf_write_be64,n/a,n/a,TRUE,65,323,n/a,2,2,3,0.01,0.10,0.04,0.02,n/a,n/a,0.01,0.01,0.06
byte_buf_write_be32,n/a,n/a,TRUE,65,325,n/a,2,2,3,0.01,0.15,0.05,0.03,n/a,n/a,0.01,0.01,0.07
byte_buf_eq_ignore_case,n/a,n/a,TRUE,207,2825,n/a,4,4,4,0.04,0.26,1.58,1.48,n/a,n/a,0.01,0.03,1.60
byte_cursor_advance,n/a,n/a,TRUE,69,329,n/a,3,3,n/a,0.01,0.06,0.06,0.04,n/a,n/a,0.01,0.01,0.07
byte_buf_write_from_whole_cursor,n/a,n/a,TRUE,117,538,2,5,7,3,0.01,0.15,0.13,0.10,n/a,n/a,0.01,0.01,0.15
byte_buf_write_u8,n/a,n/a,TRUE,60,305,n/a,2,2,3,0.01,0.09,0.04,0.02,n/a,n/a,0.01,0.01,0.05
byte_buf_write_from_whole_buffer,n/a,n/a,TRUE,146,658,2,6,8,2,0.01,0.23,0.13,0.10,n/a,n/a,0.01,0.01,0.15
byte_cursor_advance_nospec,n/a,n/a,TRUE,72,374,2,1,3,n/a,0.01,0.04,0.16,0.13,n/a,n/a,0.01,0.01,0.18
array_list_comparator_string,n/a,n/a,TRUE,356,2549,38,n/a,9,10,0.14,0.07,6.67,6.46,n/a,n/a,0.01,0.04,6.70
