job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_1,TRUE,633,17705,10,36,0,0,3.94,2.95,0.05,0,0.01,0.80,3.97,0
byte_buf_cursor_1,TRUE,392,2829,5,26,0,0,0.13,0.05,0.03,0,0.00,0.03,0.14,0
priority_queue_1,TRUE,1083,7463,27,27,0,0,61.27,60.98,0.08,0,0.01,0.18,61.31,0
priority_queue_scheduler,TRUE,3278,16065,305,327,0,0,9.00,6.93,0.42,0,0.01,1.26,9.11,0
huffman_test_transitive,TRUE,793,4412,12,70,0,0,0.40,0.23,0.06,0,0.01,0.07,0.43,0
huffman_test_transitive_chunked,TRUE,830,4634,12,70,0,0,0.54,0.32,0.08,0,0.01,0.11,0.57,0
profile_collection_new_from_buffer,TRUE,7640,283693,791,122,0,0,46.84,1.46,3.76,0,0.01,29.77,47.60,0
pem_objects_init_from_file_contents,TRUE,336,1546,0,37,0,0,0.15,0.11,0.02,0,0.00,0.02,0.17,0
sanitize_pem,TRUE,186,946,1,15,0,0,0.05,0.03,0.01,0,0.01,0.01,0.06,0
input_stream_from_cursor,TRUE,193,1062,6,0,0,0,0.10,0.04,0.03,0,0.01,0.01,0.11,0
der,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecc,TRUE,1373,8618,0,154,0,0,0.20,0.01,0.02,0,0.01,0.08,0.23,0
rsa,TRUE,3489,17084,0,367,0,0,1.78,1.52,0.06,0,0.01,0.09,1.85,0
sha1,TRUE,2290,10907,0,99,0,0,1.90,1.69,0.15,0,0.01,0.03,1.96,0
sha256,TRUE,2281,10864,0,99,0,0,1.69,1.45,0.18,0,0.01,0.03,1.76,0
sha256_hmac,TRUE,734,3379,0,66,0,0,0.52,0.47,0.02,0,0.01,0.02,0.54,0
