job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,TRUE,470,428,14,84,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.00,0.01,0.05
ptr_eq,TRUE,384,347,6,30,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
array_eq,TRUE,1256,1415,514,2332,n/a,72,n/a,n/a,0.04,0.02,n/a,n/a,1.22,1.14,n/a,n/a,0.01,0.02,1.24
array_eq_c_str,TRUE,1275,1675,644,2765,n/a,78,n/a,n/a,0.02,0.01,n/a,n/a,0.65,0.60,n/a,n/a,0.01,0.02,0.68
array_eq_c_str_ignore_case,TRUE,1161,669,100,581,n/a,11,n/a,n/a,0.01,0.01,n/a,n/a,0.08,0.06,n/a,n/a,n/a,0.01,0.09
array_eq_ignore_case,TRUE,1055,1172,322,2971,n/a,48,n/a,n/a,0.05,0.02,n/a,n/a,1.17,1.05,n/a,n/a,0.01,0.03,1.21
add_size_checked,TRUE,545,493,35,197,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.02,n/a,n/a,0.01,0.01,0.06
add_size_saturating,TRUE,519,485,26,172,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.07,0.06,n/a,n/a,0.01,0.01,0.08
mul_size_checked,TRUE,543,491,35,171,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.14,0.12,n/a,n/a,0.01,0.01,0.15
mul_size_saturating,TRUE,464,401,24,147,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.28,0.26,n/a,n/a,0.01,0.01,0.28
is_power_of_two,TRUE,379,338,7,38,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.01,0.03
round_up_to_power_of_two,TRUE,540,475,33,659,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.11,0.06,n/a,n/a,0.01,0.02,0.11
array_list_back,TRUE,2088,1457,401,1545,2,95,n/a,n/a,0.06,0.03,n/a,n/a,0.56,0.43,n/a,n/a,0.01,0.03,0.58
array_list_capacity,TRUE,1684,1221,315,1232,n/a,75,n/a,n/a,0.03,0.03,n/a,n/a,0.28,0.20,n/a,n/a,0.01,0.01,0.30
array_list_clean_up,TRUE,1113,868,138,552,n/a,33,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.01,n/a,n/a,0.01,0.01,0.06
array_list_clear,TRUE,1295,975,208,818,n/a,43,n/a,n/a,0.04,0.02,n/a,n/a,0.75,0.66,n/a,n/a,0.01,0.02,0.76
array_list_comparator_string,TRUE,1172,1420,432,2830,37,20,n/a,n/a,0.13,0.03,n/a,n/a,4.56,4.35,n/a,n/a,0.01,0.04,4.59
array_list_copy,TRUE,2494,1699,485,1875,n/a,111,n/a,n/a,0.07,0.05,n/a,n/a,1.76,1.56,n/a,n/a,0.01,0.04,1.78
array_list_ensure_capacity,TRUE,2217,1546,380,1519,n/a,91,n/a,n/a,0.05,0.06,n/a,n/a,1.00,0.82,n/a,n/a,0.01,0.03,1.03
array_list_erase,TRUE,2689,1700,500,1909,8,119,n/a,n/a,0.08,0.03,n/a,n/a,2.49,2.34,n/a,n/a,0.01,0.03,2.52
