job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,TRUE,470,428,14,84,n/a,n/a,n/a,n/a,0.00,n/a,n/a,n/a,0.02,0.02,n/a,n/a,0.01,0.01,0.02
ptr_eq,TRUE,384,347,6,30,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.01,0.01,0.04
array_eq,TRUE,1256,1415,453,2140,n/a,72,n/a,n/a,0.04,0.02,n/a,n/a,1.25,1.17,n/a,n/a,0.01,0.01,1.27
array_eq_c_str,TRUE,1275,1675,551,2540,n/a,78,n/a,n/a,0.02,0.01,n/a,n/a,1.08,1.02,n/a,n/a,0.01,0.01,1.10
array_eq_c_str_ignore_case,TRUE,1161,669,93,548,n/a,11,n/a,n/a,0.00,0.01,n/a,n/a,0.02,0.01,n/a,n/a,n/a,0.01,0.03
array_eq_ignore_case,TRUE,1055,1172,283,2859,n/a,48,n/a,n/a,0.05,0.02,n/a,n/a,0.94,0.82,n/a,n/a,0.01,0.03,0.96
add_size_checked,TRUE,545,493,31,186,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.02,n/a,n/a,0.01,0.01,0.05
add_size_saturating,TRUE,519,485,26,172,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.07,0.05,n/a,n/a,0.01,0.01,0.08
mul_size_checked,TRUE,543,491,31,160,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.14,0.12,n/a,n/a,0.01,0.01,0.15
mul_size_saturating,TRUE,464,401,24,147,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.28,0.26,n/a,n/a,0.01,0.01,0.28
is_power_of_two,TRUE,379,338,7,38,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.01,0.01,0.03
round_up_to_power_of_two,TRUE,540,475,28,645,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.09,0.05,n/a,n/a,0.01,0.03,0.10
array_list_back,TRUE,2088,1457,217,1070,2,95,n/a,n/a,0.02,0.02,n/a,n/a,0.23,0.15,n/a,n/a,0.01,0.02,0.25
array_list_capacity,TRUE,1684,1221,170,859,n/a,75,n/a,n/a,0.03,0.02,n/a,n/a,0.26,0.19,n/a,n/a,0.01,0.01,0.28
array_list_clean_up,TRUE,1113,868,71,378,n/a,33,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.01,n/a,n/a,0.01,0.01,0.06
array_list_clear,TRUE,1295,975,119,585,n/a,43,n/a,n/a,0.01,0.01,n/a,n/a,0.50,0.46,n/a,n/a,0.01,0.01,0.50
array_list_comparator_string,TRUE,1172,1420,433,2829,37,20,n/a,n/a,0.12,0.03,n/a,n/a,6.22,6.03,n/a,n/a,0.01,0.03,6.24
array_list_copy,TRUE,2494,1699,274,1327,n/a,111,n/a,n/a,0.04,0.04,n/a,n/a,0.82,0.69,n/a,n/a,0.01,0.04,0.85
array_list_ensure_capacity,TRUE,2217,1546,209,1080,n/a,91,n/a,n/a,0.05,0.06,n/a,n/a,0.87,0.70,n/a,n/a,0.01,0.03,0.90
array_list_erase,TRUE,2689,1700,263,1304,8,119,n/a,n/a,0.04,0.03,n/a,n/a,1.62,1.52,n/a,n/a,0.01,0.03,1.65
array_list_front,TRUE,2021,1431,212,1042,2,91,n/a,n/a,0.02,0.02,n/a,n/a,0.22,0.15,n/a,n/a,0.01,0.02,0.23
array_list_get_at,TRUE,2038,1454,218,1073,2,91,n/a,n/a,0.03,0.03,n/a,n/a,0.38,0.28,n/a,n/a,0.01,0.03,0.41
array_list_get_at_ptr,TRUE,1992,1422,206,1038,n/a,89,n/a,n/a,0.02,0.03,n/a,n/a,0.27,0.20,n/a,n/a,0.01,0.01,0.29
array_list_init_dynamic,TRUE,1555,1031,115,575,n/a,50,n/a,n/a,0.02,0.01,n/a,n/a,0.29,0.24,n/a,n/a,0.01,0.01,0.30
array_list_init_static,TRUE,1666,1246,152,756,n/a,53,n/a,n/a,0.02,0.02,n/a,n/a,0.23,0.17,n/a,n/a,0.01,0.01,0.25
array_list_length,TRUE,1655,1216,168,859,n/a,75,n/a,n/a,0.02,0.02,n/a,n/a,0.25,0.19,n/a,n/a,0.01,0.01,0.27
array_list_pop_back,TRUE,1918,1314,186,944,n/a,85,n/a,n/a,0.03,0.02,n/a,n/a,0.57,0.49,n/a,n/a,0.01,0.01,0.58
array_list_pop_front,TRUE,2063,1420,206,1026,4,89,n/a,n/a,0.03,0.02,n/a,n/a,0.56,0.49,n/a,n/a,0.01,0.02,0.58
array_list_pop_front_n,TRUE,1990,1418,214,1059,4,85,n/a,n/a,0.02,0.03,n/a,n/a,0.73,0.63,n/a,n/a,0.01,0.03,0.75
array_list_push_back,TRUE,2750,1880,283,1532,2,115,n/a,n/a,0.05,0.04,n/a,n/a,0.92,0.78,n/a,n/a,0.01,0.05,0.96
array_list_push_front,TRUE,2685,1841,284,1516,8,113,n/a,n/a,0.05,0.04,n/a,n/a,1.11,0.96,n/a,n/a,0.01,0.05,1.14
array_list_set_at,TRUE,2632,1846,279,1521,2,112,n/a,n/a,0.06,0.04,n/a,n/a,1.44,1.28,n/a,n/a,0.01,0.05,1.48
array_list_shrink_to_fit,TRUE,2391,1494,247,1232,6,98,n/a,n/a,0.04,0.03,n/a,n/a,1.20,1.09,n/a,n/a,0.01,0.04,1.23
array_list_sort,TRUE,1758,1295,175,895,n/a,78,n/a,n/a,0.03,0.03,n/a,n/a,0.34,0.26,n/a,n/a,0.01,0.01,0.36
array_list_swap,TRUE,2124,1608,258,1462,14,82,n/a,n/a,0.04,0.03,n/a,n/a,4.16,4.06,n/a,n/a,0.01,0.03,4.18
array_list_swap_contents,TRUE,2865,1915,329,1640,n/a,149,n/a,n/a,0.07,0.07,n/a,n/a,0.61,0.43,n/a,n/a,0.01,0.02,0.65
byte_buf_advance,TRUE,2311,1569,284,1332,n/a,103,n/a,n/a,0.04,0.03,n/a,n/a,0.15,0.05,n/a,n/a,0.01,0.02,0.18
byte_buf_append,TRUE,1764,1178,175,818,2,62,n/a,n/a,0.01,0.02,n/a,n/a,0.07,0.03,n/a,n/a,0.01,0.01,0.09
byte_buf_append_dynamic,TRUE,2373,1423,227,1086,6,85,n/a,n/a,0.04,0.02,n/a,n/a,0.15,0.06,n/a,n/a,0.01,0.01,0.18
byte_buf_append_with_lookup,TRUE,1881,1610,347,1687,10,119,n/a,n/a,0.07,0.05,n/a,n/a,0.22,0.07,n/a,n/a,0.01,0.02,0.25
byte_buf_cat,TRUE,4241,2810,671,3071,6,257,n/a,n/a,0.16,0.18,n/a,n/a,0.57,0.14,n/a,n/a,0.01,0.03,0.64
byte_buf_clean_up,TRUE,922,700,63,299,n/a,21,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_clean_up_secure,TRUE,991,750,72,342,n/a,25,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.01,n/a,n/a,0.01,0.01,0.05
byte_buf_eq,TRUE,2547,2224,660,3092,n/a,166,n/a,n/a,0.11,0.06,n/a,n/a,1.20,0.99,n/a,n/a,0.01,0.02,1.24
byte_buf_eq_c_str,TRUE,1990,819,106,608,n/a,15,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.01,n/a,n/a,n/a,0.01,0.05
byte_buf_eq_c_str_ignore_case,TRUE,1900,819,106,608,n/a,15,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.01,n/a,n/a,n/a,0.01,0.05
byte_buf_eq_ignore_case,TRUE,2320,1938,485,3854,n/a,142,n/a,n/a,0.10,0.05,n/a,n/a,1.02,0.82,n/a,n/a,0.01,0.03,1.06
