job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,TRUE,470,428,14,84,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.03,0.02,n/a,n/a,0.00,0.01,0.04
ptr_eq,TRUE,384,347,6,30,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.02,0.01,n/a,n/a,0.01,0.01,0.03
array_eq,n/a,1256,1149,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
array_eq_c_str,TRUE,1275,1387,365,1804,n/a,3,3,8,0.02,0.01,0.01,0.05,1.06,1.01,n/a,n/a,0.01,0.02,1.08
array_eq_c_str_ignore_case,TRUE,1161,1166,223,2857,n/a,3,3,8,0.01,0.01,0.01,0.03,0.06,0.01,n/a,n/a,0.01,0.02,0.08
array_eq_ignore_case,TRUE,1055,1018,174,2596,n/a,4,4,4,0.03,0.01,0.01,0.04,1.10,1.03,n/a,n/a,0.01,0.03,1.12
add_size_checked,TRUE,545,444,18,105,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.02,0.02,0.01,n/a,n/a,0.01,0.01,0.03
add_size_saturating,TRUE,519,485,26,172,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.06,0.05,n/a,n/a,0.01,0.01,0.08
mul_size_checked,TRUE,543,442,18,105,n/a,n/a,n/a,n/a,0.00,n/a,n/a,0.01,0.02,0.01,n/a,n/a,0.00,0.00,0.03
mul_size_saturating,TRUE,464,401,14,77,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.04
is_power_of_two,TRUE,379,338,7,38,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.03
round_up_to_power_of_two,TRUE,540,449,26,635,n/a,n/a,n/a,n/a,0.00,n/a,n/a,0.02,0.13,0.10,n/a,n/a,0.01,0.03,0.15
