job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,TRUE,470,428,14,84,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.04,0.03,n/a,n/a,0.00,0.01,0.05
ptr_eq,TRUE,384,347,6,30,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.02,0.01,n/a,n/a,0.01,0.01,0.02
array_eq,n/a,1256,1261,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
array_eq_c_str,TRUE,1275,1500,372,1826,n/a,58,3,8,0.02,0.01,0.01,0.04,1.06,0.99,n/a,n/a,0.01,0.03,1.08
array_eq_c_str_ignore_case,TRUE,1161,1232,226,2863,n/a,25,3,8,0.01,0.01,0.01,0.04,0.07,0.01,n/a,n/a,0.01,0.02,0.08
array_eq_ignore_case,TRUE,1055,1066,196,2648,n/a,28,4,4,0.03,0.02,0.01,0.04,1.09,1.00,n/a,n/a,0.01,0.03,1.11
add_size_checked,TRUE,545,444,18,105,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.04,0.02,n/a,n/a,0.01,0.01,0.05
add_size_saturating,TRUE,519,485,26,172,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.07,0.06,n/a,n/a,0.01,0.01,0.08
mul_size_checked,TRUE,543,442,18,105,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.02,0.01,n/a,n/a,0.01,0.01,0.03
mul_size_saturating,TRUE,464,401,14,77,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.03
is_power_of_two,TRUE,379,338,7,38,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.04
round_up_to_power_of_two,TRUE,540,449,26,635,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.02,0.10,0.06,n/a,n/a,0.01,0.03,0.10
array_list_back,TRUE,2088,1052,83,362,2,5,7,n/a,0.01,0.01,0.03,0.15,0.15,0.11,n/a,n/a,0.01,0.01,0.16
array_list_capacity,TRUE,1684,895,66,305,n/a,3,3,n/a,0.01,0.01,0.02,0.11,0.13,0.10,n/a,n/a,0.01,0.01,0.15
array_list_clean_up,TRUE,1113,726,28,141,n/a,n/a,n/a,2,0.01,0.01,0.01,0.05,0.03,0.01,n/a,n/a,0.01,0.01,0.05
array_list_clear,TRUE,1295,715,36,175,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.06,0.22,0.20,n/a,n/a,0.01,0.01,0.22
array_list_comparator_string,TRUE,1172,1382,376,2618,37,20,9,10,0.11,0.04,0.02,0.07,6.50,6.31,n/a,n/a,0.01,0.04,6.53
array_list_copy,TRUE,2494,1134,91,408,n/a,8,6,2,0.01,0.01,0.04,0.17,0.56,0.53,n/a,n/a,0.01,0.01,0.58
array_list_ensure_capacity,TRUE,2217,1103,77,380,n/a,7,5,2,0.01,0.01,0.06,0.24,0.20,0.17,n/a,n/a,0.01,0.01,0.21
array_list_erase,TRUE,2689,1242,110,493,8,3,11,n/a,0.01,0.01,0.06,0.36,1.16,1.13,n/a,n/a,0.01,0.01,1.18
array_list_front,TRUE,2021,1032,83,359,2,5,7,n/a,0.01,0.01,0.03,0.12,0.21,0.18,n/a,n/a,0.01,0.01,0.23
array_list_get_at,TRUE,2038,1057,89,390,2,5,7,n/a,0.01,0.01,0.04,0.15,0.22,0.20,n/a,n/a,0.01,0.01,0.23
array_list_get_at_ptr,TRUE,1992,1024,73,344,n/a,3,3,n/a,0.01,0.01,0.05,0.25,0.13,0.10,n/a,n/a,0.01,0.01,0.15
array_list_init_dynamic,TRUE,1555,775,33,154,n/a,n/a,n/a,2,0.01,0.01,0.01,0.04,0.03,0.01,n/a,n/a,0.01,0.01,0.04
array_list_init_static,TRUE,1666,987,68,335,n/a,3,2,1,0.01,0.01,0.02,0.07,0.11,0.09,n/a,n/a,0.01,0.01,0.12
array_list_length,TRUE,1655,896,62,298,n/a,3,3,n/a,0.01,0.01,0.02,0.06,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_list_pop_back,TRUE,1918,962,71,335,n/a,3,3,n/a,0.01,0.01,0.04,0.11,0.46,0.42,n/a,n/a,0.01,0.01,0.47
array_list_pop_front,TRUE,2063,1036,88,386,4,3,7,n/a,0.01,0.01,0.06,0.18,0.65,0.61,n/a,n/a,0.01,0.01,0.66
array_list_pop_front_n,TRUE,1990,1060,95,431,4,3,7,n/a,0.02,0.01,0.03,0.13,1.62,1.56,n/a,n/a,0.01,0.02,1.64
array_list_push_back,TRUE,2750,1282,107,482,2,9,9,2,0.01,0.01,0.05,0.24,0.13,0.09,n/a,n/a,0.01,0.01,0.14
array_list_push_front,TRUE,2685,1280,113,504,4,11,13,2,0.01,0.01,0.09,0.37,0.12,0.10,n/a,n/a,0.01,0.01,0.14
array_list_set_at,TRUE,2632,1282,115,522,2,9,9,2,0.02,0.01,0.04,0.20,0.65,0.62,n/a,n/a,0.01,0.01,0.67
array_list_shrink_to_fit,TRUE,2391,1116,98,449,6,3,11,n/a,0.01,0.01,0.04,0.14,0.83,0.79,n/a,n/a,0.01,0.01,0.84
array_list_sort,TRUE,1758,968,66,316,n/a,3,3,n/a,0.01,0.01,0.02,0.11,0.11,0.09,n/a,n/a,0.01,0.01,0.12
array_list_swap,TRUE,2124,1217,142,845,12,16,20,4,0.02,0.01,0.09,0.23,1.81,1.77,n/a,n/a,0.01,0.02,1.82
array_list_swap_contents,TRUE,2865,1241,116,528,n/a,6,6,n/a,0.01,0.01,0.08,0.69,0.25,0.22,n/a,n/a,0.01,0.01,0.27
byte_buf_advance,TRUE,2311,1094,113,506,n/a,5,4,1,0.01,0.01,0.04,0.17,0.06,0.04,n/a,n/a,0.01,0.01,0.08
byte_buf_append,TRUE,1764,901,73,330,2,2,4,n/a,0.01,0.01,0.03,0.10,0.05,0.03,n/a,n/a,0.01,0.01,0.07
byte_buf_append_dynamic,TRUE,2373,1053,90,398,6,6,10,2,0.01,0.01,0.04,0.17,0.07,0.04,n/a,n/a,0.01,0.01,0.08
byte_buf_append_with_lookup,TRUE,1881,1164,165,813,10,10,2,1,0.03,0.02,0.02,0.14,0.13,0.06,n/a,n/a,0.01,0.02,0.15
byte_buf_cat,TRUE,4241,1771,264,1144,6,16,16,6,0.03,0.01,0.22,0.93,0.21,0.15,n/a,n/a,0.01,0.01,0.24
byte_buf_clean_up,TRUE,922,602,28,125,n/a,n/a,n/a,n/a,0.00,0.00,n/a,0.03,0.02,0.01,n/a,n/a,0.01,0.01,0.03
byte_buf_clean_up_secure,TRUE,991,635,28,128,n/a,n/a,n/a,n/a,0.00,0.00,n/a,0.03,0.02,0.01,n/a,n/a,0.01,0.01,0.03
byte_buf_eq,n/a,2547,1648,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
byte_buf_eq_c_str,TRUE,1990,1489,266,1346,n/a,36,3,8,0.01,0.01,0.06,0.27,0.05,0.01,n/a,n/a,0.01,0.01,0.06
byte_buf_eq_c_str_ignore_case,TRUE,1900,1501,252,3029,n/a,36,3,8,0.01,0.01,0.06,0.18,0.08,0.02,n/a,n/a,0.01,0.02,0.10
byte_buf_eq_ignore_case,TRUE,2320,1418,233,2882,n/a,28,4,4,0.04,0.02,0.05,0.23,0.79,0.69,n/a,n/a,0.01,0.03,0.82
byte_buf_from_array,TRUE,928,563,23,109,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.02,0.01,n/a,n/a,0.01,0.01,0.03
byte_buf_from_c_str,TRUE,1851,1425,176,963,n/a,33,n/a,18,0.01,0.01,0.01,0.03,0.29,0.26,n/a,n/a,0.01,0.01,0.31
byte_buf_from_empty_array,TRUE,925,563,23,109,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.03,0.03,0.01,n/a,n/a,0.01,0.01,0.05
byte_buf_init,TRUE,1129,701,34,152,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.06,0.03,0.01,n/a,n/a,0.01,0.01,0.05
byte_buf_init_copy,TRUE,2213,1144,129,746,n/a,9,6,3,0.02,0.01,0.06,0.16,0.20,0.15,n/a,n/a,0.01,0.02,0.22
byte_buf_init_copy_from_cursor,TRUE,1755,873,47,238,n/a,4,4,n/a,0.01,0.01,0.02,0.07,0.07,0.05,n/a,n/a,0.01,0.01,0.09
byte_buf_reserve,TRUE,1549,781,48,209,n/a,4,n/a,4,0.01,0.01,0.02,0.06,0.04,0.02,n/a,n/a,0.01,0.01,0.07
byte_buf_reserve_relative,TRUE,2090,890,58,269,n/a,4,n/a,4,0.01,0.01,0.02,0.09,0.05,0.02,n/a,n/a,0.01,0.01,0.06
byte_buf_reset,TRUE,1070,766,41,197,n/a,1,n/a,1,0.01,0.01,0.01,0.03,0.05,0.03,n/a,n/a,0.01,0.01,0.06
byte_buf_secure_zero,TRUE,1211,764,49,230,n/a,1,n/a,1,0.01,0.01,0.01,0.04,0.06,0.04,n/a,n/a,0.01,0.01,0.07
byte_buf_write,TRUE,1722,1026,93,443,2,5,4,3,0.01,0.01,0.03,0.10,0.20,0.16,n/a,n/a,0.01,0.01,0.21
byte_buf_write_be16,TRUE,1626,925,69,334,n/a,5,2,3,0.02,0.01,0.02,0.11,0.09,0.04,n/a,n/a,0.01,0.01,0.11
byte_buf_write_be32,TRUE,1626,943,69,334,n/a,5,2,3,0.00,0.01,0.03,0.07,0.04,0.03,n/a,n/a,0.01,0.01,0.06
byte_buf_write_be64,TRUE,1623,933,69,332,n/a,5,2,3,0.01,0.01,0.04,0.13,0.07,0.03,n/a,n/a,0.01,0.01,0.08
byte_buf_write_from_whole_buffer,TRUE,2485,1231,153,670,2,8,8,2,0.02,0.01,0.08,0.42,0.14,0.10,n/a,n/a,0.01,0.01,0.16
byte_buf_write_from_whole_cursor,TRUE,2311,1197,127,565,2,8,9,1,0.01,0.01,0.06,0.37,0.14,0.10,n/a,n/a,0.01,0.01,0.16
byte_buf_write_from_whole_string,TRUE,2080,1346,161,1131,14,6,22,4,0.03,0.01,0.09,0.28,0.58,0.50,n/a,n/a,0.01,0.03,0.60
byte_buf_write_u8,TRUE,1588,902,64,312,n/a,5,2,3,0.01,0.01,0.02,0.11,0.05,0.02,n/a,n/a,0.01,0.01,0.06
byte_cursor_advance,TRUE,1198,724,72,339,n/a,3,3,n/a,0.01,0.01,0.01,0.05,0.11,0.10,n/a,n/a,0.01,0.01,0.12
byte_cursor_advance_nospec,TRUE,1276,779,73,374,2,1,3,n/a,0.01,0.01,0.01,0.05,0.12,0.09,n/a,n/a,0.01,0.01,0.13
byte_cursor_compare_lexical,TRUE,2461,1193,168,944,n/a,18,10,20,0.02,0.01,0.05,0.21,0.93,0.89,n/a,n/a,0.01,0.01,0.95
byte_cursor_compare_lookup,TRUE,2180,1915,395,1975,n/a,76,12,6,0.09,0.04,0.06,0.31,1.54,1.38,n/a,n/a,0.01,0.02,1.57
byte_cursor_eq,TRUE,1886,1164,169,934,n/a,18,10,4,0.02,0.01,0.04,0.15,0.81,0.77,n/a,n/a,0.01,0.01,0.83
byte_cursor_eq_byte_buf,TRUE,2269,1366,209,1113,n/a,22,5,9,0.06,0.02,0.06,0.29,0.56,0.43,n/a,n/a,0.01,0.02,0.59
byte_cursor_eq_byte_buf_ignore_case,TRUE,2042,1318,189,2726,n/a,17,5,3,0.05,0.01,0.04,0.18,0.55,0.45,n/a,n/a,0.01,0.02,0.56
byte_cursor_eq_c_str,TRUE,1603,1281,241,1242,n/a,25,6,5,0.01,0.01,0.02,0.09,0.04,0.01,n/a,n/a,0.01,0.01,0.05
byte_cursor_eq_c_str_ignore_case,TRUE,1513,1298,231,2881,n/a,25,6,5,0.01,0.01,0.02,0.08,0.07,0.01,n/a,n/a,0.01,0.03,0.09
byte_cursor_eq_ignore_case,TRUE,1659,1151,196,2540,n/a,16,8,n/a,0.04,0.01,0.02,0.09,1.42,1.29,n/a,n/a,0.01,0.04,1.45
byte_cursor_from_array,TRUE,765,521,28,125,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.03,0.01,n/a,n/a,0.01,0.01,0.05
byte_cursor_from_buf,TRUE,1689,878,65,300,n/a,3,n/a,3,0.01,0.01,0.03,0.17,0.04,0.02,n/a,n/a,0.01,0.01,0.06
byte_cursor_from_c_str,TRUE,1655,1329,167,890,n/a,33,n/a,18,0.01,0.01,0.01,0.03,0.23,0.22,n/a,n/a,0.01,0.01,0.25
byte_cursor_from_string,TRUE,1015,687,33,327,2,8,2,8,0.01,0.01,0.01,0.04,0.06,0.02,n/a,n/a,0.01,0.01,0.07
byte_cursor_left_trim_pred,TRUE,1248,885,87,460,n/a,3,4,n/a,0.01,0.01,0.02,0.09,0.04,0.02,n/a,n/a,0.01,0.01,0.05
byte_cursor_read,TRUE,1466,938,94,470,4,3,5,2,0.01,0.01,0.01,0.07,0.14,0.12,n/a,n/a,0.01,0.01,0.16
byte_cursor_read_and_fill_buffer,TRUE,2186,1209,125,606,4,4,5,3,0.04,0.01,0.05,0.20,0.34,0.26,n/a,n/a,0.01,0.02,0.38
