job_name,pp_loc,opsem_loc,result,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,n/a,n/a,TRUE,7,38,n/a,n/a,n/a,n/a,0.01,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.04
ptr_eq,n/a,n/a,TRUE,6,30,n/a,n/a,n/a,n/a,0.01,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.04
add_size_checked,n/a,n/a,TRUE,18,105,n/a,n/a,n/a,n/a,0.01,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.03
mul_size_saturating,n/a,n/a,TRUE,14,77,n/a,n/a,n/a,n/a,0.00,0.01,0.01,0.01,n/a,n/a,0.00,0.00,0.02
mul_size_checked,n/a,n/a,TRUE,18,105,n/a,n/a,n/a,n/a,0.01,0.01,0.03,0.01,n/a,n/a,0.01,0.01,0.03
nospec_mask,n/a,n/a,TRUE,14,84,n/a,n/a,n/a,n/a,0.01,0.01,0.03,0.02,n/a,n/a,0.01,0.01,0.05
add_size_saturating,n/a,n/a,TRUE,26,172,n/a,n/a,n/a,n/a,0.01,0.01,0.07,0.06,n/a,n/a,0.01,0.01,0.08
round_up_to_power_of_two,n/a,n/a,TRUE,26,635,n/a,n/a,n/a,n/a,0.01,0.01,0.09,0.06,n/a,n/a,0.01,0.02,0.10
array_eq_c_str_ignore_case,n/a,n/a,TRUE,213,2822,n/a,n/a,n/a,11,0.01,0.03,0.06,0.01,n/a,n/a,0.01,0.02,0.07
array_list_clean_up,n/a,n/a,TRUE,28,142,n/a,n/a,n/a,2,0.01,0.04,0.02,0.01,n/a,n/a,0.00,0.01,0.05
array_list_capacity,n/a,n/a,TRUE,56,275,n/a,n/a,n/a,3,0.01,0.08,0.11,0.10,n/a,n/a,0.00,0.01,0.12
array_list_clear,n/a,n/a,TRUE,36,178,n/a,n/a,n/a,n/a,0.01,0.03,0.21,0.19,n/a,n/a,0.01,0.01,0.22
array_eq_c_str,n/a,n/a,TRUE,355,1769,n/a,n/a,n/a,11,0.01,0.03,0.72,0.69,n/a,n/a,0.01,0.01,0.74
array_list_back,n/a,n/a,TRUE,66,308,2,n/a,2,5,0.01,0.09,0.13,0.11,n/a,n/a,0.01,0.01,0.14
array_eq_ignore_case,n/a,n/a,TRUE,160,2550,n/a,n/a,n/a,8,0.03,0.03,0.75,0.69,n/a,n/a,0.01,0.02,0.76
array_list_front,n/a,n/a,TRUE,66,305,2,n/a,2,5,0.01,0.11,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_list_ensure_capacity,n/a,n/a,TRUE,59,330,n/a,n/a,n/a,7,0.01,0.10,0.26,0.24,n/a,n/a,0.01,0.01,0.27
array_list_copy,n/a,n/a,TRUE,85,398,n/a,4,4,4,0.01,0.14,0.32,0.29,n/a,n/a,0.01,0.01,0.34
array_list_init_dynamic,n/a,n/a,TRUE,33,154,n/a,n/a,n/a,2,0.01,0.04,0.03,0.01,n/a,n/a,0.01,0.01,0.04
array_list_init_static,n/a,n/a,TRUE,58,306,n/a,n/a,n/a,3,0.01,0.05,0.12,0.11,n/a,n/a,0.01,0.01,0.13
array_list_length,n/a,n/a,TRUE,49,258,n/a,n/a,n/a,3,0.01,0.07,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_list_get_at,n/a,n/a,TRUE,72,336,2,n/a,2,5,0.01,0.19,0.25,0.22,n/a,n/a,0.01,0.01,0.26
array_list_get_at_ptr,n/a,n/a,TRUE,60,304,n/a,n/a,n/a,3,0.01,0.11,0.13,0.10,n/a,n/a,0.01,0.01,0.14
array_list_erase,n/a,n/a,TRUE,100,467,8,n/a,8,3,0.01,0.16,1.34,1.31,n/a,n/a,0.01,0.01,1.35
array_list_pop_back,n/a,n/a,TRUE,61,306,n/a,n/a,n/a,3,0.01,0.10,0.46,0.44,n/a,n/a,0.01,0.01,0.48
array_list_pop_front,n/a,n/a,TRUE,78,360,4,n/a,4,3,0.01,0.11,0.54,0.50,n/a,n/a,0.01,0.01,0.55
array_list_push_back,n/a,n/a,TRUE,88,431,2,n/a,2,9,0.02,0.16,0.19,0.17,n/a,n/a,0.01,0.01,0.21
array_list_push_front,n/a,n/a,TRUE,94,450,4,2,6,9,0.02,0.17,0.15,0.13,n/a,n/a,0.01,0.01,0.16
array_list_sort,n/a,n/a,TRUE,53,276,n/a,n/a,n/a,3,0.01,0.08,0.12,0.10,n/a,n/a,0.01,0.01,0.13
array_list_pop_front_n,n/a,n/a,TRUE,82,392,4,n/a,4,3,0.01,0.09,1.03,1.00,n/a,n/a,0.01,0.01,1.05
array_list_shrink_to_fit,n/a,n/a,TRUE,93,436,6,2,10,1,0.01,0.17,0.59,0.55,n/a,n/a,0.01,0.01,0.59
array_list_set_at,n/a,n/a,TRUE,96,471,2,n/a,2,9,0.02,0.17,0.63,0.58,n/a,n/a,0.01,0.01,0.64
byte_buf_append,n/a,n/a,TRUE,68,314,2,n/a,2,2,0.01,0.08,0.05,0.03,n/a,n/a,0.01,0.01,0.06
byte_buf_clean_up,n/a,n/a,TRUE,28,128,n/a,n/a,n/a,n/a,0.01,0.03,0.03,0.01,n/a,n/a,0.01,0.01,0.05
byte_buf_advance,n/a,n/a,TRUE,101,478,n/a,n/a,n/a,5,0.02,0.22,0.12,0.07,n/a,n/a,0.01,0.01,0.13
byte_buf_append_dynamic,n/a,n/a,TRUE,80,369,6,n/a,6,6,0.02,0.19,0.12,0.07,n/a,n/a,0.01,0.01,0.13
byte_buf_append_with_lookup,n/a,n/a,TRUE,150,679,10,1,1,2,0.04,0.13,0.12,0.06,n/a,n/a,0.01,0.02,0.15
array_list_swap_contents,n/a,n/a,TRUE,104,496,n/a,4,4,2,0.01,0.35,0.26,0.23,n/a,n/a,0.01,0.01,0.29
byte_buf_clean_up_secure,n/a,n/a,TRUE,28,131,n/a,n/a,n/a,n/a,0.01,0.03,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_from_array,n/a,n/a,TRUE,23,112,n/a,n/a,n/a,n/a,0.01,0.02,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_eq_c_str,n/a,n/a,TRUE,254,1308,n/a,n/a,n/a,11,0.01,0.10,0.05,0.01,n/a,n/a,0.01,0.01,0.06
byte_buf_eq_c_str_ignore_case,n/a,n/a,TRUE,240,2989,n/a,n/a,n/a,11,0.02,0.12,0.12,0.03,n/a,n/a,0.01,0.04,0.14
byte_buf_from_empty_array,n/a,n/a,TRUE,23,112,n/a,n/a,n/a,n/a,0.01,0.02,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_init,n/a,n/a,TRUE,34,155,n/a,n/a,n/a,n/a,0.01,0.04,0.04,0.02,n/a,n/a,0.01,0.01,0.05
byte_buf_from_c_str,n/a,n/a,TRUE,173,957,n/a,n/a,n/a,18,0.01,0.03,0.35,0.33,n/a,n/a,0.01,0.01,0.37
byte_buf_init_copy_from_cursor,n/a,n/a,TRUE,42,223,n/a,2,2,2,0.01,0.08,0.08,0.06,n/a,n/a,0.01,0.01,0.10
byte_buf_reserve,n/a,n/a,TRUE,46,205,n/a,n/a,n/a,4,0.01,0.05,0.04,0.02,n/a,n/a,0.01,0.01,0.06
byte_buf_init_copy,n/a,n/a,TRUE,109,693,n/a,n/a,n/a,9,0.02,0.16,0.17,0.12,n/a,n/a,0.01,0.02,0.19
byte_buf_reset,n/a,n/a,TRUE,40,194,n/a,n/a,n/a,1,0.01,0.03,0.10,0.06,n/a,n/a,0.01,0.01,0.11
byte_buf_reserve_relative,n/a,n/a,TRUE,56,268,n/a,n/a,n/a,4,0.01,0.08,0.08,0.03,n/a,n/a,0.01,0.01,0.09
byte_buf_secure_zero,n/a,n/a,TRUE,48,227,n/a,n/a,n/a,1,0.01,0.04,0.06,0.04,n/a,n/a,0.01,0.01,0.07
byte_buf_write,n/a,n/a,TRUE,85,419,2,n/a,2,5,0.02,0.07,0.17,0.12,n/a,n/a,0.01,0.02,0.19
byte_buf_eq_ignore_case,n/a,n/a,TRUE,237,2934,n/a,14,4,4,0.05,0.31,1.17,1.04,n/a,n/a,0.01,0.03,1.19
byte_buf_cat,n/a,n/a,TRUE,239,1072,6,4,10,12,0.03,1.03,0.27,0.21,n/a,n/a,0.01,0.01,0.29
array_list_swap,n/a,n/a,TRUE,120,774,12,n/a,12,12,0.02,0.09,3.44,3.40,n/a,n/a,0.01,0.02,3.46
byte_buf_write_be16,n/a,n/a,TRUE,61,312,n/a,n/a,n/a,5,0.01,0.09,0.03,0.02,n/a,n/a,0.01,0.01,0.04
byte_buf_write_be64,n/a,n/a,TRUE,61,310,n/a,n/a,n/a,5,0.01,0.09,0.04,0.02,n/a,n/a,0.01,0.01,0.05
byte_buf_write_be32,n/a,n/a,TRUE,61,312,n/a,n/a,n/a,5,0.01,0.11,0.04,0.02,n/a,n/a,0.01,0.01,0.05
byte_buf_write_from_whole_buffer,n/a,n/a,TRUE,137,625,2,2,4,6,0.01,0.16,0.11,0.08,n/a,n/a,0.01,0.01,0.12
byte_cursor_advance,n/a,n/a,TRUE,59,294,n/a,n/a,n/a,3,0.01,0.04,0.06,0.04,n/a,n/a,0.01,0.01,0.07
byte_buf_write_from_whole_cursor,n/a,n/a,TRUE,104,492,2,n/a,2,8,0.02,0.18,0.14,0.10,n/a,n/a,0.01,0.01,0.16
array_list_comparator_string,n/a,n/a,TRUE,306,2353,24,2,6,13,0.11,0.06,6.14,5.97,n/a,n/a,0.01,0.04,6.16
byte_buf_write_u8,n/a,n/a,TRUE,56,292,n/a,n/a,n/a,5,0.01,0.09,0.05,0.02,n/a,n/a,0.01,0.01,0.06
byte_cursor_advance_nospec,n/a,n/a,TRUE,68,361,2,n/a,2,1,0.01,0.05,0.09,0.07,n/a,n/a,0.01,0.01,0.10
byte_cursor_from_array,n/a,n/a,TRUE,28,128,n/a,n/a,n/a,n/a,0.01,0.01,0.02,0.01,n/a,n/a,0.01,0.01,0.04
byte_cursor_eq_c_str,n/a,n/a,TRUE,182,1069,n/a,n/a,n/a,11,0.01,0.05,0.05,0.01,n/a,n/a,0.01,0.01,0.06
byte_cursor_eq_c_str_ignore_case,n/a,n/a,TRUE,212,2818,n/a,n/a,n/a,11,0.01,0.05,0.07,0.01,n/a,n/a,0.01,0.03,0.08
byte_buf_write_from_whole_string,n/a,n/a,TRUE,151,1104,14,n/a,20,6,0.02,0.11,0.66,0.60,n/a,n/a,0.01,0.03,0.68
byte_cursor_eq_byte_buf,n/a,n/a,TRUE,174,996,n/a,n/a,n/a,14,0.02,0.16,0.31,0.27,n/a,n/a,0.01,0.01,0.33
byte_cursor_eq,n/a,n/a,TRUE,158,926,n/a,n/a,n/a,14,0.02,0.12,0.89,0.84,n/a,n/a,0.01,0.01,0.90
byte_cursor_compare_lexical,n/a,n/a,TRUE,157,936,n/a,n/a,n/a,30,0.02,0.20,0.87,0.84,n/a,n/a,0.01,0.01,0.88
byte_cursor_from_buf,n/a,n/a,TRUE,63,296,n/a,n/a,n/a,3,0.01,0.13,0.03,0.02,n/a,n/a,0.00,0.01,0.05
byte_cursor_from_c_str,n/a,n/a,TRUE,164,884,n/a,n/a,n/a,18,0.00,0.03,0.21,0.19,n/a,n/a,0.01,0.01,0.22
byte_cursor_from_string,n/a,n/a,TRUE,27,313,2,n/a,2,8,0.01,0.04,0.04,0.02,n/a,n/a,0.01,0.01,0.06
