name,time
b2sum,error
[,2.47
base32,1.87
base64,2.15
basename,2.13
basenc,2.36
bftpd,0.82
brotli,timeout
cat,2.35
chcon,2.42
chgrp,2.39
chmod,error
chown,2.38
chroot,2.23
cksum,error
comm,error
cp,error
csplit,error
curl,error
cut,error
date,error
dd,2.3
df,error
dir,error
dircolors,2.05
dirname,0.02
du,error
echo,0.05
env,error
expand,error
expr,error
factor,error
fmt,error
fold,error
getlimits,0.04
ginstall,error
groups,2.09
head,2.33
hostid,1.98
id,2.26
join,error
kill,2.18
libstdbuf.so,0.01
link,2.04
ln,error
logname,2.06
ls,error
lua,timeout
luac,error
make-prime-list,0.03
md5sum,error
mkdir,error
mkfifo,error
mknod,error
mktemp,2.18
mv,error
nice,2.13
nl,error
nohup,2.04
nproc,2.08
numfmt,2.35
od,error
paste,error
pathchk,2.05
pinky,0.06
pr,error
printenv,0.04
printf,2.25
ptx,error
pwd,2.02
readlink,error
realpath,error
rm,error
rmdir,2.16
runcon,0.02
seq,error
sha1sum,error
sha224sum,error
sha256sum,error
sha384sum,error
sha512sum,error
shred,error
shuf,error
sleep,2.09
sort,timeout
split,error
sqlite3,timeout
stat,error
stdbuf,error
stty,2.56
sum,error
sync,2.18
tac,error
tail,2.38
tee,error
test,2.37
thttpd,error
timeout,2.08
tmux,timeout
touch,error
tr,error
truncate,2.22
tsort,2.07
tty,2.08
uname,2.08
unexpand,error
uniq,error
unlink,2.06
uptime,error
users,2.09
vdir,error
vsftpd,error
wc,timeout
who,2.24
whoami,2.16
yes,0.03
FALSE,0.01
TRUE,0.02
