name,time,safe,error,warning
ginstall,104.68,178,0,5226
hostid,30.04,0,0,152
printf,36.07,4,0,656
basenc,37.92,2,0,1188
pinky,0.76,4,0,212
cat,39.73,0,0,318
split,46.02,28,0,894
sleep,34.04,2,0,202
stat,94.62,90,0,1856
df,104.03,220,0,4044
runcon,0.23,0,0,12
join,41.7,18,0,1436
chown,41.24,70,0,2604
printenv,0.38,0,0,34
chroot,37.12,40,0,624
pathchk,34.09,0,0,348
paste,33.08,0,0,296
nproc,31.87,8,0,268
chcon,38.93,50,0,2298
users,32.47,4,0,202
base64,36.06,2,0,552
getlimits,0.74,0,0,82
cp,181.85,150,0,5248
truncate,38.13,0,0,328
factor,error,0,0,0
comm,31.75,2,0,414
touch,timeout,0,0,0
mkfifo,34.14,4,0,272
tail,74.73,52,0,2262
tty,31.94,0,0,160
test,error,0,0,0
realpath,38.97,42,0,1190
groups,30.56,4,0,258
sha256sum,35.38,0,0,410
echo,0.43,0,0,66
du,timeout,0,0,0
rm,74.78,74,0,2826
tac,95.04,22,0,510
cksum,timeout,0,0,0
php-cgi,no result,0,0,0
sqlite3,timeout,0,0,0
sync,31.62,0,0,182
mktemp,38.05,2,0,218
sha224sum,37.36,0,0,410
ln,39.82,80,0,1906
b2sum,timeout,0,0,0
uptime,72.46,32,0,434
seq,36.94,4,0,336
mv,86.03,112,0,5718
php,no result,0,0,0
logname,28.65,0,0,152
sum,36.97,32,0,260
pr,timeout,0,0,0
kill,30.79,0,0,268
mkdir,35.96,52,0,562
vsftpd,error,0,0,0
expand,34.91,2,0,336
link,31.47,0,0,190
basename,33.42,4,0,194
lua,timeout,0,0,0
csplit,timeout,0,0,0
nice,35.45,2,0,248
base32,34.3,2,0,668
luac,error,0,0,0
wc,timeout,0,0,0
readlink,37.88,42,0,1054
tsort,31.73,2,0,478
nohup,30.09,12,0,214
brotli,timeout,0,0,0
fold,31.56,0,0,344
dirname,0.14,0,0,22
od,55.76,4,0,1176
shred,78.6,22,0,1166
curl,timeout,0,0,0
who,34.92,4,0,342
env,38.33,4,0,514
make-prime-list,error,0,0,0
tr,timeout,0,0,0
expr,error,0,0,0
shuf,46.43,130,0,1568
numfmt,44.71,20,0,1034
sha1sum,32.82,0,0,410
chmod,43.86,52,0,2348
false,0.07,0,0,14
sort,timeout,0,0,0
tmux,timeout,0,0,0
sha512sum,36.68,0,0,410
id,70.17,82,0,648
stdbuf,37.85,2,0,334
stty,56.85,28,0,1040
dircolors,31.28,42,0,508
dir,error,0,0,0
mknod,35.25,10,0,410
tee,32.33,0,0,348
timeout,32.62,2,0,266
yes,0.16,0,0,32
sha384sum,36.9,0,0,410
vdir,error,0,0,0
bftpd,47.65,58,0,1144
dd,86.08,66,0,1022
md5sum,37.22,0,0,410
unexpand,36.62,2,0,344
thttpd,timeout,0,0,0
ptx,timeout,0,0,0
date,142.46,104,0,2336
libstdbuf.so,0.01,0,0,0
true,0.06,0,0,14
unlink,32.11,0,0,156
rmdir,37.02,0,0,208
nl,35.42,0,0,404
uname,31.54,0,0,160
ls,error,0,0,0
phpdbg,no result,0,0,0
uniq,39.55,4,0,486
whoami,31.76,0,0,154
pwd,31.58,0,0,278
chgrp,36.96,74,0,2428
cut,36.07,0,0,452
head,37.31,0,0,482
fmt,98.77,0,0,1174
[,error,0,0,0
