name,time
[,6.72
b2sum,5.91
base32,1.67
base64,1.56
basename,1.43
basenc,1.94
bftpd,1.16
brotli,44.01
cat,2.28
chcon,7.18
chgrp,6.23
chmod,5.89
chown,3.93
chroot,2.93
cksum,16.77
comm,3.04
cp,14
csplit,5.71
curl,14.54
cut,3.86
date,10.9
dd,6.84
df,6.88
dir,error
dircolors,2.39
dirname,0.03
du,5.24
echo,0.03
env,2.87
expand,3.32
expr,timeout
factor,21.57
fmt,3.86
fold,3.59
getlimits,0.03
ginstall,8.95
groups,2.24
head,7.3
hostid,1.45
id,2.51
join,10.78
kill,2.25
libstdbuf.so,0
link,2.14
ln,3.53
logname,1.9
ls,error
lua,timeout
luac,error
make-prime-list,0.03
md5sum,4.27
mkdir,4.4
mkfifo,2.16
mknod,1.46
mktemp,4.44
mv,18.46
nice,1.54
nl,3.02
nohup,6.15
nproc,3.17
numfmt,11.72
od,3.61
paste,2.3
pathchk,2.91
pinky,0.07
pr,7.52
printenv,0.03
printf,4.34
ptx,3.14
pwd,2.88
readlink,2.41
realpath,2.73
rm,7.14
rmdir,3.8
runcon,0.03
seq,2.1
sha1sum,4.29
sha224sum,4.65
sha256sum,4.25
sha384sum,4.31
sha512sum,4.92
shred,8.48
shuf,3.42
sleep,2.2
sort,timeout
split,6.53
sqlite3,timeout
stat,4.51
stdbuf,2.29
stty,7.15
sum,2.22
sync,2.08
tac,3.48
tail,12.8
tee,3.56
test,6.94
thttpd,6.09
timeout,2.95
tmux,timeout
touch,9.1
tr,4.15
truncate,4.34
tsort,2.4
tty,1.43
uname,1.44
unexpand,1.87
uniq,2.28
unlink,1.44
uptime,5.1
users,1.41
vdir,error
vsftpd,timeout
wc,timeout
who,1.52
whoami,1.56
yes,0.04
FALSE,0.02
TRUE,0.03
