job_name,result,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,seahorn_total_time
ptr_eq,TRUE,0,0,0.01,0.01,0,0.02
is_power_of_two,TRUE,0,0,0.01,0.01,0,0.01
nospec_mask,TRUE,0,0,0.02,0.02,0.01,0.04
add_size_checked,TRUE,0,0,0.02,0.02,0.01,0.03
add_size_saturating,TRUE,0,0,0.06,0.06,0.01,0.08
array_eq_c_str_ignore_case,TRUE,0,11,0.07,0.07,0.01,0.11
round_up_to_power_of_two,TRUE,0,0,0.14,0.14,0.01,0.17
mul_size_saturating,TRUE,0,0,0.19,0.19,0.01,0.21
mul_size_checked,TRUE,0,0,0.17,0.17,0.01,0.18
array_list_clean_up,TRUE,0,0,0.01,0.01,0.02,0.04
array_list_capacity,TRUE,0,3,0.17,0.17,0.01,0.23
array_list_back,TRUE,2,5,0.19,0.19,0.01,0.27
array_list_front,TRUE,2,5,0.22,0.22,0.01,0.29
array_eq_c_str,TRUE,0,57,0.88,0.88,0.01,1.03
array_list_clear,TRUE,0,0,0.54,0.54,0.03,0.58
array_eq_ignore_case,TRUE,0,28,0.97,0.97,0.02,1.1
array_list_ensure_capacity,TRUE,0,7,0.71,0.71,0.01,0.79
array_list_get_at,TRUE,2,5,0.44,0.44,0.01,0.53
array_list_get_at_ptr,TRUE,0,3,0.2,0.2,0.01,0.27
array_eq,TRUE,0,52,1.43,1.43,0.01,1.57
array_list_init_dynamic,TRUE,0,0,0.3,0.3,0.02,0.34
array_list_copy,TRUE,0,8,0.87,0.87,0.01,0.98
array_list_init_static,TRUE,0,3,0.35,0.35,0.01,0.41
array_list_length,TRUE,0,3,0.19,0.19,0.01,0.26
array_list_pop_back,TRUE,0,3,0.62,0.62,0.01,0.7
array_list_sort,TRUE,0,3,0.19,0.19,0.01,0.26
byte_buf_advance,TRUE,0,5,0.06,0.06,0.01,0.17
byte_buf_append,TRUE,2,2,0.04,0.04,0.01,0.09
array_list_push_back,TRUE,2,9,0.97,0.97,0.01,1.07
byte_buf_append_dynamic,TRUE,6,6,0.19,0.19,0.01,0.27
byte_buf_append_with_lookup,TRUE,10,10,0.12,0.12,0.02,0.27
array_list_swap_contents,TRUE,0,6,0.82,0.82,0.01,0.96
array_list_pop_front,TRUE,4,3,1.8,1.8,0.01,1.89
byte_buf_clean_up,TRUE,0,0,0.01,0.01,0.02,0.04
array_list_pop_front_n,TRUE,4,3,1.87,1.87,0.01,1.98
byte_buf_clean_up_secure,TRUE,0,0,0.01,0.01,0.02,0.04
array_list_shrink_to_fit,TRUE,6,5,1.92,1.92,0.01,2.02
array_list_erase,TRUE,8,3,3.21,3.21,0.01,3.31
byte_buf_eq_c_str,TRUE,0,11,0.09,0.09,0.01,0.14
array_list_set_at,TRUE,2,9,1.85,1.85,0.01,1.99
byte_buf_eq_c_str_ignore_case,TRUE,0,11,0.08,0.08,0.01,0.13
byte_buf_from_array,TRUE,0,0,0.01,0.01,0.02,0.04
byte_buf_from_empty_array,TRUE,0,0,0.01,0.01,0.02,0.04
byte_buf_init,TRUE,0,0,0.02,0.02,0.02,0.05
byte_buf_cat,TRUE,6,16,0.51,0.51,0.04,0.91
byte_buf_from_c_str,TRUE,0,33,0.27,0.27,0.01,0.35
byte_buf_init_copy_from_cursor,TRUE,2,2,0.06,0.06,0.01,0.13
byte_buf_reserve,TRUE,0,4,0.03,0.03,0.01,0.1
byte_buf_reserve_relative,TRUE,0,4,0.03,0.03,0.01,0.1
byte_buf_secure_zero,TRUE,0,2,0.07,0.07,0.01,0.12
byte_buf_reset,TRUE,0,2,0.16,0.16,0.01,0.19
byte_buf_write_be16,TRUE,0,5,0.04,0.04,0.01,0.1
byte_buf_write,TRUE,2,5,0.12,0.12,0.01,0.2
byte_buf_eq_ignore_case,TRUE,0,28,0.71,0.71,0.04,1.01
byte_buf_write_be32,TRUE,0,5,0.04,0.04,0.01,0.1
byte_buf_write_be64,TRUE,0,5,0.04,0.04,0.01,0.11
byte_buf_eq,TRUE,0,52,1.55,1.55,0.02,1.77
byte_buf_init_copy,TRUE,0,9,1.11,1.11,0.01,1.24
byte_buf_write_from_whole_cursor,TRUE,2,8,0.12,0.12,0.01,0.23
byte_buf_write_from_whole_buffer,TRUE,2,8,0.15,0.15,0.01,0.32
byte_cursor_advance,TRUE,0,3,0.07,0.07,0.01,0.12
byte_buf_write_u8,TRUE,0,5,0.1,0.1,0.01,0.17
byte_cursor_advance_nospec,TRUE,2,1,0.14,0.14,0.01,0.19
array_list_comparator_string,TRUE,2,55,5.82,5.82,0.02,5.95
byte_cursor_eq_c_str_ignore_case,TRUE,0,11,0.08,0.08,0.01,0.12
byte_cursor_eq_c_str,TRUE,0,11,0.08,0.08,0.01,0.12
byte_cursor_compare_lexical,TRUE,0,18,0.61,0.61,0.01,0.74
byte_cursor_from_array,TRUE,0,0,0.01,0.01,0.01,0.03
byte_cursor_eq_byte_buf,TRUE,0,18,0.31,0.31,0.02,0.44
byte_cursor_eq,TRUE,0,18,0.57,0.57,0.01,0.67
byte_cursor_from_buf,TRUE,0,3,0.04,0.04,0.01,0.11
byte_cursor_eq_byte_buf_ignore_case,TRUE,0,16,0.52,0.52,0.02,0.7
byte_cursor_from_string,TRUE,2,11,0.03,0.03,0.01,0.07
byte_cursor_compare_lookup,TRUE,0,132,0.67,0.67,0.09,1.11
byte_cursor_left_trim_pred,TRUE,0,3,0.03,0.03,0.01,0.1
byte_cursor_read,TRUE,4,3,0.18,0.18,0.01,0.24
byte_cursor_read_be16,TRUE,2,1,0.06,0.06,0.01,0.12
byte_cursor_from_c_str,TRUE,0,33,0.2,0.2,0.01,0.28
byte_cursor_read_and_fill_buffer,TRUE,4,4,0.28,0.28,0.01,0.41
byte_cursor_read_be64,TRUE,2,1,0.09,0.09,0.01,0.15
byte_cursor_eq_ignore_case,TRUE,0,16,1.02,1.02,0.02,1.18
byte_buf_write_from_whole_string,TRUE,24,6,1.82,1.82,0.02,2.03
byte_cursor_read_be32,TRUE,2,1,0.07,0.07,0.01,0.14
byte_cursor_read_u8,TRUE,2,3,0.07,0.07,0.01,0.13
byte_cursor_satisfies_pred,TRUE,0,3,0.03,0.03,0.01,0.09
