job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.00,0.00,0.03
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.08
nospec_mask,TRUE,14,84,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03
mul_size_checked,TRUE,30,159,0,0,0,0,0.16,0.16,0.01,0,0.01,0.01,0.18
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.08,0.08,0.03,0,0,0.01,0.13
mul_size_saturating,TRUE,34,188,0,0,0,0,0.16,0.16,0.02,0,0.01,0.01,0.19
round_up_to_power_of_two,TRUE,27,644,0,0,0,0,0.14,0.14,0.01,0,0.01,0.02,0.18
array_list_clean_up,TRUE,75,398,0,0,0,0,0.01,0.01,0.04,0,0.01,0.01,0.07
array_list_capacity,TRUE,182,896,0,3,0,0,0.18,0.18,0.10,0,0.01,0.01,0.32
array_list_back,TRUE,238,1149,0,7,0,0,0.19,0.19,0.13,0,0.01,0.01,0.35
array_list_clear,TRUE,133,633,0,0,0,0,0.49,0.49,0.06,0,0.01,0.01,0.57
array_eq_c_str,TRUE,602,2617,0,57,0,0,0.90,0.90,0.12,0,0.01,0.01,1.08
array_list_front,TRUE,233,1121,0,7,0,0,0.20,0.20,0.12,0,0.01,0.01,0.36
array_eq_ignore_case,TRUE,258,2760,0,28,0,0,0.95,0.95,0.24,0,0.01,0.03,1.34
array_eq,TRUE,470,2186,0,52,0,0,1.40,1.40,0.13,0,0.01,0.01,1.59
array_list_init_dynamic,TRUE,118,587,0,0,0,0,0.31,0.31,0.05,0,0.01,0.01,0.39
array_list_ensure_capacity,TRUE,219,1116,0,7,0,0,0.76,0.76,0.17,0,0.01,0.01,0.99
array_list_get_at_ptr,TRUE,223,1091,0,3,0,0,0.19,0.19,0.13,0,0.01,0.01,0.36
array_list_get_at,TRUE,235,1139,0,7,0,0,0.41,0.41,0.13,0,0.01,0.01,0.57
array_list_length,TRUE,180,896,0,3,0,0,0.18,0.18,0.11,0,0.01,0.01,0.32
array_list_init_static,TRUE,153,749,2,1,0,0,0.38,0.38,0.10,0,0.01,0.01,0.51
array_list_pop_back,TRUE,201,993,0,3,0,0,0.60,0.60,0.12,0,0.01,0.01,0.77
array_list_copy,TRUE,303,1419,0,8,0,0,1.62,1.62,0.17,0,0.01,0.01,1.85
array_list_sort,TRUE,188,938,0,3,0,0,0.20,0.20,0.11,0,0.01,0.01,0.36
byte_buf_append,TRUE,180,825,0,4,0,0,0.04,0.04,0.08,0,0.01,0.01,0.15
byte_buf_advance,TRUE,305,1395,0,5,0,0,0.06,0.06,0.24,0,0.01,0.01,0.37
byte_buf_append_dynamic,TRUE,229,1085,4,8,0,0,0.15,0.15,0.14,0,0.01,0.01,0.35
array_list_shrink_to_fit,TRUE,262,1294,0,11,0,0,1.39,1.39,0.14,0,0.01,0.01,1.57
array_list_swap_contents,TRUE,353,1713,0,6,0,0,0.85,0.85,0.34,0,0.01,0.02,1.29
array_list_pop_front,TRUE,222,1078,0,7,0,0,1.90,1.90,0.10,0,0.01,0.02,2.05
array_list_push_back,TRUE,300,1464,2,9,0,0,1.58,1.58,0.20,0,0.01,0.02,1.86
byte_buf_clean_up,TRUE,66,308,0,0,0,0,0.01,0.01,0.03,0,0.01,0.01,0.06
byte_buf_clean_up_secure,TRUE,75,351,0,0,0,0,0.01,0.01,0.04,0,0.01,0.01,0.06
byte_buf_append_with_lookup,TRUE,335,1523,0,20,0,0,0.08,0.08,0.29,0,0.01,0.03,0.55
array_list_erase,TRUE,275,1356,0,11,0,0,3.14,3.14,0.13,0,0.01,0.01,3.32
array_list_set_at,TRUE,294,1602,2,9,0,0,1.81,1.81,0.27,0,0.01,0.04,2.21
array_list_pop_front_n,TRUE,226,1097,0,7,0,0,1.93,1.93,0.14,0,0.01,0.02,2.13
byte_buf_eq_c_str,TRUE,112,637,0,11,0,0,0.09,0.09,0.04,0,0,0.01,0.17
byte_buf_eq_c_str_ignore_case,TRUE,112,637,0,11,0,0,0.09,0.09,0.04,0,0,0.01,0.16
byte_buf_from_array,TRUE,69,353,0,0,0,0,0.01,0.01,0.03,0,0.01,0.01,0.05
byte_buf_from_empty_array,TRUE,69,353,0,0,0,0,0.01,0.01,0.03,0,0.01,0.01,0.05
byte_buf_init,TRUE,91,418,0,0,0,0,0.02,0.02,0.06,0,0.01,0.01,0.11
byte_buf_from_c_str,TRUE,332,1526,0,33,0,0,0.28,0.28,0.07,0,0.01,0.01,0.40
byte_buf_init_copy_from_cursor,TRUE,152,723,2,2,0,0,0.06,0.06,0.12,0,0.01,0.02,0.24
byte_buf_reserve,TRUE,132,581,0,4,0,0,0.02,0.02,0.06,0,0.01,0.02,0.14
byte_buf_reset,TRUE,79,374,0,2,0,0,0.15,0.15,0.04,0,0.01,0.01,0.21
byte_buf_reserve_relative,TRUE,238,1043,0,4,0,0,0.03,0.03,0.10,0,0.01,0.01,0.18
byte_buf_secure_zero,TRUE,119,540,0,2,0,0,0.07,0.07,0.05,0,0.01,0.01,0.15
byte_buf_write_be16,TRUE,187,871,0,5,0,0,0.04,0.04,0.12,0,0.01,0.01,0.20
byte_buf_write,TRUE,209,967,0,7,0,0,0.11,0.11,0.14,0,0.01,0.02,0.31
byte_buf_write_be32,TRUE,187,871,0,5,0,0,0.04,0.04,0.12,0,0.01,0.01,0.20
byte_buf_init_copy,TRUE,308,1754,0,9,0,0,1.09,1.09,0.21,0,0.01,0.03,1.39
byte_buf_write_be64,TRUE,187,869,0,5,0,0,0.04,0.04,0.11,0,0.01,0.01,0.19
byte_buf_eq,TRUE,693,3172,0,52,0,0,1.45,1.45,0.45,0,0.01,0.02,2.04
byte_buf_eq_ignore_case,TRUE,476,3788,0,28,0,0,0.64,0.64,0.92,0,0.01,0.04,1.92
array_list_comparator_string,TRUE,429,2820,2,55,0,0,6.03,6.03,0.14,0,0.01,0.03,6.28
byte_buf_write_from_whole_cursor,TRUE,273,1279,0,10,0,0,0.13,0.13,0.26,0,0.01,0.03,0.49
byte_buf_write_from_whole_buffer,TRUE,357,1606,0,10,0,0,0.15,0.15,0.37,0,0.01,0.04,0.65
byte_cursor_advance,TRUE,119,583,0,3,0,0,0.07,0.07,0.07,0,0.01,0.01,0.17
byte_buf_write_u8,TRUE,187,869,0,5,0,0,0.10,0.10,0.11,0,0.01,0.01,0.25
byte_cursor_advance_nospec,TRUE,132,686,2,1,0,0,0.13,0.13,0.08,0,0.01,0.01,0.24
byte_cursor_eq_c_str,TRUE,102,601,0,11,0,0,0.08,0.08,0.03,0,0,0.01,0.13
byte_cursor_eq_c_str_ignore_case,TRUE,102,601,0,11,0,0,0.08,0.08,0.03,0,0,0.01,0.14
byte_cursor_from_array,TRUE,44,200,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.04
byte_cursor_eq,TRUE,296,1567,0,18,0,0,0.54,0.54,0.13,0,0.01,0.01,0.72
byte_cursor_compare_lexical,TRUE,312,1672,0,18,0,0,0.57,0.57,0.33,0,0.01,0.02,0.98
byte_cursor_from_buf,TRUE,196,879,0,3,0,0,0.04,0.04,0.12,0,0.01,0.01,0.19
byte_cursor_from_c_str,TRUE,313,1403,0,33,0,0,0.17,0.17,0.06,0,0.01,0.01,0.27
byte_cursor_eq_byte_buf,TRUE,370,1853,0,18,0,0,0.33,0.33,0.43,0,0.01,0.02,0.88
byte_cursor_from_string,TRUE,75,497,2,11,0,0,0.03,0.03,0.04,0,0.01,0.01,0.11
byte_cursor_eq_byte_buf_ignore_case,TRUE,357,3342,0,16,0,0,0.51,0.51,0.53,0,0.01,0.03,1.24
byte_cursor_left_trim_pred,TRUE,184,890,0,3,0,0,0.03,0.03,0.13,0,0.01,0.01,0.19
byte_cursor_read,TRUE,153,769,4,3,0,0,0.21,0.21,0.09,0,0.01,0.02,0.34
