job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time
add_size_checked,TRUE,30,185,0,0,0.04,0.03,0.01,0.01,0.01,0.04
is_power_of_two,TRUE,7,38,0,0,0.01,0.01,0.00,0.00,0.00,0.01
add_size_saturating,TRUE,26,168,0,0,0.07,0.06,0.01,0.01,0.01,0.08
ptr_eq,TRUE,6,30,0,0,0.01,0.01,0.01,0.01,0.01,0.01
nospec_mask,TRUE,14,84,0,0,0.03,0.02,0.01,0.01,0.01,0.03
mul_size_saturating,TRUE,34,188,0,0,0.16,0.15,0.01,0.01,0.01,0.17
round_up_to_power_of_two,TRUE,27,644,0,0,0.17,0.14,0.01,0.01,0.02,0.17
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0.10,0.08,0.01,0,0.01,0.11
mul_size_checked,TRUE,30,159,0,0,0.19,0.18,0.01,0.01,0.01,0.19
array_list_clean_up,TRUE,75,405,0,0,0.03,0.01,0.01,0.00,0.01,0.04
array_list_capacity,TRUE,180,895,0,3,0.23,0.19,0.03,0.01,0.01,0.24
array_list_back,TRUE,235,1147,2,5,0.26,0.20,0.04,0.01,0.01,0.27
array_list_front,TRUE,230,1119,2,5,0.25,0.20,0.04,0.01,0.01,0.26
array_list_clear,TRUE,133,640,0,0,0.53,0.50,0.02,0.00,0.01,0.54
array_eq_c_str,TRUE,595,2598,0,57,1.01,0.91,0.07,0.01,0.01,1.03
array_eq_ignore_case,TRUE,254,2755,0,28,1.22,1.12,0.07,0.01,0.02,1.23
array_list_get_at_ptr,TRUE,221,1090,0,3,0.25,0.21,0.04,0.01,0.01,0.27
array_list_get_at,TRUE,232,1137,2,5,0.43,0.38,0.04,0.01,0.01,0.45
array_list_ensure_capacity,TRUE,218,1118,0,7,0.79,0.73,0.04,0.01,0.01,0.80
array_list_init_dynamic,TRUE,119,598,0,0,0.35,0.32,0.02,0.01,0.01,0.36
array_eq,TRUE,444,2099,0,52,1.47,1.35,0.09,0.01,0.01,1.49
array_list_copy,TRUE,303,1429,4,4,1.00,0.94,0.04,0.01,0.01,1.02
array_list_length,TRUE,178,895,0,3,0.26,0.21,0.03,0.01,0.01,0.27
array_list_init_static,TRUE,149,744,0,3,0.40,0.36,0.03,0.01,0.01,0.41
array_list_pop_back,TRUE,199,992,0,3,0.67,0.63,0.03,0.01,0.01,0.68
array_list_sort,TRUE,186,937,0,3,0.23,0.18,0.03,0.01,0.01,0.24
array_list_push_back,TRUE,297,1464,2,9,0.46,0.39,0.05,0.01,0.01,0.48
byte_buf_advance,TRUE,307,1407,4,1,0.14,0.06,0.06,0.01,0.01,0.16
byte_buf_append,TRUE,181,836,2,2,0.09,0.05,0.03,0.01,0.01,0.10
array_list_erase,TRUE,273,1352,8,3,2.11,2.04,0.04,0.01,0.01,2.12
byte_buf_append_dynamic,TRUE,231,1101,6,6,0.25,0.19,0.04,0.01,0.01,0.26
array_list_swap_contents,TRUE,349,1708,0,6,0.86,0.76,0.06,0.01,0.02,0.88
byte_buf_append_with_lookup,TRUE,354,1674,20,0,0.25,0.13,0.08,0.01,0.02,0.27
array_list_set_at,TRUE,293,1605,2,9,1.37,1.25,0.06,0.01,0.04,1.39
byte_buf_clean_up,TRUE,66,315,0,0,0.03,0.01,0.01,0.01,0.01,0.04
array_list_pop_front,TRUE,220,1074,4,3,1.68,1.61,0.04,0.01,0.02,1.69
byte_buf_clean_up_secure,TRUE,75,358,0,0,0.03,0.01,0.01,0.01,0.01,0.04
array_list_pop_front_n,TRUE,224,1096,4,3,1.89,1.82,0.04,0.01,0.02,1.90
byte_buf_eq_c_str_ignore_case,TRUE,112,640,0,11,0.12,0.09,0.01,0,0.01,0.13
byte_buf_eq_c_str,TRUE,112,640,0,11,0.10,0.08,0.01,0,0.01,0.11
byte_buf_from_array,TRUE,69,359,0,0,0.05,0.04,0.01,0.00,0.01,0.05
byte_buf_from_empty_array,TRUE,69,359,0,0,0.05,0.03,0.01,0.01,0.01,0.06
array_list_shrink_to_fit,TRUE,261,1296,6,5,2.17,2.10,0.05,0.01,0.01,2.18
byte_buf_cat,TRUE,685,3085,12,10,0.94,0.74,0.15,0.01,0.02,0.98
byte_buf_init,TRUE,92,430,0,0,0.04,0.02,0.02,0.00,0.01,0.05
byte_buf_from_c_str,TRUE,332,1526,0,33,0.34,0.29,0.04,0.01,0.01,0.36
byte_buf_reserve,TRUE,134,596,0,4,0.05,0.02,0.02,0.01,0.01,0.06
byte_buf_init_copy_from_cursor,TRUE,153,733,2,2,0.13,0.07,0.03,0.01,0.02,0.14
byte_buf_reserve_relative,TRUE,240,1059,0,4,0.07,0.03,0.03,0.01,0.01,0.09
byte_buf_secure_zero,TRUE,119,546,0,2,0.10,0.07,0.01,0.01,0.01,0.11
byte_buf_reset,TRUE,79,380,0,2,0.18,0.15,0.02,0.01,0.01,0.19
byte_buf_write_be16,TRUE,187,878,2,3,0.08,0.04,0.03,0.01,0.01,0.09
byte_buf_write,TRUE,210,977,4,3,0.18,0.13,0.03,0.01,0.02,0.20
byte_buf_write_be32,TRUE,187,878,2,3,0.07,0.04,0.02,0.01,0.01,0.09
byte_buf_write_be64,TRUE,187,876,2,3,0.08,0.03,0.03,0.01,0.01,0.08
byte_buf_eq_ignore_case,TRUE,476,3793,4,24,1.37,1.15,0.15,0.01,0.03,1.39
byte_buf_eq,TRUE,671,3098,4,48,1.77,1.55,0.17,0.01,0.02,1.79
array_list_comparator_string,TRUE,401,2695,24,33,5.17,4.91,0.18,0.01,0.04,5.20
byte_buf_write_from_whole_cursor,TRUE,274,1289,6,4,0.24,0.16,0.06,0.01,0.02,0.26
byte_cursor_advance,TRUE,119,585,2,1,0.10,0.07,0.03,0.01,0.01,0.11
byte_buf_write_from_whole_buffer,TRUE,358,1618,6,4,0.30,0.18,0.08,0.01,0.03,0.32
byte_buf_write_u8,TRUE,187,874,2,3,0.15,0.11,0.03,0.01,0.01,0.16
byte_buf_init_copy,TRUE,311,1774,4,5,1.30,1.21,0.05,0.01,0.03,1.32
byte_cursor_advance_nospec,TRUE,130,679,2,1,0.19,0.16,0.02,0.01,0.01,0.20
byte_cursor_eq_c_str_ignore_case,TRUE,102,601,0,11,0.09,0.08,0.01,0,0.01,0.10
byte_cursor_eq_c_str,TRUE,102,601,0,11,0.10,0.08,0.02,0,0.01,0.11
byte_cursor_from_array,TRUE,44,207,0,0,0.03,0.01,0.01,0.01,0.01,0.03
byte_cursor_from_buf,TRUE,196,886,2,1,0.07,0.04,0.03,0.01,0.01,0.08
byte_cursor_compare_lexical,TRUE,312,1669,4,14,0.72,0.63,0.06,0.01,0.01,0.73
byte_cursor_eq_byte_buf,TRUE,370,1854,4,14,0.48,0.35,0.10,0.01,0.01,0.50
byte_cursor_eq,TRUE,294,1549,4,14,0.66,0.59,0.05,0.01,0.01,0.66
byte_cursor_left_trim_pred,TRUE,184,888,2,1,0.07,0.03,0.03,0.01,0.01,0.08
byte_cursor_from_string,TRUE,74,493,2,11,0.05,0.03,0.02,0.01,0.01,0.06
byte_cursor_from_c_str,TRUE,313,1403,0,33,0.23,0.19,0.03,0.01,0.01,0.24
byte_cursor_read_be16,TRUE,113,624,2,1,0.08,0.05,0.02,0.01,0.02,0.09
byte_cursor_eq_byte_buf_ignore_case,TRUE,357,3345,4,12,1.04,0.93,0.07,0.01,0.02,1.06
byte_cursor_read,TRUE,151,768,4,3,0.31,0.26,0.03,0.01,0.02,0.32
byte_cursor_eq_ignore_case,TRUE,276,2934,4,12,1.14,1.02,0.07,0.01,0.02,1.15
byte_cursor_compare_lookup,TRUE,820,3546,64,68,1.42,1.13,0.20,0.01,0.02,1.45
byte_cursor_read_be64,TRUE,113,701,2,1,0.15,0.10,0.02,0.01,0.02,0.15
byte_cursor_read_be32,TRUE,113,650,2,1,0.11,0.07,0.02,0.01,0.02,0.13
byte_cursor_read_and_fill_buffer,TRUE,264,1262,4,4,0.40,0.31,0.05,0.01,0.02,0.41
byte_cursor_read_u8,TRUE,124,632,2,3,0.14,0.09,0.03,0.01,0.02,0.14
byte_cursor_right_trim_pred,TRUE,209,962,2,12,0.10,0.03,0.05,0.01,0.01,0.11
byte_cursor_satisfies_pred,TRUE,166,780,2,1,0.06,0.03,0.03,0.01,0.01,0.07
hash_ptr,TRUE,12,67,0,0,0.02,0.01,0.00,0,0.00,0.02
hash_array_ignore_case,TRUE,106,440,9,2,0.05,0.03,0.02,0.01,0.01,0.06
byte_cursor_trim_pred,TRUE,314,1457,12,2,0.27,0.18,0.06,0.01,0.01,0.28
