job_name,result,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,seahorn_total_time
add_size_checked,TRUE,0,0,0.03,0.02,0.01,0.03
is_power_of_two,TRUE,0,0,0.01,0.01,0,0.02
add_size_saturating,TRUE,0,0,0.07,0.06,0.01,0.07
nospec_mask,TRUE,0,0,0.03,0.02,0.01,0.04
ptr_eq,TRUE,0,0,0.02,0.01,0.01,0.02
array_eq_c_str_ignore_case,TRUE,0,11,0.1,0.07,0.01,0.1
mul_size_checked,TRUE,0,0,0.18,0.17,0.01,0.18
mul_size_saturating,TRUE,0,0,0.19,0.18,0.01,0.2
round_up_to_power_of_two,TRUE,0,0,0.18,0.14,0.01,0.18
array_list_clean_up,TRUE,0,0,0.03,0.01,0.02,0.04
array_list_capacity,TRUE,0,3,0.23,0.18,0.03,0.24
array_list_back,TRUE,2,5,0.28,0.22,0.04,0.3
array_list_clear,TRUE,0,0,0.56,0.53,0.02,0.56
array_list_front,TRUE,2,5,0.25,0.21,0.04,0.27
array_eq_c_str,TRUE,0,57,0.99,0.88,0.07,1.01
array_eq_ignore_case,TRUE,0,28,1.19,1.08,0.06,1.2
array_list_ensure_capacity,TRUE,0,7,0.78,0.72,0.04,0.79
array_list_get_at_ptr,TRUE,0,3,0.28,0.24,0.03,0.3
array_eq,TRUE,0,52,1.44,1.33,0.09,1.46
array_list_get_at,TRUE,2,5,0.45,0.39,0.05,0.46
array_list_copy,TRUE,4,4,1.02,0.95,0.06,1.04
array_list_init_dynamic,TRUE,0,0,0.35,0.32,0.02,0.35
array_list_length,TRUE,0,3,0.23,0.2,0.03,0.24
array_list_init_static,TRUE,0,3,0.38,0.34,0.03,0.39
array_list_pop_back,TRUE,0,3,0.66,0.61,0.03,0.67
array_list_sort,TRUE,0,3,0.22,0.18,0.03,0.23
byte_buf_advance,TRUE,4,1,0.15,0.06,0.07,0.16
array_list_push_back,TRUE,2,9,0.46,0.36,0.07,0.48
byte_buf_append,TRUE,2,2,0.1,0.05,0.03,0.11
array_list_erase,TRUE,8,3,2.16,2.09,0.05,2.17
byte_buf_append_dynamic,TRUE,6,6,0.25,0.19,0.04,0.27
array_list_swap_contents,TRUE,0,6,0.87,0.79,0.06,0.89
byte_buf_clean_up,TRUE,0,0,0.02,0.01,0.01,0.02
array_list_set_at,TRUE,2,9,1.29,1.17,0.06,1.31
byte_buf_append_with_lookup,TRUE,20,0,0.24,0.12,0.08,0.26
array_list_pop_front,TRUE,4,3,1.66,1.6,0.03,1.67
byte_buf_clean_up_secure,TRUE,0,0,0.03,0.01,0.01,0.03
array_list_pop_front_n,TRUE,4,3,1.86,1.78,0.04,1.87
