job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,30,185,0,0,0.02,0.02,0.01,0.01,0.01,0.04,0
ptr_eq,TRUE,6,30,0,0,0.01,0.01,0.01,0.00,0.01,0.02,0
add_size_saturating,TRUE,26,168,0,0,0.06,0.06,0.02,0.01,0.01,0.09,0
is_power_of_two,TRUE,7,38,0,0,0.01,0.01,0.01,0.00,0.01,0.02,0
nospec_mask,TRUE,14,84,0,0,0.02,0.02,0.01,0.01,0.01,0.04,0
mul_size_saturating,TRUE,34,188,0,0,0.19,0.19,0.02,0.01,0.01,0.22,0
mul_size_checked,TRUE,30,159,0,0,0.18,0.18,0.01,0.01,0.01,0.20,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0.08,0.08,0.03,0,0.01,0.14,0
array_list_clean_up,TRUE,53,314,0,0,0.01,0.01,0.09,0.01,0.01,0.12,0
array_list_clear,TRUE,75,413,0,0,0.13,0.13,0.11,0.01,0.01,0.27,0
array_list_capacity,TRUE,139,742,2,1,0.17,0.17,0.35,0.01,0.01,0.59,0
array_eq_c_str,TRUE,580,2545,2,55,0.92,0.92,0.17,0.01,0.02,1.20,0
array_list_back,TRUE,177,935,4,3,0.20,0.20,0.66,0.01,0.01,1.04,0
array_list_front,TRUE,173,908,4,3,0.36,0.36,0.60,0.01,0.01,1.08,0
array_list_ensure_capacity,TRUE,174,946,2,5,0.72,0.72,0.87,0.01,0.01,1.77,0
array_list_get_at,TRUE,175,926,4,3,0.32,0.32,0.53,0.01,0.01,0.99,0
array_list_init_dynamic,TRUE,112,565,0,0,0.31,0.31,0.22,0.01,0.01,0.56,0
array_list_copy,TRUE,217,1105,4,4,0.86,0.86,1.00,0.01,0.01,2.01,0
round_up_to_power_of_two,TRUE,27,644,0,0,0.14,0.14,2.45,0.01,0.02,2.63,0
array_list_get_at_ptr,TRUE,167,897,2,1,0.20,0.20,0.72,0.01,0.01,1.01,0
array_list_init_static,TRUE,115,616,2,1,0.37,0.37,0.35,0.01,0.01,0.78,0
array_eq,TRUE,425,2035,4,48,1.69,1.69,0.99,0.01,0.02,3.03,0
array_list_erase,TRUE,218,1174,10,1,1.38,1.38,0.97,0.01,0.01,2.60,0
array_list_length,TRUE,139,752,2,1,0.18,0.18,0.46,0.01,0.01,0.72,0
array_list_pop_back,TRUE,151,823,2,1,0.69,0.69,0.58,0.01,0.01,1.35,0
array_list_sort,TRUE,143,776,2,1,0.18,0.18,0.52,0.01,0.01,0.79,0
array_list_pop_front,TRUE,168,896,6,1,0.79,0.79,0.64,0.01,0.02,1.58,0
array_eq_ignore_case,TRUE,240,2676,4,24,0.99,0.99,2.24,0.01,0.03,4.67,0
array_list_pop_front_n,TRUE,180,942,6,1,1.04,1.04,0.83,0.01,0.02,2.04,0
byte_buf_append,TRUE,153,727,0,4,0.04,0.04,0.32,0.01,0.01,0.42,0
array_list_push_back,TRUE,219,1167,4,7,0.43,0.43,1.14,0.01,0.01,1.86,0
array_list_shrink_to_fit,TRUE,232,1188,4,7,0.96,0.96,1.03,0.01,0.01,2.13,0
byte_buf_clean_up,TRUE,49,240,0,0,0.01,0.01,0.05,0.01,0.01,0.08,0
array_list_set_at,TRUE,225,1177,4,7,1.31,1.31,1.02,0.01,0.03,2.67,0
byte_buf_clean_up_secure,TRUE,53,264,0,0,0.01,0.01,0.06,0.01,0.01,0.10,0
byte_buf_append_dynamic,TRUE,202,979,4,8,0.16,0.16,0.54,0.01,0.01,0.86,0
byte_buf_eq_c_str,TRUE,106,615,0,11,0.08,0.08,0.08,0,0.01,0.24,0
byte_buf_advance,TRUE,256,1213,4,1,0.08,0.08,1.73,0.01,0.01,2.02,0
byte_buf_eq_c_str_ignore_case,TRUE,106,615,0,11,0.09,0.09,0.07,0,0.01,0.24,0
byte_buf_from_array,TRUE,44,265,0,0,0.05,0.05,0.06,0.01,0.01,0.12,0
byte_buf_from_empty_array,TRUE,44,265,0,0,0.05,0.05,0.05,0.00,0.01,0.11,0
byte_buf_from_c_str,TRUE,332,1526,0,33,0.28,0.28,0.08,0.00,0.01,0.39,0
byte_buf_init,TRUE,85,396,0,0,0.02,0.02,0.16,0.01,0.01,0.22,0
byte_buf_reserve,TRUE,92,419,0,4,0.02,0.02,0.14,0.01,0.02,0.22,0
byte_buf_reset,TRUE,62,309,0,2,0.14,0.14,0.08,0.01,0.01,0.26,0
byte_buf_init_copy_from_cursor,TRUE,146,701,2,2,0.06,0.06,0.61,0.01,0.02,0.77,0
byte_buf_reserve_relative,TRUE,232,1038,0,4,0.03,0.03,0.30,0.01,0.01,0.38,0
byte_buf_init_copy,FALSE,254,1386,4,1,0.10,0.10,1.15,0.01,0.02,1.40,0
byte_buf_secure_zero,TRUE,83,414,0,2,0.07,0.07,0.10,0.01,0.01,0.22,0
byte_buf_append_with_lookup,TRUE,318,1530,10,10,0.08,0.08,2.88,0.01,0.02,4.12,0
array_list_swap_contents,TRUE,270,1415,4,2,1.35,1.35,3.23,0.01,0.02,5.03,0
byte_buf_write_be16,TRUE,161,776,2,3,0.04,0.04,0.56,0.01,0.01,0.70,0
byte_buf_write_be32,TRUE,161,776,2,3,0.04,0.04,0.56,0.01,0.01,0.70,0
byte_buf_write,TRUE,179,860,2,5,0.13,0.13,0.84,0.01,0.02,1.13,0
byte_buf_write_be64,TRUE,161,774,2,3,0.04,0.04,0.55,0.01,0.01,0.70,0
byte_cursor_advance,TRUE,119,585,2,1,0.07,0.07,0.28,0.01,0.01,0.39,0
byte_buf_write_u8,TRUE,161,772,2,3,0.08,0.08,0.42,0.01,0.01,0.59,0
array_list_swap,TRUE,257,1433,24,4,5.69,5.69,0.97,0.01,0.02,7.00,0
byte_cursor_advance_nospec,TRUE,130,679,2,1,0.15,0.15,0.31,0.01,0.01,0.50,0
byte_buf_write_from_whole_cursor,TRUE,239,1164,4,6,0.14,0.14,2.05,0.01,0.02,2.54,0
byte_buf_write_from_whole_buffer,TRUE,292,1382,4,6,0.16,0.16,2.59,0.01,0.03,3.28,0
byte_cursor_eq_c_str,TRUE,102,601,0,11,0.08,0.08,0.04,0,0.01,0.15,0
byte_cursor_compare_lexical,TRUE,312,1669,4,14,0.63,0.63,1.74,0.01,0.01,2.70,0
byte_cursor_eq_c_str_ignore_case,TRUE,102,601,0,11,0.08,0.08,0.04,0,0.01,0.16,0
byte_cursor_eq,TRUE,294,1549,4,14,0.64,0.64,1.55,0.01,0.01,2.50,0
byte_cursor_from_array,TRUE,30,153,0,0,0.01,0.01,0.02,0.01,0.01,0.05,0
byte_cursor_from_c_str,TRUE,313,1403,0,33,0.18,0.18,0.06,0.01,0.01,0.29,0
byte_cursor_from_buf,TRUE,158,757,2,1,0.03,0.03,0.55,0.01,0.01,0.67,0
byte_cursor_from_string,TRUE,74,493,2,11,0.03,0.03,0.12,0.01,0.01,0.25,0
byte_buf_write_from_whole_string,TRUE,313,2957,26,4,2.79,2.79,2.32,0.01,0.07,5.89,0
byte_cursor_left_trim_pred,TRUE,184,888,2,1,0.03,0.03,0.47,0.01,0.01,0.54,0
byte_cursor_read,TRUE,140,724,4,3,0.27,0.27,0.31,0.01,0.02,0.66,0
byte_cursor_eq_byte_buf,TRUE,343,1753,4,14,0.36,0.36,4.12,0.01,0.02,5.30,0
byte_cursor_read_be16,TRUE,113,624,2,1,0.05,0.05,0.38,0.01,0.02,0.48,0
byte_cursor_read_be32,TRUE,113,650,2,1,0.07,0.07,0.38,0.01,0.02,0.50,0
byte_cursor_read_be64,TRUE,113,701,2,1,0.10,0.10,0.38,0.01,0.02,0.53,0
byte_cursor_read_and_fill_buffer,TRUE,234,1153,4,4,0.30,0.30,1.17,0.01,0.03,1.65,0
byte_cursor_read_u8,TRUE,113,588,2,3,0.06,0.06,0.18,0.01,0.01,0.28,0
byte_cursor_right_trim_pred,TRUE,209,962,2,12,0.04,0.04,0.40,0.01,0.01,0.56,0
byte_cursor_satisfies_pred,TRUE,166,780,2,1,0.03,0.03,0.27,0.01,0.01,0.35,0
hash_ptr,TRUE,12,67,0,0,0.01,0.01,0.01,0,0.01,0.03,0
byte_buf_eq,TRUE,606,2881,4,48,1.51,1.51,8.92,0.01,0.04,12.70,0
hash_array_ignore_case,TRUE,58,241,0,12,0.02,0.02,0.04,0,0.01,0.12,0
hash_byte_cursor_ptr_ignore_case,TRUE,98,459,0,0,0.02,0.02,0.05,0.01,0.01,0.09,0
byte_cursor_trim_pred,TRUE,304,1417,2,12,0.08,0.08,0.98,0.01,0.01,1.23,0
byte_cursor_eq_ignore_case,TRUE,276,2934,4,12,1.00,1.00,3.13,0.01,0.03,5.51,0
hash_byte_cursor_ptr,TRUE,189,850,0,21,0.22,0.22,0.16,0.01,0.01,0.48,0
hash_string,TRUE,199,855,24,6,0.26,0.26,0.47,0,0.02,0.99,0
array_list_comparator_string,TRUE,401,2695,24,33,4.52,4.52,10.59,0.01,0.07,19.17,0
hash_callback_string_destroy,TRUE,36,232,1,7,0.04,0.04,0.05,0,0.01,0.13,0
hash_c_string,TRUE,458,1934,3,54,0.65,0.65,0.08,0,0.01,0.77,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,330,3251,4,12,0.91,0.91,6.48,0.01,0.03,9.60,0
hash_table_get_entry_count,TRUE,210,1171,0,48,0.06,0.06,0.65,0.01,0.03,1.25,0
byte_cursor_compare_lookup,TRUE,820,3546,64,68,1.11,1.11,8.72,0.01,0.04,13.54,0
hash_callback_c_str_eq,TRUE,705,3378,0,82,5.30,5.30,0.16,0.01,0.02,5.56,0
hash_table_move,TRUE,203,1143,0,46,0.06,0.06,0.73,0.01,0.03,1.37,0
byte_buf_eq_ignore_case,TRUE,419,3583,4,24,0.66,0.66,12.96,0.01,0.05,19.64,0
hash_table_swap,TRUE,401,2157,0,92,0.24,0.24,4.06,0.01,0.06,7.53,0
hash_table_clean_up,TRUE,714,3032,0,148,0.30,0.30,5.23,0.01,0.05,8.91,0
hash_table_clear,TRUE,785,3290,0,171,0.44,0.44,4.90,0.01,0.05,8.84,0
hash_iter_done,TRUE,512,2431,6,82,0.18,0.18,10.70,0.01,0.05,17.67,0
hash_callback_string_eq,TRUE,519,3276,36,41,3.80,3.80,11.53,0.01,0.07,19.88,0
hash_iter_begin,TRUE,726,3359,0,108,0.49,0.49,15.19,0.01,0.08,21.22,0
hash_table_init_unbounded,TRUE,156,1546,24,0,1.65,1.65,1.34,0.01,0.05,3.79,0
hash_table_init_bounded,TRUE,174,1665,27,0,2.51,2.51,3.34,0.00,0.05,8.09,0
hash_iter_begin_done,TRUE,1226,5257,0,175,0.66,0.66,18.69,0.01,0.07,26.21,0
linked_list_back,TRUE,368,2308,6,15,0.70,0.70,2.98,0.01,0.04,4.61,0
linked_list_begin,TRUE,366,2301,6,15,0.64,0.64,2.97,0.01,0.04,4.54,0
linked_list_init,TRUE,19,109,0,0,0.01,0.01,0.02,0.00,0.01,0.04,0
linked_list_remove,TRUE,21,121,0,0,0.01,0.01,0.02,0.01,0.01,0.04,0
linked_list_end,TRUE,365,2287,6,15,0.64,0.64,2.89,0.00,0.04,4.43,0
hash_iter_next,TRUE,585,2886,15,82,1.07,1.07,20.10,0.01,0.05,32.23,0
linked_list_prev,TRUE,22,127,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0
linked_list_next,TRUE,22,127,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0
linked_list_front,TRUE,428,2563,10,23,0.85,0.85,3.64,0.01,0.04,5.59,0
linked_list_node_reset,TRUE,16,97,0,2,0.10,0.10,0.01,0.00,0.01,0.13,0
linked_list_push_back,TRUE,534,3128,16,22,0.61,0.61,5.37,0.01,0.05,7.54,0
linked_list_pop_back,TRUE,607,3444,32,22,1.36,1.36,8.39,0.01,0.07,12.50,0
linked_list_insert_after,TRUE,23,133,0,0,0.01,0.01,0.02,0.01,0.01,0.04,0
linked_list_insert_before,TRUE,23,133,0,0,0.01,0.01,0.02,0.01,0.01,0.04,0
linked_list_push_front,TRUE,603,3507,21,22,1.31,1.31,7.31,0.01,0.06,10.74,0
linked_list_pop_front,TRUE,629,3479,32,22,1.36,1.36,10.40,0.01,0.08,15.00,0
string_bytes,TRUE,41,246,2,7,0.09,0.09,0.05,0.01,0.01,0.19,0
linked_list_rbegin,TRUE,435,2668,10,23,0.45,0.45,3.58,0.01,0.03,5.25,0
