job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time
add_size_checked,TRUE,30,185,0,0,0.04,0.03,0.01,0.01,0.01,0.04
ptr_eq,TRUE,6,30,0,0,0.01,0.01,0.00,0.00,0.00,0.02
nospec_mask,TRUE,14,84,0,0,0.02,0.02,0.01,0.00,0.01,0.02
add_size_saturating,TRUE,26,168,0,0,0.07,0.06,0.01,0.01,0.01,0.08
is_power_of_two,TRUE,7,38,0,0,0.01,0.01,0.01,0.01,0.01,0.01
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0.10,0.07,0.01,0,0.01,0.10
mul_size_checked,TRUE,30,159,0,0,0.18,0.17,0.01,0.00,0.01,0.19
round_up_to_power_of_two,TRUE,27,644,0,0,0.18,0.14,0.01,0.01,0.02,0.18
mul_size_saturating,TRUE,34,188,0,0,0.20,0.19,0.01,0.01,0.01,0.21
array_list_clean_up,TRUE,75,405,0,0,0.03,0.01,0.01,0.01,0.01,0.04
array_list_capacity,TRUE,180,895,0,3,0.23,0.19,0.03,0.01,0.01,0.24
array_list_back,TRUE,235,1147,2,5,0.26,0.21,0.04,0.01,0.01,0.28
array_list_front,TRUE,230,1119,2,5,0.25,0.20,0.04,0.01,0.01,0.27
array_list_clear,TRUE,133,640,0,0,0.54,0.52,0.02,0.01,0.01,0.55
array_eq_c_str,TRUE,595,2598,0,57,1.01,0.90,0.07,0.01,0.02,1.03
array_eq_ignore_case,TRUE,254,2755,0,28,1.21,1.10,0.07,0.01,0.02,1.23
array_list_ensure_capacity,TRUE,218,1118,0,7,0.78,0.72,0.04,0.01,0.01,0.79
array_list_get_at_ptr,TRUE,221,1090,0,3,0.26,0.21,0.03,0.01,0.01,0.27
array_eq,TRUE,444,2099,0,52,1.34,1.25,0.07,0.01,0.01,1.36
array_list_init_dynamic,TRUE,119,598,0,0,0.35,0.33,0.02,0.00,0.01,0.36
array_list_get_at,TRUE,232,1137,2,5,0.43,0.37,0.04,0.01,0.01,0.44
array_list_copy,TRUE,303,1429,4,4,1.00,0.93,0.05,0.01,0.01,1.02
array_list_length,TRUE,178,895,0,3,0.22,0.19,0.02,0.01,0.01,0.24
array_list_init_static,TRUE,149,744,0,3,0.36,0.33,0.02,0.01,0.01,0.37
array_list_pop_back,TRUE,199,992,0,3,0.64,0.59,0.03,0.01,0.01,0.65
array_list_sort,TRUE,186,937,0,3,0.23,0.19,0.03,0.01,0.01,0.25
array_list_push_back,TRUE,297,1464,2,9,0.42,0.36,0.05,0.01,0.01,0.43
byte_buf_advance,TRUE,307,1407,4,1,0.15,0.07,0.05,0.01,0.01,0.17
array_list_erase,TRUE,273,1352,8,3,2.20,2.13,0.04,0.01,0.01,2.21
byte_buf_append,TRUE,181,836,2,2,0.09,0.05,0.03,0.01,0.01,0.10
byte_buf_append_dynamic,TRUE,231,1101,6,6,0.26,0.20,0.04,0.01,0.01,0.27
byte_buf_append_with_lookup,TRUE,354,1674,20,0,0.21,0.11,0.06,0.01,0.02,0.23
array_list_swap_contents,TRUE,349,1708,0,6,0.84,0.75,0.06,0.01,0.02,0.86
array_list_set_at,TRUE,293,1605,2,9,1.26,1.16,0.06,0.01,0.04,1.28
byte_buf_clean_up,TRUE,66,315,0,0,0.02,0.01,0.01,0.00,0.01,0.02
byte_buf_clean_up_secure,TRUE,75,358,0,0,0.03,0.01,0.02,0.01,0.01,0.04
array_list_pop_front,TRUE,220,1074,4,3,1.71,1.63,0.05,0.01,0.02,1.71
byte_buf_eq_c_str,TRUE,112,640,0,11,0.12,0.09,0.02,0,0.01,0.13
byte_buf_from_array,TRUE,69,359,0,0,0.05,0.04,0.01,0.00,0.00,0.06
array_list_pop_front_n,TRUE,224,1096,4,3,1.93,1.86,0.04,0.01,0.02,1.95
byte_buf_eq_c_str_ignore_case,TRUE,112,640,0,11,0.10,0.08,0.02,0,0.01,0.11
array_list_shrink_to_fit,TRUE,261,1296,6,5,2.06,2.00,0.04,0.01,0.01,2.07
byte_buf_from_empty_array,TRUE,69,359,0,0,0.06,0.04,0.01,0.01,0.01,0.06
byte_buf_init,TRUE,92,430,0,0,0.05,0.02,0.02,0.01,0.01,0.06
byte_buf_from_c_str,TRUE,332,1526,0,33,0.34,0.28,0.04,0.01,0.01,0.35
byte_buf_init_copy_from_cursor,TRUE,153,733,2,2,0.13,0.07,0.03,0.01,0.02,0.14
byte_buf_cat,TRUE,685,3085,12,10,1.12,0.86,0.19,0.01,0.02,1.15
byte_buf_reserve,TRUE,134,596,0,4,0.08,0.03,0.03,0.01,0.02,0.09
byte_buf_reserve_relative,TRUE,240,1059,0,4,0.08,0.03,0.04,0.01,0.01,0.09
byte_buf_reset,TRUE,79,380,0,2,0.21,0.17,0.02,0.01,0.01,0.22
byte_buf_secure_zero,TRUE,119,546,0,2,0.12,0.08,0.02,0.01,0.01,0.12
byte_buf_write_be16,TRUE,187,878,2,3,0.08,0.04,0.03,0.01,0.01,0.10
byte_buf_write_be32,TRUE,187,878,2,3,0.09,0.04,0.04,0.01,0.01,0.10
byte_buf_write,TRUE,210,977,4,3,0.19,0.13,0.04,0.01,0.02,0.20
byte_buf_write_be64,TRUE,187,876,2,3,0.08,0.04,0.03,0.01,0.01,0.09
byte_buf_eq_ignore_case,TRUE,476,3793,4,24,1.34,1.15,0.12,0.01,0.03,1.36
byte_buf_write_from_whole_cursor,TRUE,274,1289,6,4,0.20,0.13,0.05,0.01,0.02,0.22
byte_buf_write_from_whole_buffer,TRUE,358,1618,6,4,0.29,0.18,0.08,0.01,0.02,0.32
byte_buf_eq,TRUE,671,3098,4,48,1.79,1.57,0.17,0.01,0.02,1.82
array_list_comparator_string,TRUE,401,2695,24,33,5.14,4.85,0.20,0.00,0.03,5.17
byte_buf_init_copy,TRUE,311,1774,4,5,1.31,1.21,0.06,0.01,0.03,1.32
byte_cursor_advance,TRUE,119,585,2,1,0.11,0.07,0.02,0.01,0.01,0.12
byte_cursor_advance_nospec,TRUE,130,679,2,1,0.20,0.16,0.02,0.01,0.01,0.20
byte_buf_write_u8,TRUE,187,874,2,3,0.15,0.10,0.04,0.01,0.01,0.16
byte_cursor_eq_c_str,TRUE,102,601,0,11,0.10,0.08,0.01,0,0.01,0.11
byte_cursor_from_array,TRUE,44,207,0,0,0.03,0.01,0.01,0.01,0.01,0.03
byte_cursor_from_buf,TRUE,196,886,2,1,0.09,0.04,0.04,0.01,0.01,0.10
byte_cursor_compare_lexical,TRUE,312,1669,4,14,0.75,0.66,0.07,0.01,0.01,0.77
byte_cursor_eq_c_str_ignore_case,TRUE,102,601,0,11,0.10,0.07,0.02,0,0.01,0.11
byte_cursor_eq_byte_buf,TRUE,370,1854,4,14,0.48,0.36,0.10,0.01,0.01,0.50
byte_cursor_eq,TRUE,294,1549,4,14,0.77,0.68,0.07,0.01,0.01,0.79
byte_cursor_from_string,TRUE,74,493,2,11,0.06,0.03,0.02,0.01,0.01,0.07
byte_cursor_from_c_str,TRUE,313,1403,0,33,0.25,0.19,0.04,0.01,0.01,0.27
byte_cursor_left_trim_pred,TRUE,184,888,2,1,0.08,0.03,0.03,0.01,0.01,0.09
byte_cursor_read_be16,TRUE,113,624,2,1,0.08,0.05,0.02,0.01,0.01,0.09
byte_cursor_eq_byte_buf_ignore_case,TRUE,357,3345,4,12,1.08,0.94,0.09,0.01,0.02,1.11
byte_cursor_read,TRUE,151,768,4,3,0.31,0.26,0.03,0.01,0.02,0.32
byte_cursor_compare_lookup,TRUE,820,3546,64,68,1.45,1.15,0.22,0.01,0.02,1.48
byte_cursor_eq_ignore_case,TRUE,276,2934,4,12,1.12,1.02,0.07,0.01,0.02,1.13
byte_cursor_read_and_fill_buffer,TRUE,264,1262,4,4,0.39,0.32,0.04,0.01,0.03,0.41
