job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,30,185,0,0,0.02,0.02,0,0,0,0.03,0
add_size_saturating,TRUE,26,168,0,0,0.06,0.06,0.01,0.01,0.01,0.07,0
array_eq,TRUE,448,2111,0,0,1.4,1.4,0.04,0.01,0.01,1.48,0
array_eq_c_str,TRUE,584,2554,0,0,0.8,0.8,0.04,0,0.01,0.88,0
array_eq_c_str_ignore_case,TRUE,100,581,0,0,0.08,0.08,0.01,0,0.01,0.1,0
array_eq_c_str_ignore_case2,TRUE,100,586,0,0,0.08,0.08,0.01,0,0.01,0.1,0
array_eq_c_str2,TRUE,521,2262,0,0,0.58,0.58,0.03,0.01,0.01,0.65,0
array_eq_ignore_case,TRUE,261,2736,0,0,1.05,1.05,0.03,0.01,0.02,1.11,0
array_eq_ignore_case2,TRUE,197,2440,0,0,0.56,0.56,0.02,0.01,0.01,0.61,0
array_eq2,TRUE,386,1822,0,0,1.07,1.07,0.03,0.01,0.01,1.12,0
array_list_back,TRUE,178,936,0,0,0.21,0.21,0.02,0.01,0.01,0.25,0
array_list_back2,TRUE,138,691,0,0,0.16,0.16,0.01,0.01,0.01,0.18,0
array_list_capacity,TRUE,139,741,0,0,0.18,0.18,0.02,0.01,0.01,0.21,0
array_list_capacity2,TRUE,96,486,0,0,0.17,0.17,0.01,0.01,0.01,0.19,0
array_list_clean_up,TRUE,53,314,0,0,0.01,0.01,0,0,0.01,0.03,0
array_list_clear,TRUE,75,413,0,0,0.15,0.15,0.01,0.01,0.01,0.18,0
array_list_clear2,TRUE,79,426,0,0,0.16,0.16,0.01,0.01,0.01,0.19,0
array_list_comparator_string,TRUE,433,2832,0,0,5.05,5.05,0.06,0,0.03,5.17,0
array_list_copy,TRUE,218,1108,0,0,0.96,0.96,0.03,0.01,0.01,1.01,0
array_list_ensure_capacity,TRUE,176,950,0,0,0.82,0.82,0.02,0.01,0.01,0.87,0
array_list_ensure_capacity2,TRUE,140,719,0,0,0.7,0.7,0.02,0.01,0.01,0.73,0
array_list_erase,TRUE,218,1173,0,0,1.44,1.44,0.02,0.01,0.01,1.48,0
array_list_erase2,TRUE,235,1124,0,0,2.7,2.7,0.02,0.01,0.01,2.74,0
array_list_front,TRUE,174,909,0,0,0.23,0.23,0.02,0.01,0.01,0.27,0
array_list_front2,TRUE,134,664,0,0,0.18,0.18,0.01,0.01,0.01,0.21,0
array_list_get_at,TRUE,176,927,0,0,0.39,0.39,0.02,0.01,0.01,0.43,0
array_list_get_at_ptr,TRUE,167,896,0,0,0.21,0.21,0.02,0.01,0.01,0.25,0
array_list_get_at_ptr2,TRUE,127,651,0,0,0.17,0.17,0.01,0.01,0.01,0.19,0
array_list_get_at2,TRUE,136,682,0,0,0.36,0.36,0.02,0.01,0.01,0.39,0
array_list_init_dynamic,TRUE,112,565,0,0,0.33,0.33,0.01,0.01,0.01,0.36,0
array_list_init_static,TRUE,116,615,0,0,0.4,0.4,0.01,0.01,0.01,0.43,0
array_list_init_static2,TRUE,87,453,0,0,0.35,0.35,0.01,0,0.01,0.38,0
array_list_length,TRUE,139,751,0,0,0.19,0.19,0.01,0.01,0.01,0.23,0
array_list_length2,TRUE,99,506,0,0,0.18,0.18,0.01,0.01,0.01,0.2,0
array_list_pop_back,TRUE,151,822,0,0,1.08,1.08,0.02,0.01,0.01,1.12,0
array_list_pop_back2,TRUE,113,586,0,0,0.62,0.62,0.01,0.01,0.01,0.66,0
array_list_pop_front,TRUE,168,895,0,0,0.89,0.89,0.02,0.01,0.02,0.94,0
array_list_pop_front_n,TRUE,180,941,0,0,1.92,1.92,0.02,0.01,0.02,1.98,0
array_list_pop_front_n2,TRUE,144,716,0,0,1.35,1.35,0.01,0.01,0.02,1.39,0
array_list_pop_front2,TRUE,130,670,0,0,0.82,0.82,0.02,0.01,0.01,0.86,0
array_list_push_back,TRUE,221,1171,0,0,2.15,2.15,0.03,0,0.01,2.19,0
array_list_push_back2,TRUE,233,1118,0,0,0.42,0.42,0.03,0.01,0.01,0.47,0
array_list_set_at,TRUE,227,1181,0,0,1.88,1.88,0.03,0.01,0.02,1.95,0
array_list_set_at2,TRUE,229,1236,0,0,1.19,1.19,0.02,0.01,0.03,1.26,0
array_list_shrink_to_fit,TRUE,234,1192,0,0,1.21,1.21,0.03,0.01,0.01,1.27,0
array_list_shrink_to_fit2,TRUE,192,932,0,0,1.39,1.39,0.02,0.01,0.02,1.44,0
array_list_sort,TRUE,143,775,0,0,0.19,0.19,0.01,0.01,0.01,0.22,0
array_list_sort2,TRUE,103,530,0,0,0.17,0.17,0.01,0.01,0.01,0.19,0
array_list_swap,TRUE,259,1437,0,0,20.82,20.82,0.03,0.01,0.01,20.87,0
array_list_swap_contents,TRUE,271,1415,0,0,0.76,0.76,0.03,0.01,0.01,0.82,0
byte_buf_advance,TRUE,256,1213,0,0,0.07,0.07,0.03,0.01,0.01,0.13,0
byte_buf_advance2,TRUE,200,916,0,0,0.04,0.04,0.03,0.01,0.01,0.1,0
byte_buf_append,TRUE,154,734,0,0,0.05,0.05,0.02,0.01,0.01,0.08,0
byte_buf_append_dynamic,TRUE,205,990,0,0,0.19,0.19,0.02,0.01,0.01,0.23,0
byte_buf_append_dynamic2,TRUE,211,979,0,0,0.19,0.19,0.02,0.01,0.01,0.23,0
byte_buf_append_with_lookup,TRUE,327,1569,0,0,0.12,0.12,0.04,0.01,0.02,0.2,0
byte_buf_append_with_lookup2,TRUE,329,1568,0,0,0.09,0.09,0.04,0.01,0.02,0.17,0
byte_buf_append2,TRUE,160,724,0,0,0.04,0.04,0.02,0,0.01,0.07,0
byte_buf_cat,TRUE,578,2691,0,0,0.6,0.6,0.1,0.01,0.02,0.76,0
byte_buf_cat2,TRUE,447,1951,0,0,0.67,0.67,0.07,0.01,0.04,0.82,0
byte_buf_clean_up,TRUE,49,240,0,0,0.01,0.01,0,0.01,0.01,0.02,0
byte_buf_clean_up_secure,TRUE,53,264,0,0,0.01,0.01,0.01,0,0.01,0.02,0
byte_buf_eq,TRUE,629,2958,0,0,1.61,1.61,0.07,0.01,0.02,1.73,0
byte_buf_eq_c_str,TRUE,107,618,0,0,0.09,0.09,0.01,0,0.01,0.11,0
byte_buf_eq_c_str_ignore_case,TRUE,107,618,0,0,0.09,0.09,0.01,0,0.01,0.11,0
byte_buf_eq_c_str_ignore_case2,TRUE,107,623,0,0,0.08,0.08,0.01,0,0.01,0.1,0
byte_buf_eq_c_str2,TRUE,107,623,0,0,0.09,0.09,0.01,0,0.01,0.11,0
byte_buf_eq_ignore_case,TRUE,440,3644,0,0,1.13,1.13,0.07,0.01,0.02,1.26,0
byte_buf_eq_ignore_case2,TRUE,279,2866,0,0,0.62,0.62,0.04,0.01,0.02,0.71,0
byte_buf_eq2,TRUE,554,2544,0,0,1.35,1.35,0.05,0.01,0.01,1.44,0
byte_buf_from_array,TRUE,44,265,0,0,0.05,0.05,0.01,0.01,0.01,0.07,0
byte_buf_from_c_str,TRUE,334,1530,0,0,0.3,0.3,0.02,0.01,0.01,0.35,0
byte_buf_from_empty_array,TRUE,44,265,0,0,0.04,0.04,0.01,0.01,0.01,0.06,0
byte_buf_init,TRUE,85,396,0,0,0.02,0.02,0.01,0.01,0.01,0.05,0
byte_buf_init_copy,TRUE,266,1470,0,0,0.42,0.42,0.03,0.01,0.02,0.48,0
byte_buf_init_copy_from_cursor,TRUE,146,705,0,0,0.07,0.07,0.02,0.01,0.02,0.11,0
byte_buf_init_copy2,TRUE,259,1448,0,0,0.42,0.42,0.03,0.01,0.03,0.5,0
byte_buf_reserve,TRUE,93,422,0,0,0.04,0.04,0.01,0.01,0.01,0.07,0
byte_buf_reserve_relative,TRUE,158,726,0,0,0.04,0.04,0.02,0.01,0.01,0.07,0
byte_buf_reset,TRUE,63,315,0,0,0.07,0.07,0.01,0.01,0.01,0.1,0
byte_buf_secure_zero,TRUE,83,420,0,0,0.08,0.08,0.01,0.01,0.01,0.1,0
byte_buf_write,TRUE,181,868,0,0,0.13,0.13,0.02,0.01,0.02,0.18,0
byte_buf_write_be16,TRUE,162,779,0,0,0.04,0.04,0.02,0.01,0.01,0.08,0
byte_buf_write_be162,TRUE,115,519,0,0,0.03,0.03,0.01,0.01,0.01,0.06,0
byte_buf_write_be32,TRUE,162,779,0,0,0.04,0.04,0.02,0.01,0.01,0.08,0
byte_buf_write_be322,TRUE,115,519,0,0,0.02,0.02,0.01,0.01,0.01,0.06,0
byte_buf_write_be64,TRUE,162,777,0,0,0.03,0.03,0.01,0.01,0.01,0.06,0
byte_buf_write_be642,TRUE,132,605,0,0,0.04,0.04,0.02,0.01,0.01,0.07,0
