job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
ptr_eq,TRUE,6,30,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0
is_power_of_two,TRUE,7,38,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0
add_size_checked,TRUE,30,185,0,0,0.03,0.03,0.01,0.01,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0.06,0.06,0.01,0.00,0.01,0.07,0
nospec_mask,TRUE,14,84,0,0,0.02,0.02,0.01,0.01,0.01,0.04,0
mul_size_checked,TRUE,30,159,0,0,0.17,0.17,0.01,0.01,0.01,0.18,0
mul_size_saturating,TRUE,34,188,0,0,0.18,0.18,0.01,0.00,0.01,0.21,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0.08,0.08,0.02,0,0.01,0.12,0
array_list_clean_up,TRUE,53,314,0,0,0.01,0.01,0.08,0.01,0.01,0.11,0
array_list_clear,TRUE,75,413,0,0,0.14,0.14,0.09,0.01,0.01,0.25,0
array_list_capacity,TRUE,139,742,2,1,0.16,0.16,0.50,0.01,0.01,0.76,0
array_eq_c_str,TRUE,580,2545,2,55,0.93,0.93,0.17,0.01,0.01,1.19,0
array_list_back,TRUE,177,935,4,3,0.19,0.19,0.72,0.01,0.01,1.16,0
array_list_front,TRUE,173,908,4,3,0.19,0.19,0.65,0.01,0.01,0.99,0
array_list_init_dynamic,TRUE,112,565,0,0,0.28,0.28,0.23,0.01,0.01,0.54,0
round_up_to_power_of_two,TRUE,27,644,0,0,0.14,0.14,2.51,0.01,0.02,2.70,0
array_list_get_at_ptr,TRUE,167,897,2,1,0.20,0.20,0.83,0.01,0.01,1.16,0
array_list_init_static,TRUE,115,614,2,1,0.40,0.40,0.38,0.01,0.01,0.85,0
array_list_get_at,TRUE,175,926,4,3,0.70,0.70,0.79,0.01,0.01,1.73,0
array_list_ensure_capacity,TRUE,174,946,2,5,1.34,1.34,1.02,0.01,0.01,2.56,0
array_list_length,TRUE,139,752,2,1,0.18,0.18,0.48,0.01,0.01,0.75,0
array_list_copy,TRUE,217,1105,4,4,1.50,1.50,0.93,0.01,0.01,2.57,0
array_list_pop_back,TRUE,151,823,2,1,0.67,0.67,0.64,0.01,0.01,1.40,0
array_list_sort,TRUE,143,776,2,1,0.18,0.18,0.63,0.01,0.01,0.92,0
array_list_erase,TRUE,218,1174,10,1,2.28,2.28,1.38,0.01,0.01,4.04,0
array_list_pop_front,TRUE,168,896,6,1,0.82,0.82,0.80,0.01,0.02,1.83,0
array_list_pop_front_n,TRUE,180,942,6,1,1.15,1.15,0.91,0.01,0.02,2.30,0
array_eq,TRUE,425,2035,4,48,1.67,1.67,3.14,0.01,0.02,5.80,0
byte_buf_append,TRUE,153,727,0,4,0.04,0.04,0.33,0.01,0.01,0.43,0
array_list_push_back,TRUE,219,1167,4,7,0.81,0.81,1.55,0.01,0.01,2.76,0
byte_buf_append_dynamic,TRUE,202,979,4,8,0.16,0.16,0.48,0.01,0.01,0.80,0
byte_buf_clean_up,TRUE,49,240,0,0,0.01,0.01,0.05,0.01,0.01,0.08,0
array_list_shrink_to_fit,TRUE,232,1188,4,7,1.36,1.36,1.40,0.01,0.01,2.92,0
byte_buf_clean_up_secure,TRUE,53,264,0,0,0.01,0.01,0.05,0.01,0.01,0.08,0
array_list_set_at,TRUE,225,1177,4,7,1.18,1.18,1.81,0.01,0.03,3.38,0
byte_buf_eq_c_str,TRUE,106,615,0,11,0.08,0.08,0.06,0,0.01,0.21,0
byte_buf_eq_c_str_ignore_case,TRUE,106,615,0,11,0.09,0.09,0.07,0,0.01,0.23,0
byte_buf_from_array,TRUE,44,265,0,0,0.05,0.05,0.05,0.01,0.01,0.11,0
byte_buf_from_empty_array,TRUE,44,265,0,0,0.05,0.05,0.05,0.01,0.01,0.11,0
byte_buf_from_c_str,TRUE,332,1526,0,33,0.29,0.29,0.04,0.01,0.01,0.36,0
byte_buf_init,TRUE,85,396,0,0,0.02,0.02,0.15,0.01,0.01,0.20,0
