job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,28,173,0,0,0,0,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0.01,0.01,0.01,0.07,0
array_eq,0,0,0,0,0,6,8,0,0,0,0.02,0,0,0,0
array_eq_c_str,TRUE,450,2066,0,23,8,3,0.88,0.88,0.04,0.02,0.01,0.01,0.96,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,8,3,0.08,0.08,0.02,0.02,0,0.01,0.12,0
array_eq_c_str_ignore_case2,TRUE,99,583,0,11,3,2,0.08,0.08,0.01,0.02,0,0.01,0.11,0
array_eq_c_str2,TRUE,398,1853,0,17,2,3,0.67,0.67,0.03,0.02,0.01,0.01,0.73,0
array_eq_ignore_case,TRUE,239,2646,0,28,8,0,0.7,0.7,0.18,0.02,0.01,0.02,1,0
array_eq_ignore_case2,TRUE,191,2445,0,22,2,0,0.6,0.6,0.14,0.02,0.01,0.03,0.86,0
array_eq2,TRUE,230,1259,0,0,0,8,1.1,1.1,0.03,0.02,0.01,0.01,1.16,0
array_list_back,TRUE,146,637,0,7,7,0,0.29,0.29,0.05,0.03,0.01,0.01,0.37,0
array_list_back2,TRUE,133,554,0,4,4,0,0.33,0.33,0.05,0.02,0.01,0.01,0.42,0
array_list_capacity,TRUE,113,495,0,3,3,0,0.28,0.28,0.03,0.03,0.01,0.01,0.34,0
array_list_capacity2,TRUE,92,383,0,0,0,0,0.29,0.29,0.04,0.02,0.01,0.01,0.36,0
array_list_clean_up,TRUE,42,198,0,0,0,2,0.01,0.01,0.02,0.02,0,0.01,0.04,0
array_list_clear,TRUE,88,384,0,0,0,0,0.67,0.67,0.02,0.02,0.01,0.01,0.71,0
array_list_clear2,TRUE,92,397,0,0,0,0,0.67,0.67,0.02,0.02,0.01,0.01,0.72,0
array_list_comparator_string,TRUE,223,2045,2,0,2,17,4.37,4.37,0.08,0.02,0.01,0.03,4.51,0
array_list_copy,TRUE,194,832,0,8,8,0,1.11,1.11,0.07,0.04,0.01,0.01,1.22,0
array_list_ensure_capacity,TRUE,132,620,0,7,7,0,0.96,0.96,0.06,0.03,0.01,0.01,1.06,0
array_list_ensure_capacity2,TRUE,124,553,0,4,4,0,0.87,0.87,0.07,0.02,0.01,0.01,0.98,0
array_list_erase,TRUE,160,716,0,11,11,0,3.69,3.69,0.05,0.04,0.01,0.01,3.78,0
array_list_erase2,TRUE,230,889,0,8,8,0,1.52,1.52,0.09,0.03,0.01,0.02,1.67,0
array_list_front,TRUE,146,634,0,7,7,0,0.3,0.3,0.04,0.03,0.01,0.01,0.38,0
array_list_front2,TRUE,133,551,0,4,4,0,0.33,0.33,0.05,0.02,0.01,0.01,0.42,0
array_list_get_at,TRUE,152,665,0,7,7,0,0.49,0.49,0.05,0.03,0.01,0.01,0.57,0
array_list_get_at_ptr,TRUE,136,603,0,3,3,0,0.32,0.32,0.05,0.03,0.01,0.01,0.4,0
array_list_get_at_ptr2,TRUE,123,521,0,0,0,0,0.34,0.34,0.06,0.02,0.01,0.01,0.43,0
array_list_get_at2,TRUE,139,582,0,4,4,0,0.51,0.51,0.06,0.02,0.01,0.01,0.61,0
array_list_init_dynamic,TRUE,71,297,0,0,0,2,0.3,0.3,0.02,0.02,0.01,0.01,0.34,0
array_list_init_static,TRUE,111,482,2,1,3,0,0.37,0.37,0.06,0.02,0.01,0.01,0.47,0
array_list_init_static2,TRUE,90,370,0,0,0,0,0.35,0.35,0.04,0.02,0.01,0.01,0.41,0
array_list_length,TRUE,106,475,0,3,3,0,0.3,0.3,0.04,0.02,0.01,0.01,0.36,0
array_list_length2,TRUE,93,392,0,0,0,0,0.31,0.31,0.04,0.02,0.01,0.01,0.37,0
array_list_pop_back,TRUE,117,533,0,3,3,0,0.82,0.82,0.04,0.03,0.01,0.01,0.89,0
array_list_pop_back2,TRUE,97,411,0,0,0,0,1.24,1.24,0.04,0.02,0.01,0.01,1.32,0
array_list_pop_front,TRUE,139,606,0,7,7,0,1.88,1.88,0.04,0.03,0.01,0.01,1.94,0
array_list_pop_front_n,TRUE,143,627,0,7,7,0,2.15,2.15,0.04,0.03,0.01,0.01,2.23,0
array_list_pop_front_n2,TRUE,138,578,0,4,4,0,1.35,1.35,0.06,0.02,0.01,0.02,1.45,0
array_list_pop_front2,TRUE,119,502,0,4,4,0,1.67,1.67,0.04,0.03,0.01,0.02,1.75,0
array_list_push_back,TRUE,194,875,2,9,11,0,0.65,0.65,0.09,0.04,0.01,0.01,0.81,0
array_list_push_back2,TRUE,227,921,2,6,8,0,0.26,0.26,0.23,0.03,0.01,0.02,0.61,0
array_list_set_at,TRUE,195,874,2,9,11,0,1.82,1.82,0.11,0.04,0.01,0.02,2,0
array_list_set_at2,TRUE,217,1063,2,6,8,0,1.72,1.72,0.21,0.03,0.01,0.05,2.08,0
array_list_shrink_to_fit,TRUE,192,843,0,11,11,0,2.18,2.18,0.05,0.03,0.01,0.01,2.26,0
array_list_shrink_to_fit2,TRUE,172,721,0,8,8,0,1.19,1.19,0.06,0.03,0.01,0.03,1.31,0
array_list_sort,TRUE,110,493,0,3,3,0,0.31,0.31,0.05,0.02,0.01,0.01,0.39,0
array_list_sort2,TRUE,97,410,0,0,0,0,0.31,0.31,0.06,0.02,0.01,0.01,0.4,0
array_list_swap,TRUE,188,1033,0,26,22,4,8.7,8.7,0.04,0.03,0.01,0.02,8.8,0
array_list_swap_contents,TRUE,207,906,0,6,6,0,0.74,0.74,0.08,0.04,0.01,0.01,0.88,0
byte_buf_advance,TRUE,194,803,0,5,5,0,0.07,0.07,0.06,0.03,0.01,0.01,0.17,0
byte_buf_advance2,TRUE,163,647,0,0,0,0,0.04,0.04,0.07,0.03,0.01,0.01,0.15,0
byte_buf_append,TRUE,127,511,0,4,4,0,0.04,0.04,0.05,0.03,0.01,0.01,0.11,0
byte_buf_append_dynamic,TRUE,155,647,4,8,12,0,0.15,0.15,0.06,0.03,0.01,0.01,0.26,0
byte_buf_append_dynamic2,TRUE,150,604,4,8,12,0,0.19,0.19,0.1,0.03,0.01,0.02,0.36,0
byte_buf_append_with_lookup,TRUE,211,865,0,10,2,1,0.06,0.06,0.18,0.03,0.01,0.02,0.36,0
byte_buf_append_with_lookup2,TRUE,202,829,0,10,2,1,0.05,0.05,0.26,0.03,0.01,0.02,0.47,0
byte_buf_append2,TRUE,122,469,0,4,4,0,0.03,0.03,0.07,0.02,0.01,0.01,0.13,0
byte_buf_cat,TRUE,444,1746,0,22,22,0,0.41,0.41,1.08,0.07,0.01,0.02,1.72,0
byte_buf_cat2,TRUE,379,1398,0,12,12,0,0.53,0.53,10.13,0.05,0.01,0.02,10.83,0
byte_buf_clean_up,TRUE,41,172,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0
byte_buf_clean_up_secure,TRUE,46,191,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0
byte_buf_eq,0,0,0,0,0,6,8,0,0,0,0.04,0,0,0,0
byte_buf_eq_c_str,TRUE,108,612,0,11,9,2,0.08,0.08,0.02,0.03,0,0.01,0.12,0
byte_buf_eq_c_str_ignore_case,TRUE,108,612,0,11,9,2,0.09,0.09,0.02,0.03,0,0.01,0.14,0
byte_buf_eq_c_str_ignore_case2,TRUE,108,617,0,11,3,2,0.08,0.08,0.02,0.02,0,0.01,0.13,0
byte_buf_eq_c_str2,TRUE,108,617,0,11,3,2,0.09,0.09,0.02,0.02,0,0.01,0.14,0
byte_buf_eq_ignore_case,TRUE,361,3153,0,28,8,0,0.7,0.7,0.39,0.04,0.01,0.03,1.32,0
byte_buf_eq_ignore_case2,TRUE,248,2719,0,22,2,0,0.58,0.58,0.37,0.02,0.01,0.03,1.19,0
byte_buf_eq2,TRUE,367,1743,0,0,0,8,1.24,1.24,0.15,0.03,0.01,0.02,1.45,0
byte_buf_from_array,TRUE,46,229,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0
byte_buf_from_c_str,TRUE,240,1173,0,17,2,16,0.42,0.42,0.02,0.02,0.01,0.01,0.46,0
byte_buf_from_empty_array,TRUE,46,229,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0
byte_buf_init,TRUE,48,203,0,0,0,0,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0
byte_buf_init_copy,TRUE,228,1367,0,9,9,0,0.75,0.75,0.15,0.04,0.01,0.03,0.98,0
byte_buf_init_copy_from_cursor,TRUE,103,442,2,2,4,0,0.07,0.07,0.03,0.02,0.01,0.01,0.13,0
byte_buf_init_copy2,TRUE,265,1496,0,7,7,0,0.87,0.87,0.34,0.03,0.01,0.04,1.35,0
byte_buf_reserve,TRUE,87,340,0,4,4,0,0.02,0.02,0.03,0.02,0.01,0.01,0.09,0
byte_buf_reserve_relative,TRUE,155,613,0,2,2,2,0.03,0.03,0.04,0.03,0.01,0.01,0.1,0
byte_buf_reset,TRUE,58,262,0,2,2,0,0.15,0.15,0.02,0.01,0.01,0.01,0.18,0
byte_buf_secure_zero,TRUE,83,345,0,2,2,0,0.07,0.07,0.02,0.02,0.01,0.01,0.11,0
byte_buf_write,TRUE,143,606,0,5,5,2,0.12,0.12,0.06,0.03,0.01,0.01,0.21,0
byte_buf_write_be16,TRUE,119,506,0,5,5,0,0.03,0.03,0.04,0.02,0.01,0.01,0.1,0
byte_buf_write_be162,TRUE,100,389,0,2,2,0,0.02,0.02,0.04,0.02,0.01,0.01,0.09,0
byte_buf_write_be32,TRUE,119,506,0,5,5,0,0.04,0.04,0.04,0.02,0.01,0.01,0.1,0
byte_buf_write_be322,TRUE,100,389,0,2,2,0,0.02,0.02,0.05,0.02,0.01,0.01,0.1,0
byte_buf_write_be64,TRUE,119,504,0,5,5,0,0.04,0.04,0.04,0.03,0.01,0.01,0.11,0
byte_buf_write_be642,TRUE,112,442,0,3,3,0,0.04,0.04,0.05,0.02,0.01,0.01,0.11,0
byte_buf_write_from_whole_buffer,TRUE,243,964,0,10,10,0,0.12,0.12,0.09,0.04,0.01,0.01,0.27,0
byte_buf_write_from_whole_buffer2,TRUE,211,821,0,4,4,0,0.13,0.13,0.14,0.03,0.01,0.02,0.34,0
byte_buf_write_from_whole_cursor,TRUE,179,742,0,10,10,0,0.13,0.13,0.06,0.03,0.01,0.01,0.23,0
byte_buf_write_from_whole_cursor2,TRUE,140,580,0,4,4,0,0.1,0.1,0.09,0.02,0.01,0.02,0.23,0
byte_buf_write_from_whole_string,TRUE,303,2775,24,4,28,2,1.94,1.94,0.27,0.03,0.01,0.07,2.42,0
