job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,28,173,0,0,0,0,0.03,0.03,0.01,0.03,0.01,0.01,0.05,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0.03,0.01,0.01,0.08,0
array_eq,0,0,0,0,0,0,14,0,0,0,0.09,0,0,0,0
array_eq_c_str,TRUE,360,1739,0,0,0,11,0.81,0.81,0.06,0.1,0.01,0.01,0.9,0
array_eq_c_str_ignore_case,TRUE,262,3029,0,0,0,11,1.3,1.3,0.05,0.1,0.01,0.02,1.4,0
array_eq_c_str_ignore_case2,TRUE,241,2927,0,1,1,4,1.16,1.16,0.04,0.05,0.01,0.02,1.24,0
array_eq_c_str2,TRUE,331,1604,0,0,0,5,0.71,0.71,0.05,0.06,0,0.01,0.78,0
array_eq_ignore_case,TRUE,160,2506,0,0,0,8,0.79,0.79,0.05,0.09,0.01,0.02,0.88,0
array_eq_ignore_case2,TRUE,130,2371,0,0,0,2,0.01,0.01,0.04,0.04,0.01,0.02,0.09,0
array_eq2,TRUE,228,1245,0,0,0,8,1.22,1.22,0.04,0.05,0.01,0.01,1.28,0
array_list_back,TRUE,71,338,2,0,2,5,0.34,0.34,0.01,0.28,0.01,0.01,0.37,0
array_list_back2,TRUE,93,389,2,0,2,2,0.34,0.34,0.02,0.17,0.01,0.01,0.39,0
array_list_capacity,TRUE,56,275,0,0,0,3,0.29,0.29,0.02,0.18,0.01,0.01,0.32,0
array_list_capacity2,TRUE,65,276,0,0,0,0,0.33,0.33,0.02,0.11,0.01,0.01,0.36,0
array_list_clean_up,TRUE,33,164,0,0,0,2,0.01,0.01,0.01,0.09,0,0.01,0.03,0
array_list_clear,TRUE,41,201,0,0,0,0,0.68,0.68,0.01,0.1,0.01,0.01,0.7,0
array_list_clear2,TRUE,45,214,0,0,0,0,0.75,0.75,0.01,0.11,0.01,0.01,0.78,0
