job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0,0.00,0.01,0.02,0
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0,0.00,0.01,0.03,0
nospec_mask,TRUE,14,84,0,0,0,0,0.02,0.02,0.01,0,0.00,0.01,0.04,0
add_size_checked,TRUE,30,185,0,0,0,0,0.03,0.03,0.01,0,0.00,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.00,0.01,0.08,0
array_eq_c_str_ignore_case,TRUE,99,578,1,10,0,0,0.07,0.07,0.01,0,0,0.01,0.09,0
round_up_to_power_of_two,TRUE,27,644,0,0,0,0,0.11,0.11,0.01,0,0.01,0.02,0.14,0
mul_size_checked,TRUE,30,159,0,0,0,0,0.20,0.20,0.01,0,0.00,0.01,0.21,0
mul_size_saturating,TRUE,24,149,0,0,0,0,0.21,0.21,0.01,0,0.00,0.01,0.23,0
array_list_clean_up,TRUE,70,387,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
array_list_capacity,TRUE,169,864,3,0,0,0,0.22,0.22,0.01,0,0.01,0.01,0.25,0
array_list_back,TRUE,216,1077,7,0,0,0,0.24,0.24,0.01,0,0.01,0.02,0.29,0
array_eq_c_str,TRUE,603,2660,2,55,0,0,0.99,0.99,0.01,0,0.01,0.01,1.03,0
array_list_clear,TRUE,118,595,0,0,0,0,0.60,0.60,0.01,0,0.01,0.01,0.62,0
array_list_front,TRUE,211,1049,7,0,0,0,0.39,0.39,0.01,0,0.01,0.02,0.44,0
array_eq_ignore_case,TRUE,282,2865,24,4,0,0,1.23,1.23,0.02,0,0.00,0.02,1.30,0
array_eq,TRUE,474,2228,26,26,0,0,1.48,1.48,0.02,0,0.01,0.01,1.53,0
array_list_get_at_ptr,TRUE,205,1045,3,0,0,0,0.28,0.28,0.01,0,0.01,0.01,0.33,0
array_list_ensure_capacity,TRUE,208,1090,7,0,0,0,1.15,1.15,0.02,0,0.01,0.01,1.19,0
array_list_init_dynamic,TRUE,114,577,0,0,0,0,0.41,0.41,0.01,0,0.01,0.01,0.42,0
array_list_init_static,TRUE,152,756,3,0,0,0,0.45,0.45,0.01,0,0.01,0.01,0.49,0
array_list_length,TRUE,167,864,3,0,0,0,0.25,0.25,0.01,0,0.01,0.01,0.29,0
array_list_get_at,TRUE,217,1080,7,0,0,0,0.94,0.94,0.01,0,0.01,0.02,1.00,0
array_list_copy,TRUE,273,1346,8,0,0,0,1.61,1.61,0.02,0,0.01,0.03,1.68,0
array_list_pop_back,TRUE,185,949,3,0,0,0,0.68,0.68,0.01,0,0.01,0.01,0.72,0
