job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.00,0,0.00,0.00,0.02,0
nospec_mask,TRUE,14,84,0,0,0,0,0.03,0.03,0.01,0,0.01,0.01,0.05,0
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.00,0,0.00,0.00,0.02,0
add_size_checked,TRUE,30,185,0,0,0,0,0.03,0.03,0.00,0,0.00,0.00,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.07,0.07,0.01,0,0.01,0.01,0.07,0
array_eq_c_str_ignore_case,TRUE,91,546,0,11,0,0,0.08,0.08,0.01,0,0,0.01,0.10,0
round_up_to_power_of_two,TRUE,27,644,0,0,0,0,0.12,0.12,0.01,0,0.01,0.02,0.15,0
mul_size_checked,TRUE,30,159,0,0,0,0,0.23,0.23,0.00,0,0.00,0.00,0.24,0
mul_size_saturating,TRUE,24,149,0,0,0,0,0.22,0.22,0.00,0,0.00,0.01,0.23,0
array_list_clean_up,TRUE,70,387,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
array_list_capacity,TRUE,167,859,0,3,0,0,0.25,0.25,0.01,0,0.01,0.01,0.28,0
array_list_back,TRUE,213,1068,2,5,0,0,0.23,0.23,0.02,0,0.01,0.02,0.30,0
array_list_front,TRUE,208,1040,2,5,0,0,0.24,0.24,0.01,0,0.01,0.02,0.30,0
array_eq_c_str,TRUE,577,2604,9,48,0,0,1.12,1.12,0.06,0,0.01,0.01,1.24,0
array_list_clear,TRUE,118,595,0,0,0,0,0.63,0.63,0.01,0,0.01,0.01,0.66,0
array_eq_ignore_case,TRUE,258,2798,0,28,0,0,1.25,1.25,0.05,0,0.01,0.03,1.37,0
array_eq,TRUE,448,2146,0,52,0,0,1.43,1.43,0.04,0,0.01,0.01,1.52,0
array_list_get_at,TRUE,214,1071,2,5,0,0,0.45,0.45,0.02,0,0.01,0.02,0.51,0
array_list_ensure_capacity,TRUE,204,1080,0,7,0,0,0.93,0.93,0.01,0,0.01,0.01,0.97,0
array_list_get_at_ptr,TRUE,203,1040,0,3,0,0,0.24,0.24,0.02,0,0.01,0.01,0.28,0
array_list_copy,TRUE,270,1339,0,8,0,0,1.18,1.18,0.03,0,0.01,0.03,1.26,0
array_list_init_dynamic,TRUE,114,577,0,0,0,0,0.40,0.40,0.01,0,0.01,0.01,0.42,0
array_list_length,TRUE,165,859,0,3,0,0,0.24,0.24,0.01,0,0.01,0.01,0.28,0
array_list_init_static,TRUE,149,748,0,3,0,0,0.40,0.40,0.01,0,0.01,0.01,0.44,0
array_list_pop_back,TRUE,183,944,0,3,0,0,0.67,0.67,0.02,0,0.01,0.01,0.71,0
array_list_erase,TRUE,260,1305,8,3,0,0,1.93,1.93,0.03,0,0.01,0.03,2.02,0
array_list_sort,TRUE,172,895,0,3,0,0,0.23,0.23,0.02,0,0.01,0.01,0.27,0
array_list_pop_front,TRUE,203,1026,4,3,0,0,1.09,1.09,0.02,0,0.01,0.03,1.17,0
byte_buf_advance,TRUE,279,1328,0,5,0,0,0.06,0.06,0.02,0,0.01,0.01,0.12,0
byte_buf_append,TRUE,174,816,2,2,0,0,0.04,0.04,0.01,0,0.01,0.01,0.08,0
byte_buf_append_dynamic,TRUE,224,1079,6,6,0,0,0.08,0.08,0.02,0,0.01,0.01,0.14,0
byte_buf_append_with_lookup,TRUE,337,1595,10,10,0,0,0.10,0.10,0.06,0,0.01,0.02,0.23,0
array_list_set_at,TRUE,273,1518,2,9,0,0,1.78,1.78,0.03,0,0.01,0.04,1.89,0
array_list_pop_front_n,TRUE,211,1059,4,3,0,0,2.25,2.25,0.02,0,0.01,0.03,2.33,0
array_list_shrink_to_fit,TRUE,247,1247,6,5,0,0,1.56,1.56,0.03,0,0.01,0.03,1.65,0
array_list_swap_contents,TRUE,323,1639,0,6,0,0,1.04,1.04,0.03,0,0.01,0.01,1.13,0
byte_buf_clean_up_secure,TRUE,71,346,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
byte_buf_cat,TRUE,658,3041,6,16,0,0,0.19,0.19,0.08,0,0.01,0.02,0.37,0
byte_buf_clean_up,TRUE,62,303,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
array_list_push_front,TRUE,279,1517,8,7,0,0,2.50,2.50,0.04,0,0.01,0.05,2.61,0
byte_buf_from_array,TRUE,56,268,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
byte_buf_eq_c_str,TRUE,104,605,0,11,0,0,0.08,0.08,0.01,0,0,0.01,0.12,0
byte_buf_eq_c_str_ignore_case,TRUE,104,605,0,11,0,0,0.09,0.09,0.02,0,0,0.01,0.13,0
array_list_push_back,TRUE,277,1530,2,9,0,0,2.90,2.90,0.03,0,0.01,0.05,3.01,0
byte_buf_from_empty_array,TRUE,56,268,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
byte_buf_init,TRUE,71,349,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0
byte_buf_init_copy_from_cursor,TRUE,129,646,2,2,0,0,0.08,0.08,0.02,0,0.01,0.03,0.15,0
byte_buf_reserve,TRUE,124,567,0,4,0,0,0.02,0.02,0.01,0,0.01,0.02,0.08,0
byte_buf_from_c_str,TRUE,327,1535,15,18,0,0,0.36,0.36,0.03,0,0.01,0.01,0.43,0
byte_buf_reserve_relative,TRUE,217,1008,0,4,0,0,0.03,0.03,0.02,0,0.01,0.01,0.07,0
byte_buf_reset,TRUE,78,375,0,2,0,0,0.06,0.06,0.01,0,0.01,0.01,0.08,0
byte_buf_eq_ignore_case,TRUE,460,3800,0,28,0,0,0.80,0.80,0.10,0,0.01,0.03,1.01,0
byte_buf_secure_zero,TRUE,114,534,0,2,0,0,0.09,0.09,0.01,0,0.01,0.01,0.11,0
byte_buf_init_copy,TRUE,286,1709,2,7,0,0,0.58,0.58,0.02,0,0.01,0.03,0.67,0
byte_buf_write,TRUE,198,948,2,5,0,0,0.10,0.10,0.02,0,0.01,0.02,0.17,0
byte_buf_write_be16,TRUE,175,848,0,5,0,0,0.03,0.03,0.01,0,0.01,0.01,0.07,0
byte_buf_write_be64,TRUE,175,846,0,5,0,0,0.03,0.03,0.02,0,0.01,0.01,0.09,0
byte_buf_write_be32,TRUE,175,848,0,5,0,0,0.03,0.03,0.02,0,0.01,0.01,0.08,0
byte_buf_eq,TRUE,655,3105,0,52,0,0,1.68,1.68,0.08,0,0.01,0.02,1.85,0
byte_buf_write_from_whole_buffer,TRUE,342,1582,2,8,0,0,0.16,0.16,0.03,0,0.01,0.03,0.27,0
byte_buf_write_from_whole_cursor,TRUE,266,1270,2,8,0,0,0.14,0.14,0.02,0,0.01,0.03,0.22,0
byte_buf_write_u8,TRUE,175,846,0,5,0,0,0.03,0.03,0.02,0,0.01,0.01,0.09,0
byte_cursor_advance,TRUE,119,592,0,3,0,0,0.11,0.11,0.01,0,0.01,0.01,0.15,0
byte_cursor_advance_nospec,FALSE,132,687,2,1,0,0,0.07,0.07,0.02,0,0.01,0.01,0.11,0
byte_buf_write_from_whole_string,TRUE,272,1637,17,6,0,0,0.77,0.77,0.03,0,0.01,0.03,0.87,0
byte_cursor_eq_c_str,TRUE,94,569,0,11,0,0,0.07,0.07,0.01,0,0,0.01,0.11,0
byte_cursor_eq_c_str_ignore_case,TRUE,94,569,0,11,0,0,0.08,0.08,0.02,0,0,0.01,0.12,0
byte_cursor_from_array,TRUE,44,205,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.03,0
byte_cursor_compare_lexical,TRUE,312,1672,0,18,0,0,0.63,0.63,0.05,0,0.01,0.01,0.72,0
