job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0.03,0.00,0.01,0.02,0
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0
add_size_checked,TRUE,28,173,0,0,0,0,0.03,0.02,0.01,0.04,0.01,0.01,0.04,0
nospec_mask,TRUE,14,84,0,0,0,0,0.03,0.02,0.01,0.03,0.00,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.09,0.07,0.01,0.04,0.01,0.01,0.10,0
round_up_to_power_of_two,TRUE,26,635,0,0,0,0,0.16,0.13,0.01,0.04,0.01,0.02,0.17,0
mul_size_checked,TRUE,28,147,0,0,0,0,0.25,0.24,0.01,0.04,0.01,0.01,0.25,0
mul_size_saturating,TRUE,24,149,0,0,0,0,0.23,0.22,0.01,0.04,0.01,0.01,0.23,0
array_eq_c_str_ignore_case,TRUE,229,2878,0,5,5,6,0.06,0.01,0.02,0.24,0.01,0.02,0.08,0
array_list_clean_up,TRUE,33,167,0,0,0,2,0.04,0.01,0.02,0.22,0.00,0.01,0.04,0
array_eq_c_str,TRUE,376,1843,0,6,6,5,0.96,0.91,0.03,0.28,0.01,0.01,0.98,0
array_eq_ignore_case,TRUE,176,2604,0,6,6,2,1.63,1.13,0.43,0.27,0.01,0.03,1.65,0
array_list_clear,TRUE,56,258,0,0,0,0,0.90,0.87,0.03,0.44,0.01,0.01,0.91,0
array_list_capacity,TRUE,64,310,0,3,3,0,0.83,0.79,0.04,1.19,0.01,0.01,0.84,0
array_list_back,TRUE,85,382,2,5,7,0,0.56,0.42,0.10,1.62,0.01,0.01,0.60,0
array_list_init_dynamic,TRUE,38,173,0,0,0,2,0.19,0.16,0.02,0.45,0.01,0.01,0.20,0
array_list_front,TRUE,85,379,2,5,7,0,0.50,0.41,0.06,2.30,0.01,0.01,0.51,0
array_list_ensure_capacity,TRUE,95,476,0,7,7,0,1.25,1.12,0.09,1.48,0.01,0.01,1.26,0
array_list_init_static,TRUE,85,399,2,1,3,0,0.51,0.44,0.05,0.81,0.01,0.01,0.52,0
array_list_get_at_ptr,TRUE,76,369,0,3,3,0,0.47,0.40,0.06,2.38,0.01,0.01,0.48,0
array_list_get_at,TRUE,91,410,2,5,7,0,0.72,0.63,0.06,2.36,0.01,0.01,0.73,0
array_list_length,TRUE,70,337,0,3,3,0,0.46,0.41,0.03,1.17,0.01,0.01,0.47,0
array_list_copy,TRUE,112,512,0,8,8,0,1.58,1.43,0.13,2.84,0.01,0.01,1.60,0
array_list_erase,TRUE,112,512,8,3,11,0,2.68,2.54,0.10,2.67,0.01,0.01,2.68,0
array_list_pop_back,TRUE,73,352,0,3,3,0,0.92,0.86,0.04,1.46,0.01,0.01,0.93,0
array_list_pop_front,TRUE,90,405,4,3,7,0,1.23,1.14,0.06,1.71,0.01,0.01,1.24,0
array_list_sort,TRUE,69,338,0,3,3,0,0.49,0.43,0.04,1.42,0.01,0.01,0.49,0
array_list_push_back,TRUE,127,589,2,9,11,0,0.64,0.33,0.23,2.90,0.01,0.01,0.65,0
array_list_pop_front_n,TRUE,98,454,4,3,7,0,1.72,1.61,0.08,1.71,0.01,0.01,1.73,0
byte_buf_advance,TRUE,111,514,0,5,5,0,0.17,0.06,0.08,1.78,0.01,0.01,0.18,0
byte_buf_append,TRUE,71,326,0,4,4,0,0.09,0.04,0.05,0.87,0.01,0.01,0.10,0
array_list_push_front,TRUE,133,610,6,9,15,0,0.91,0.48,0.30,2.91,0.01,0.01,0.92,0
