job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.00,0,0.00,0.00,0.02,0
nospec_mask,TRUE,14,84,0,0,0,0,0.03,0.03,0.01,0,0.00,0.01,0.04,0
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0,0.00,0.01,0.02,0
add_size_checked,TRUE,30,185,0,0,0,0,0.03,0.03,0.01,0,0.00,0.01,0.05,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.08,0.08,0.01,0,0,0.01,0.10,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.00,0.01,0.07,0
round_up_to_power_of_two,TRUE,27,644,0,0,0,0,0.15,0.15,0.01,0,0.01,0.03,0.19,0
mul_size_checked,TRUE,30,159,0,0,0,0,0.20,0.20,0.01,0,0.00,0.01,0.22,0
mul_size_saturating,TRUE,24,149,0,0,0,0,0.21,0.21,0.01,0,0.00,0.01,0.23,0
array_list_clean_up,TRUE,70,387,0,0,0,0,0.01,0.01,0.01,0,0.00,0.01,0.03,0
array_list_back,TRUE,213,1068,2,5,0,0,0.23,0.23,0.02,0,0.01,0.02,0.30,0
array_list_capacity,TRUE,167,859,0,3,0,0,0.26,0.26,0.02,0,0.01,0.01,0.30,0
array_eq_c_str,TRUE,602,2659,0,57,0,0,1.08,1.08,0.02,0,0.01,0.01,1.13,0
array_list_front,TRUE,208,1040,2,5,0,0,0.23,0.23,0.01,0,0.01,0.02,0.29,0
array_eq_ignore_case,TRUE,258,2798,0,28,0,0,1.22,1.22,0.06,0,0.01,0.02,1.35,0
array_list_clear,TRUE,118,595,0,0,0,0,0.62,0.62,0.01,0,0.01,0.01,0.65,0
array_eq,TRUE,448,2146,0,52,0,0,1.38,1.38,0.05,0,0.01,0.01,1.49,0
array_list_ensure_capacity,TRUE,204,1080,0,7,0,0,0.92,0.92,0.02,0,0.01,0.01,0.98,0
array_list_get_at,TRUE,214,1071,2,5,0,0,0.46,0.46,0.01,0,0.01,0.02,0.52,0
array_list_get_at_ptr,TRUE,203,1040,0,3,0,0,0.25,0.25,0.02,0,0.01,0.01,0.29,0
array_list_init_dynamic,TRUE,114,577,0,0,0,0,0.40,0.40,0.01,0,0.01,0.01,0.44,0
array_list_copy,TRUE,270,1339,0,8,0,0,1.23,1.23,0.03,0,0.01,0.03,1.33,0
array_list_length,TRUE,165,859,0,3,0,0,0.23,0.23,0.02,0,0.01,0.01,0.28,0
array_list_init_static,TRUE,149,748,0,3,0,0,0.46,0.46,0.01,0,0.01,0.01,0.51,0
array_list_pop_back,TRUE,183,944,0,3,0,0,0.68,0.68,0.02,0,0.01,0.01,0.73,0
array_list_sort,TRUE,172,895,0,3,0,0,0.22,0.22,0.02,0,0.01,0.01,0.27,0
array_list_erase,TRUE,260,1305,8,3,0,0,1.95,1.95,0.03,0,0.01,0.03,2.04,0
array_list_pop_front,TRUE,203,1026,4,3,0,0,1.09,1.09,0.03,0,0.01,0.03,1.17,0
byte_buf_advance,TRUE,279,1328,0,5,0,0,0.06,0.06,0.03,0,0.01,0.01,0.14,0
byte_buf_append_dynamic,TRUE,224,1079,6,6,0,0,0.08,0.08,0.02,0,0.01,0.01,0.14,0
byte_buf_append,TRUE,174,816,2,2,0,0,0.05,0.05,0.02,0,0.01,0.01,0.09,0
array_list_swap_contents,TRUE,323,1639,0,6,0,0,1.05,1.05,0.05,0,0.01,0.02,1.15,0
array_list_shrink_to_fit,TRUE,247,1247,6,5,0,0,1.58,1.58,0.03,0,0.01,0.03,1.67,0
byte_buf_append_with_lookup,TRUE,337,1595,10,10,0,0,0.10,0.10,0.05,0,0.01,0.02,0.22,0
