job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0,0,19,0,0,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.08,0,0,17,0,0,0
array_eq,TRUE,470,2186,0,52,0,0,1.42,1.42,0.09,0,0.01,0.01,1.56,1,0.02,444,0.009,4,0
array_eq_c_str,TRUE,602,2617,0,57,0,0,0.89,0.89,0.05,0,0.01,0.02,1,0,0.01,562,0.003,0,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.08,0.08,0.02,0,0,0.01,0.12,0,0.01,79,0.001,0,0
array_eq_c_str_ignore_case2,TRUE,99,583,0,11,0,0,0.07,0.07,0.01,0,0,0.01,0.11,0,0.01,79,0,0,0
array_eq_c_str2,TRUE,530,2288,0,51,0,0,0.68,0.68,0.06,0,0.01,0.01,0.78,0,0.01,498,0.006,1,0
array_eq_ignore_case,TRUE,258,2760,0,28,0,0,0.93,0.93,0.24,0,0.01,0.03,1.31,1,0.09,257,0.048,61,0.024
array_eq_ignore_case2,TRUE,191,2445,0,22,0,0,0.55,0.55,0.14,0,0.01,0.02,0.78,1,0.05,194,0.029,64,0.014
array_eq2,TRUE,406,1881,0,46,0,0,1.12,1.12,0.04,0,0.01,0.01,1.19,1,0.01,385,0.003,7,0
array_list_back,TRUE,238,1149,0,7,0,0,0.19,0.19,0.1,0,0.01,0.01,0.33,0,0.01,214,0.009,0,0
array_list_back2,TRUE,197,900,0,4,0,0,0.2,0.2,0.06,0,0.01,0.01,0.28,0,0,176,0.008,2,0.002
array_list_capacity,TRUE,182,896,0,3,0,0,0.14,0.14,0.07,0,0.01,0.01,0.25,0,0.01,163,0.005,0,0
array_list_capacity2,TRUE,135,626,0,0,0,0,0.17,0.17,0.03,0,0.01,0.01,0.23,0,0,118,0.005,2,0.001
array_list_clean_up,TRUE,75,398,0,0,0,0,0.01,0.01,0.03,0,0.01,0.01,0.06,0,0,62,0.002,0,0
array_list_clear,TRUE,133,633,0,0,0,0,0.5,0.5,0.05,0,0.01,0.01,0.57,0,0,119,0.004,0,0
array_list_clear2,TRUE,137,646,0,0,0,0,0.43,0.43,0.04,0,0.01,0.01,0.5,0,0,123,0.004,1,0.001
array_list_comparator_string,TRUE,429,2820,2,55,0,0,6.09,6.09,0.09,0,0.01,0.03,6.29,0,0.04,413,0.008,4,0.002
array_list_copy,TRUE,303,1419,0,8,0,0,1.64,1.64,0.13,0,0.01,0.01,1.81,0,0.01,276,0.012,0,0
array_list_ensure_capacity,TRUE,219,1116,0,7,0,0,0.74,0.74,0.13,0,0.01,0.01,0.92,1,0.01,204,0.011,2,0.003
array_list_ensure_capacity2,TRUE,183,882,0,4,0,0,0.66,0.66,0.07,0,0.01,0.01,0.77,0,0.01,169,0.009,5,0.003
array_list_erase,TRUE,275,1356,0,11,0,0,3.18,3.18,0.1,0,0.01,0.01,3.33,0,0.01,251,0.009,0,0
array_list_erase2,TRUE,252,1185,0,8,0,0,2.61,2.61,0.07,0,0.01,0.01,2.7,0,0.01,232,0.007,2,0.001
array_list_front,TRUE,233,1121,0,7,0,0,0.21,0.21,0.1,0,0.01,0.01,0.36,0,0.01,210,0.009,0,0
array_list_front2,TRUE,192,872,0,4,0,0,0.2,0.2,0.05,0,0.01,0.01,0.28,0,0.01,172,0.005,2,0
array_list_get_at,TRUE,235,1139,0,7,0,0,0.38,0.38,0.1,0,0.01,0.01,0.52,0,0.01,211,0.009,0,0
array_list_get_at_ptr,TRUE,223,1091,0,3,0,0,0.2,0.2,0.09,0,0.01,0.01,0.33,0,0.01,203,0.007,0,0
