job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
ptr_eq,TRUE,6,30,0,0,0,0,0.02,0.01,0.01,0.01,0.00,0.01,0.02,0
nospec_mask,TRUE,14,84,0,0,0,0,0.02,0.02,0.01,0.01,0.00,0.01,0.03,0
array_eq_c_str_ignore_case,TRUE,99,578,1,10,8,3,0.05,0.04,0.01,0.01,0,0.01,0.06,0
add_size_checked,TRUE,28,173,0,0,0,0,0.02,0.02,0.00,0.01,0.00,0.00,0.02,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.05,0.04,0.01,0.01,0.01,0.01,0.05,0
mul_size_checked,TRUE,28,147,0,0,0,0,0.14,0.13,0.01,0.01,0.00,0.01,0.14,0
array_eq_c_str,TRUE,443,2086,2,21,8,3,0.68,0.65,0.01,0.01,0.01,0.01,0.69,0
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0
array_eq_ignore_case,TRUE,259,2740,24,4,8,0,0.83,0.80,0.01,0.01,0.01,0.01,0.84,0
mul_size_saturating,TRUE,24,149,0,0,0,0,0.14,0.13,0.01,0.01,0.01,0.01,0.14,0
round_up_to_power_of_two,TRUE,26,635,0,0,0,0,0.12,0.10,0.01,0.01,0.01,0.02,0.12,0
array_list_clean_up,TRUE,33,167,0,0,0,2,0.01,0.01,0.00,0.01,0.00,0.00,0.02,0
array_list_capacity,TRUE,65,316,3,0,3,0,0.29,0.28,0.01,0.01,0.01,0.01,0.29,0
array_list_back,TRUE,88,392,7,0,7,0,0.31,0.30,0.00,0.02,0.01,0.01,0.31,0
array_list_clear,TRUE,56,258,0,0,0,0,0.55,0.54,0.00,0.02,0.01,0.01,0.55,0
array_list_front,TRUE,88,389,7,0,7,0,0.31,0.30,0.01,0.01,0.01,0.01,0.32,0
array_list_ensure_capacity,TRUE,99,486,7,0,7,0,0.75,0.73,0.01,0.02,0.01,0.01,0.75,0
array_list_copy,TRUE,115,519,8,0,8,0,0.86,0.85,0.01,0.02,0.01,0.01,0.87,0
array_list_init_dynamic,TRUE,38,173,0,0,0,2,0.08,0.08,0.00,0.01,0.00,0.00,0.09,0
array_list_get_at_ptr,TRUE,78,375,3,0,3,0,0.25,0.24,0.01,0.02,0.00,0.01,0.26,0
array_list_get_at,TRUE,94,420,7,0,7,0,0.43,0.42,0.01,0.01,0.01,0.01,0.43,0
array_list_erase,TRUE,113,516,11,0,11,0,1.70,1.69,0.01,0.02,0.01,0.01,1.70,0
array_list_init_static,TRUE,86,400,3,0,3,0,0.38,0.37,0.01,0.02,0.01,0.01,0.39,0
array_list_length,TRUE,72,343,3,0,3,0,0.39,0.38,0.00,0.02,0.01,0.01,0.40,0
array_list_pop_back,TRUE,74,358,3,0,3,0,0.58,0.57,0.01,0.01,0.01,0.01,0.58,0
array_list_comparator_string,TRUE,306,2358,24,2,6,13,3.26,3.22,0.01,0.02,0.01,0.02,3.27,0
array_list_pop_front,TRUE,91,409,7,0,7,0,0.75,0.74,0.01,0.01,0.01,0.01,0.76,0
array_list_push_back,TRUE,131,603,11,0,11,0,0.27,0.26,0.01,0.03,0.01,0.01,0.28,0
array_list_push_front,TRUE,137,624,15,0,15,0,0.44,0.44,0.01,0.03,0.01,0.01,0.46,0
array_list_sort,TRUE,71,344,3,0,3,0,0.41,0.40,0.01,0.02,0.01,0.01,0.42,0
array_list_pop_front_n,TRUE,100,460,7,0,7,0,1.55,1.54,0.01,0.02,0.01,0.01,1.55,0
array_list_set_at,TRUE,139,644,11,0,11,0,1.66,1.64,0.01,0.02,0.01,0.01,1.67,0
byte_buf_advance,TRUE,113,521,5,0,5,0,0.07,0.05,0.01,0.02,0.01,0.01,0.07,0
array_list_swap_contents,TRUE,121,566,6,0,6,0,0.63,0.62,0.01,0.02,0.01,0.01,0.64,0
array_list_shrink_to_fit,TRUE,133,607,9,2,11,0,1.92,1.89,0.01,0.02,0.01,0.01,1.93,0
byte_buf_append_dynamic,TRUE,98,452,8,4,12,0,0.06,0.05,0.01,0.02,0.01,0.01,0.07,0
byte_buf_append,TRUE,72,329,2,2,4,0,0.04,0.03,0.01,0.01,0.01,0.01,0.05,0
byte_buf_append_with_lookup,TRUE,164,765,10,0,2,1,0.07,0.06,0.01,0.02,0.01,0.01,0.08,0
byte_buf_clean_up_secure,TRUE,28,134,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0
byte_buf_clean_up,TRUE,28,131,0,0,0,0,0.01,0.01,0.00,0.01,0.00,0.00,0.02,0
byte_buf_cat,TRUE,276,1191,22,0,22,0,0.20,0.18,0.01,0.04,0.01,0.01,0.21,0
byte_buf_eq_c_str,TRUE,108,612,1,10,9,2,0.06,0.05,0.01,0.02,0,0.01,0.07,0
byte_buf_eq_c_str_ignore_case,TRUE,108,612,1,10,9,2,0.06,0.06,0.00,0.02,0,0.01,0.07,0
byte_buf_from_array,TRUE,23,114,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0
byte_buf_from_empty_array,TRUE,23,114,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0
byte_buf_from_c_str,TRUE,240,1205,1,16,2,16,0.27,0.26,0.01,0.01,0.01,0.01,0.28,0
byte_buf_eq,TRUE,492,2280,26,26,14,0,1.05,1.02,0.01,0.02,0.01,0.01,1.06,0
array_list_swap,TRUE,153,896,14,12,22,4,3.30,3.28,0.01,0.02,0.01,0.01,3.31,0
byte_buf_init,TRUE,34,158,0,0,0,0,0.01,0.01,0.00,0.01,0.00,0.00,0.02,0
byte_buf_eq_ignore_case,TRUE,296,2896,24,4,8,0,1.07,1.04,0.01,0.02,0.01,0.02,1.08,0
byte_buf_init_copy_from_cursor,TRUE,45,231,2,2,4,0,0.06,0.05,0.01,0.01,0.00,0.01,0.07,0
byte_buf_reserve,TRUE,55,243,4,0,4,0,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0
byte_buf_init_copy,TRUE,133,773,9,0,9,0,0.24,0.23,0.01,0.02,0.01,0.01,0.25,0
byte_buf_reserve_relative,TRUE,65,310,2,0,2,2,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0
byte_buf_reset,TRUE,49,230,2,0,2,0,0.05,0.04,0.01,0.01,0.01,0.01,0.06,0
byte_buf_secure_zero,TRUE,52,244,2,0,2,0,0.07,0.06,0.00,0.01,0.00,0.00,0.08,0
byte_buf_write_be16,TRUE,73,355,5,0,5,0,0.03,0.02,0.01,0.01,0.01,0.01,0.04,0
byte_buf_write,TRUE,93,446,5,0,5,2,0.08,0.07,0.01,0.01,0.01,0.01,0.09,0
byte_buf_write_be32,TRUE,73,355,5,0,5,0,0.03,0.02,0.01,0.01,0.01,0.01,0.04,0
byte_buf_write_be64,TRUE,73,353,5,0,5,0,0.04,0.03,0.01,0.01,0.01,0.01,0.05,0
byte_buf_write_from_whole_buffer,TRUE,157,689,10,0,10,0,0.11,0.10,0.01,0.02,0.01,0.01,0.12,0
byte_buf_write_u8,TRUE,73,351,5,0,5,0,0.03,0.03,0.00,0.01,0.01,0.01,0.03,0
byte_buf_write_from_whole_cursor,TRUE,125,565,5,5,10,0,0.11,0.10,0.01,0.02,0.01,0.01,0.12,0
byte_cursor_advance,TRUE,67,338,2,1,3,0,0.06,0.06,0.01,0.02,0.01,0.01,0.07,0
byte_buf_write_from_whole_string,TRUE,172,1173,21,0,28,2,0.45,0.41,0.01,0.02,0.01,0.02,0.46,0
byte_cursor_advance_nospec,FALSE,72,388,2,1,3,0,0.05,0.04,0.01,0.01,0.01,0.01,0.06,0
byte_cursor_compare_lexical,TRUE,160,919,0,6,18,12,0.48,0.47,0.01,0.04,0.01,0.01,0.49,0
byte_cursor_compare_lookup,TRUE,328,1856,0,16,12,6,0.49,0.46,0.01,0.04,0.01,0.01,0.50,0
byte_cursor_eq,TRUE,161,904,0,6,10,4,0.44,0.43,0.01,0.01,0.01,0.01,0.45,0
byte_cursor_eq_byte_buf,TRUE,224,1138,13,4,12,2,0.28,0.27,0.01,0.02,0.01,0.01,0.29,0
byte_cursor_eq_c_str,TRUE,99,578,1,10,9,2,0.05,0.05,0.01,0.02,0,0.01,0.06,0
byte_cursor_eq_c_str_ignore_case,TRUE,99,578,1,10,9,2,0.06,0.05,0.01,0.01,0,0.01,0.07,0
byte_cursor_from_array,TRUE,28,131,0,0,0,0,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,222,2645,12,4,8,0,0.68,0.65,0.01,0.02,0.01,0.01,0.69,0
byte_cursor_from_buf,TRUE,71,325,3,0,3,0,0.02,0.02,0.00,0.01,0.01,0.01,0.03,0
byte_cursor_from_string,TRUE,31,312,3,0,3,10,0.03,0.02,0.00,0.01,0.01,0.01,0.03,0
byte_cursor_from_c_str,TRUE,231,1132,1,16,2,16,0.10,0.09,0.01,0.01,0.01,0.01,0.11,0
byte_cursor_left_trim_pred,TRUE,84,455,0,3,4,0,0.03,0.02,0.01,0.01,0.01,0.01,0.04,0
byte_cursor_eq_ignore_case,TRUE,190,2529,0,16,8,0,0.65,0.62,0.01,0.02,0.01,0.02,0.66,0
