job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
is_power_of_two,TRUE,7,38,0,0,0,0,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0
add_size_checked,TRUE,28,173,0,0,0,0,0.04,0.03,0.01,0.04,0.01,0.01,0.05,0
nospec_mask,TRUE,14,84,0,0,0,0,0.03,0.03,0.01,0.03,0.00,0.01,0.04,0
ptr_eq,TRUE,6,30,0,0,0,0,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.07,0.06,0.01,0.04,0.01,0.01,0.09,0
round_up_to_power_of_two,TRUE,26,635,0,0,0,0,0.18,0.15,0.01,0.04,0.01,0.02,0.19,0
mul_size_saturating,TRUE,24,149,0,0,0,0,0.26,0.25,0.01,0.03,0.01,0.01,0.27,0
mul_size_checked,TRUE,28,147,0,0,0,0,0.23,0.22,0.01,0.04,0.01,0.01,0.23,0
array_eq_c_str_ignore_case,TRUE,213,2822,0,0,0,11,0.07,0.01,0.01,0.21,0.01,0.03,0.08,0
array_list_clean_up,TRUE,33,167,0,0,0,2,0.04,0.01,0.02,0.22,0.01,0.01,0.04,0
array_eq_c_str,TRUE,356,1774,0,0,0,11,1.07,1.02,0.03,0.22,0.01,0.01,1.08,0
array_list_clear,TRUE,56,258,0,0,0,0,1.52,1.49,0.02,0.40,0.00,0.00,1.52,0
array_eq_ignore_case,TRUE,160,2547,0,0,0,8,2.32,1.90,0.37,0.22,0.01,0.03,2.34,0
array_list_capacity,TRUE,62,303,0,0,0,3,0.46,0.41,0.04,1.13,0.01,0.01,0.47,0
array_list_back,TRUE,72,336,2,0,2,5,0.47,0.41,0.04,2.64,0.01,0.01,0.49,0
array_list_init_dynamic,TRUE,38,173,0,0,0,2,0.16,0.14,0.01,0.38,0.00,0.01,0.17,0
array_list_front,TRUE,72,333,2,0,2,5,0.48,0.42,0.04,2.58,0.01,0.01,0.49,0
array_list_ensure_capacity,TRUE,79,419,0,0,0,7,1.17,1.09,0.06,2.42,0.01,0.01,1.19,0
array_list_length,TRUE,60,302,0,0,0,3,0.44,0.40,0.03,1.09,0.01,0.01,0.45,0
array_list_get_at_ptr,TRUE,66,334,0,0,0,3,0.46,0.41,0.04,2.19,0.01,0.01,0.47,0
array_list_get_at,TRUE,78,364,2,0,2,5,0.72,0.64,0.05,2.63,0.01,0.01,0.73,0
array_list_erase,TRUE,105,488,8,0,8,3,2.06,1.94,0.09,3.40,0.01,0.01,2.07,0
array_list_pop_back,TRUE,66,328,0,0,0,3,0.84,0.79,0.03,1.66,0.01,0.01,0.84,0
array_list_pop_front,TRUE,83,381,4,0,4,3,1.21,1.15,0.04,1.70,0.01,0.01,1.22,0
array_list_comparator_string,TRUE,306,2358,24,2,6,13,8.42,5.42,2.71,0.36,0.01,0.05,8.46,0
array_list_sort,TRUE,64,320,0,0,0,3,0.41,0.37,0.03,1.19,0.01,0.01,0.41,0
array_list_pop_front_n,TRUE,88,419,4,0,4,3,1.55,1.47,0.07,2.37,0.01,0.01,1.56,0
array_list_push_back,TRUE,118,556,2,4,6,5,0.44,0.19,0.19,4.53,0.01,0.01,0.45,0
byte_buf_append,TRUE,64,302,0,0,0,4,0.09,0.04,0.04,0.79,0.01,0.01,0.10,0
array_list_push_front,TRUE,124,577,6,4,10,5,0.75,0.39,0.27,4.67,0.01,0.01,0.77,0
array_list_set_at,TRUE,119,573,2,0,2,9,2.09,1.89,0.17,3.07,0.01,0.01,2.10,0
byte_buf_append_dynamic,TRUE,83,400,4,0,4,8,0.17,0.08,0.07,1.33,0.01,0.01,0.18,0
byte_buf_clean_up,TRUE,28,131,0,0,0,0,0.03,0.01,0.01,0.13,0.01,0.01,0.04,0
byte_buf_advance,TRUE,101,479,0,0,0,5,0.14,0.05,0.07,2.19,0.01,0.01,0.15,0
byte_buf_clean_up_secure,TRUE,28,134,0,0,0,0,0.03,0.01,0.02,0.15,0.01,0.01,0.04,0
byte_buf_append_with_lookup,TRUE,115,542,0,0,0,3,0.34,0.04,0.27,1.35,0.01,0.01,0.36,0
byte_buf_from_array,TRUE,23,114,0,0,0,0,0.02,0.01,0.01,0.13,0.01,0.01,0.04,0
byte_buf_eq_c_str,TRUE,254,1307,0,0,0,11,0.05,0.01,0.02,1.30,0.01,0.01,0.06,0
byte_buf_eq_c_str_ignore_case,TRUE,240,2930,0,0,0,11,0.08,0.02,0.02,1.17,0.01,0.03,0.10,0
array_list_swap,TRUE,129,813,14,0,14,12,4.59,4.36,0.14,2.47,0.01,0.02,4.60,0
byte_buf_from_c_str,TRUE,173,957,0,0,0,18,0.41,0.38,0.02,0.17,0.01,0.01,0.42,0
byte_buf_from_empty_array,TRUE,23,114,0,0,0,0,0.02,0.01,0.01,0.14,0.01,0.01,0.03,0
byte_buf_init,TRUE,34,158,0,0,0,0,0.04,0.02,0.02,0.25,0.01,0.01,0.05,0
byte_buf_reserve,TRUE,46,208,0,0,0,4,0.05,0.02,0.02,0.24,0.00,0.01,0.05,0
byte_buf_init_copy_from_cursor,TRUE,42,220,0,2,2,2,0.13,0.08,0.03,1.11,0.01,0.01,0.14,0
byte_buf_reset,TRUE,40,194,0,0,0,2,0.08,0.05,0.02,0.17,0.01,0.01,0.08,0
byte_buf_secure_zero,TRUE,48,226,0,0,0,2,0.09,0.07,0.02,0.23,0.01,0.01,0.11,0
byte_buf_init_copy,TRUE,109,689,0,0,0,9,0.50,0.31,0.16,2.19,0.01,0.02,0.52,0
byte_buf_write,TRUE,81,402,0,0,0,7,0.20,0.12,0.06,0.89,0.01,0.01,0.21,0
byte_buf_write_be16,TRUE,61,311,0,0,0,5,0.06,0.02,0.03,0.83,0.01,0.01,0.08,0
byte_buf_write_be32,TRUE,61,311,0,0,0,5,0.07,0.03,0.03,0.78,0.01,0.01,0.08,0
byte_buf_write_be64,TRUE,61,309,0,0,0,5,0.07,0.03,0.03,0.69,0.01,0.01,0.08,0
byte_buf_write_from_whole_cursor,TRUE,100,475,0,0,0,10,0.19,0.10,0.08,2.37,0.01,0.01,0.20,0
byte_buf_write_from_whole_string,TRUE,160,1128,17,0,24,6,1.02,0.64,0.29,1.29,0.01,0.04,1.03,0
array_list_init_static,TRUE,82,388,2,0,2,1,0.50,0.43,0.05,20.02,0.01,0.01,0.51,0
byte_buf_write_from_whole_buffer,TRUE,136,616,0,4,4,6,0.26,0.13,0.11,3.41,0.01,0.01,0.28,0
byte_cursor_advance,TRUE,55,297,0,0,0,3,0.14,0.09,0.05,0.31,0.01,0.01,0.14,0
byte_cursor_advance_nospec,FALSE,68,376,2,0,2,1,0.16,0.08,0.06,0.39,0.01,0.01,0.18,0
byte_buf_write_u8,TRUE,56,291,0,0,0,5,0.07,0.02,0.03,0.73,0.01,0.01,0.08,0
byte_cursor_compare_lexical,TRUE,157,941,0,0,0,30,1.14,0.89,0.23,1.76,0.01,0.01,1.16,0
byte_cursor_eq,TRUE,158,926,0,0,0,14,1.03,0.81,0.19,1.12,0.01,0.01,1.05,0
byte_cursor_eq_byte_buf,TRUE,174,993,0,0,0,14,0.62,0.39,0.22,2.41,0.01,0.01,0.65,0
byte_cursor_eq_c_str,TRUE,182,1069,0,0,0,11,0.05,0.01,0.01,0.50,0.01,0.01,0.06,0
byte_cursor_eq_c_str_ignore_case,TRUE,212,2818,0,0,0,11,0.08,0.01,0.02,0.52,0.01,0.03,0.10,0
byte_cursor_from_array,TRUE,28,131,0,0,0,0,0.03,0.01,0.01,0.11,0.01,0.01,0.04,0
byte_cursor_compare_lookup,TRUE,170,1238,0,0,0,18,1.56,0.98,0.54,5.18,0.01,0.01,1.58,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,159,2557,0,0,0,8,1.87,1.37,0.45,2.30,0.01,0.03,1.90,0
byte_cursor_eq_ignore_case,TRUE,139,2475,0,0,0,8,1.32,0.86,0.42,1.03,0.01,0.03,1.34,0
byte_cursor_from_c_str,TRUE,164,884,0,0,0,18,0.15,0.12,0.02,0.13,0.01,0.01,0.16,0
byte_cursor_from_buf,TRUE,63,295,0,0,0,3,0.06,0.02,0.03,1.20,0.01,0.01,0.07,0
byte_cursor_from_string,TRUE,27,297,2,0,2,11,0.08,0.03,0.03,0.22,0.01,0.01,0.09,0
byte_cursor_left_trim_pred,TRUE,64,361,0,0,0,4,0.05,0.02,0.03,0.39,0.01,0.01,0.06,0
byte_cursor_read,TRUE,88,446,4,0,4,3,0.32,0.24,0.06,0.36,0.01,0.01,0.33,0
byte_cursor_read_be16,TRUE,52,311,2,0,2,3,0.11,0.05,0.05,0.40,0.01,0.01,0.12,0
byte_cursor_read_be32,TRUE,52,334,2,0,2,3,0.12,0.05,0.06,0.38,0.01,0.01,0.12,0
byte_cursor_read_be64,TRUE,52,381,2,0,2,3,0.16,0.09,0.06,0.38,0.01,0.01,0.18,0
byte_cursor_read_u8,TRUE,60,319,2,0,2,3,0.11,0.06,0.04,0.34,0.01,0.01,0.13,0
byte_cursor_right_trim_pred,TRUE,64,361,0,0,0,4,0.06,0.02,0.03,0.36,0.01,0.01,0.06,0
byte_cursor_read_and_fill_buffer,TRUE,118,582,4,0,4,4,0.32,0.19,0.10,1.34,0.01,0.01,0.34,0
byte_cursor_satisfies_pred,TRUE,64,361,0,0,0,4,0.09,0.03,0.05,0.23,0.01,0.01,0.10,0
hash_ptr,TRUE,6,30,0,0,0,78,0.02,0.01,0.01,0.13,0,0.01,0.03,0
hash_array_ignore_case,TRUE,15,69,0,0,0,1,0.02,0.01,0.00,0.06,0.01,0.01,0.02,0
byte_cursor_trim_pred,TRUE,154,761,0,0,0,5,0.25,0.03,0.19,0.55,0.01,0.01,0.27,0
hash_byte_cursor_ptr_ignore_case,TRUE,8,42,0,0,0,1,0.02,0.01,0.01,0.18,0.01,0.01,0.03,0
hash_byte_cursor_ptr,TRUE,8,42,0,0,0,84,0.01,0.01,0.01,0.59,0.00,0.01,0.01,0
hash_string,TRUE,175,730,24,2,84,4,0.24,0.04,0.16,1.56,0,0.01,0.25,0
hash_callback_string_destroy,TRUE,17,160,1,0,1,7,0.07,0.04,0.02,0.05,0,0.01,0.09,0
hash_c_string,TRUE,423,1724,3,54,102,0,0.27,0.21,0.03,1.21,0,0.01,0.29,0
hash_callback_c_str_eq,TRUE,379,2259,0,0,0,22,3.91,3.83,0.02,0.12,0.01,0.05,3.93,0
hash_callback_string_eq,TRUE,406,2919,36,2,6,21,10.88,8.09,2.42,0.41,0.01,0.05,10.92,0
hash_iter_begin,TRUE,455,2425,0,38,6,79,4.24,0.47,3.40,6.50,0.01,0.05,4.30,0
byte_buf_reserve_relative,TRUE,60,289,0,0,0,4,0.07,0.02,0.03,47.57,0.01,0.01,0.08,0
hash_iter_begin_done,TRUE,891,3975,0,70,7,82,8.79,0.76,7.36,7.97,0.01,0.05,8.88,0
hash_iter_next,TRUE,235,1456,15,0,7,95,1.97,0.77,1.01,10.33,0.01,0.05,2.00,0
hash_table_get_entry_count,TRUE,64,590,0,3,3,45,0.22,0.08,0.11,1.33,0.01,0.03,0.23,0
hash_table_move,TRUE,172,991,0,40,40,6,0.47,0.08,0.30,0.82,0.01,0.03,0.48,0
hash_iter_done,TRUE,141,917,6,0,6,94,0.72,0.25,0.39,8.56,0.01,0.04,0.74,0
hash_table_clean_up,TRUE,269,1440,0,28,6,35,1.54,0.31,1.01,2.21,0.01,0.04,1.56,0
hash_table_clear,TRUE,367,1853,0,44,6,58,2.38,0.37,1.72,2.82,0.01,0.04,2.41,0
hash_iter_delete,TRUE,161,1965,11,1,6,84,3.22,1.71,1.03,10.07,0.01,0.11,3.24,0
hash_table_swap,TRUE,121,1036,0,6,6,86,0.79,0.21,0.47,6.21,0.01,0.05,0.81,0
hash_table_init_bounded,TRUE,125,2114,2,25,27,0,1.43,0.69,0.53,0.67,0.01,0.09,1.46,0
hash_table_init_unbounded,TRUE,133,2060,24,0,24,0,0.99,0.51,0.30,0.53,0.01,0.09,1.01,0
hash_table_find,TRUE,728,3270,70,4,11,62,10.58,3.14,6.09,6.25,0.01,0.06,10.64,0
hash_table_create,TRUE,878,4831,74,35,50,41,16.21,4.46,9.58,8.73,0.01,0.16,16.31,0
