job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time
ptr_eq,true,4,19,0,0,0.03,0.01
nospec_mask,true,4,48,0,0,0.05,0.04
array_eq_c_str_ignore_case,true,5,313,0,0,0.12,0.1
array_eq_c_str,true,6,990,0,0,1.55,1.33
add_size_checked,true,4,80,0,0,0.14,0.13
add_size_saturating,true,4,91,0,0,0.16,0.14
array_eq,true,6,779,0,0,2.54,2.44
mul_size_checked,true,4,51,0,0,0.31,0.29
array_eq_ignore_case,true,6,1961,0,0,2.2,2.1
is_power_of_two,true,4,19,0,0,0.03,0.01
mul_size_saturating,true,4,82,0,0,0.36,0.34
round_up_to_power_of_two,true,4,553,0,0,0.27,0.21
array_list_clean_up,true,5,26,0,0,0.03,0.01
array_list_capacity,true,5,126,0,0,0.3,0.29
array_list_back,true,6,167,0,0,0.96,0.94
array_list_clear,true,5,80,0,0,1.11,1.09
array_list_copy,true,7,159,0,0,1.54,1.52
array_list_ensure_capacity,true,6,179,0,0,1.54,1.52
array_list_front,true,6,159,0,0,0.51,0.49
array_list_get_at,true,6,160,0,0,0.86,0.83
array_list_get_at_ptr,true,5,150,0,0,0.3,0.28
array_list_init_dynamic,true,6,95,0,0,0.5,0.49
array_list_init_static,true,6,158,0,0,0.57,0.55
array_list_length,true,5,127,0,0,0.33,0.32
array_list_erase,true,5,190,0,0,5.48,5.45
array_list_pop_back,true,5,149,0,0,1.74,1.72
array_list_comparator_string,true,6,1630,0,0,8.52,8.26
array_list_pop_front,true,5,195,0,0,1.48,1.43
array_list_pop_front_n,true,5,213,0,0,2.1,2.02
array_list_sort,true,5,124,0,0,0.28,0.26
array_list_set_at,true,7,414,0,0,1.65,1.57
array_list_shrink_to_fit,true,6,206,0,0,1.8,1.77
byte_buf_advance,true,6,182,0,0,0.1,0.08
array_list_push_back,true,7,225,0,0,3.66,3.63
array_list_swap_contents,true,6,204,0,0,1.24,1.22
byte_buf_append,true,5,136,0,0,0.1,0.07
byte_buf_append_dynamic,true,7,191,0,0,0.2,0.17
byte_buf_append_with_lookup,true,5,501,0,0,0.45,0.35
byte_buf_clean_up,true,5,26,0,0,0.02,0.01
byte_buf_clean_up_secure,true,5,26,0,0,0.03,0.01
byte_buf_eq_c_str,true,5,318,0,0,0.14,0.11
byte_buf_cat,true,8,349,0,0,1.81,1.73
byte_buf_eq_c_str_ignore_case,true,5,318,0,0,0.14,0.12
byte_buf_eq,true,6,817,0,0,2.34,2.25
byte_buf_from_array,true,5,46,0,0,0.03,0.02
byte_buf_from_empty_array,true,5,46,0,0,0.03,0.02
byte_buf_eq_ignore_case,true,6,2056,0,0,2.19,2.09
byte_buf_init,true,6,70,0,0,0.03,0.02
byte_buf_from_c_str,true,5,748,0,0,1.84,1.77
