Name,Timing,Result
ptr_eq_unsat_test,0.850619,passed
nospec_mask_unsat_test,0.949389,passed
array_eq_c_str_ignore_case_unsat_test,1.07799,passed
array_eq_c_str_unsat_test,2.60894,passed
add_size_checked_unsat_test,0.884727,passed
add_size_saturating_unsat_test,0.876584,passed
array_eq_unsat_test,3.61115,passed
mul_size_checked_unsat_test,1.07833,passed
array_eq_ignore_case_unsat_test,3.20583,passed
is_power_of_two_unsat_test,0.762763,passed
mul_size_saturating_unsat_test,1.10093,passed
round_up_to_power_of_two_unsat_test,1.03047,passed
array_list_clean_up_unsat_test,0.852956,passed
array_list_capacity_unsat_test,1.22318,passed
array_list_back_unsat_test,1.96405,passed
array_list_clear_unsat_test,2.08522,passed
array_list_copy_unsat_test,2.60923,passed
array_list_ensure_capacity_unsat_test,2.55379,passed
array_list_front_unsat_test,1.42173,passed
array_list_get_at_unsat_test,1.80996,passed
array_list_get_at_ptr_unsat_test,1.25013,passed
array_list_init_dynamic_unsat_test,1.40329,passed
array_list_init_static_unsat_test,1.42664,passed
array_list_length_unsat_test,1.18702,passed
array_list_erase_unsat_test,6.52626,passed
array_list_pop_back_unsat_test,2.6947,passed
array_list_comparator_string_unsat_test,9.6388,passed
array_list_pop_front_unsat_test,2.47319,passed
array_list_pop_front_n_unsat_test,3.07238,passed
array_list_sort_unsat_test,1.12268,passed
array_list_set_at_unsat_test,2.7308,passed
array_list_shrink_to_fit_unsat_test,2.82154,passed
byte_buf_advance_unsat_test,1.10475,passed
array_list_push_back_unsat_test,4.68887,passed
array_list_swap_contents_unsat_test,2.33033,passed
byte_buf_append_unsat_test,1.05004,passed
byte_buf_append_dynamic_unsat_test,1.25335,passed
byte_buf_append_with_lookup_unsat_test,1.53415,passed
byte_buf_clean_up_unsat_test,0.900252,passed
byte_buf_clean_up_secure_unsat_test,0.923059,passed
byte_buf_eq_c_str_unsat_test,1.17785,passed
byte_buf_cat_unsat_test,3.28534,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.15342,passed
byte_buf_eq_unsat_test,3.44833,passed
byte_buf_from_array_unsat_test,0.931393,passed
byte_buf_from_empty_array_unsat_test,1.09414,passed
byte_buf_eq_ignore_case_unsat_test,3.33813,passed
byte_buf_init_unsat_test,0.946612,passed
byte_buf_from_c_str_unsat_test,2.92003,passed
byte_buf_init_copy_from_cursor_unsat_test,1.10418,passed
byte_buf_reserve_unsat_test,0.940445,passed
byte_buf_reserve_relative_unsat_test,1.03322,passed
byte_buf_reset_unsat_test,1.01381,passed
byte_buf_init_copy_unsat_test,3.8103,passed
byte_buf_secure_zero_unsat_test,1.09987,passed
byte_buf_write_unsat_test,1.30161,passed
byte_buf_write_be16_unsat_test,1.05004,passed
byte_buf_write_be32_unsat_test,1.02661,passed
byte_buf_write_be64_unsat_test,1.01853,passed
byte_buf_write_from_whole_cursor_unsat_test,1.40128,passed
byte_buf_write_from_whole_buffer_unsat_test,1.5845,passed
byte_buf_write_u8_unsat_test,1.00467,passed
byte_cursor_advance_unsat_test,1.06738,passed
byte_cursor_advance_nospec_unsat_test,1.49257,passed
byte_cursor_compare_lexical_unsat_test,2.05392,passed
byte_buf_write_from_whole_string_unsat_test,4.78392,passed
array_list_swap_unsat_test,20.8359,passed
byte_cursor_eq_unsat_test,2.01594,passed
byte_cursor_eq_byte_buf_unsat_test,1.67152,passed
byte_cursor_compare_lookup_unsat_test,3.19688,passed
byte_cursor_eq_c_str_unsat_test,1.10649,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.09656,passed
byte_cursor_from_array_unsat_test,0.898357,passed
byte_cursor_from_buf_unsat_test,1.00622,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,2.99092,passed
byte_cursor_from_string_unsat_test,0.980937,passed
byte_cursor_eq_ignore_case_unsat_test,3.16117,passed
