Name,Timing,Result
ptr_eq_unsat_test,0.857045,passed
nospec_mask_unsat_test,0.934764,passed
array_eq_c_str_ignore_case_unsat_test,1.36257,passed
array_eq_c_str_unsat_test,2.81944,passed
add_size_checked_unsat_test,0.846938,passed
array_eq_unsat_test,3.63279,passed
add_size_saturating_unsat_test,0.8903,passed
mul_size_checked_unsat_test,1.07315,passed
is_power_of_two_unsat_test,0.740961,passed
array_eq_ignore_case_unsat_test,3.577,passed
mul_size_saturating_unsat_test,1.17177,passed
round_up_to_power_of_two_unsat_test,1.14875,passed
array_list_clean_up_unsat_test,0.922547,passed
array_list_capacity_unsat_test,1.34306,passed
array_list_back_unsat_test,1.4862,passed
array_list_clear_unsat_test,1.8228,passed
array_list_ensure_capacity_unsat_test,2.48288,passed
array_list_copy_unsat_test,3.3341,passed
array_list_front_unsat_test,1.39419,passed
array_list_get_at_unsat_test,1.89176,passed
array_list_get_at_ptr_unsat_test,1.42389,passed
array_list_init_dynamic_unsat_test,1.45125,passed
array_list_init_static_unsat_test,1.53654,passed
array_list_erase_unsat_test,5.67326,passed
array_list_length_unsat_test,1.36707,passed
array_list_pop_back_unsat_test,3.28472,passed
array_list_pop_front_unsat_test,3.99877,passed
array_list_comparator_string_unsat_test,13.0765,passed
array_list_pop_front_n_unsat_test,4.90216,passed
array_list_push_back_unsat_test,2.73835,passed
array_list_sort_unsat_test,1.39932,passed
array_list_set_at_unsat_test,3.85163,passed
byte_buf_advance_unsat_test,1.41085,passed
array_list_swap_contents_unsat_test,2.6486,passed
array_list_shrink_to_fit_unsat_test,4.17157,passed
byte_buf_append_unsat_test,1.12453,passed
byte_buf_append_dynamic_unsat_test,1.39437,passed
byte_buf_append_with_lookup_unsat_test,1.69718,passed
byte_buf_clean_up_unsat_test,1.01782,passed
byte_buf_clean_up_secure_unsat_test,0.975873,passed
byte_buf_eq_c_str_unsat_test,1.34425,passed
byte_buf_cat_unsat_test,4.19904,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.21647,passed
byte_buf_from_array_unsat_test,1.0371,passed
byte_buf_eq_unsat_test,4.56119,passed
byte_buf_from_empty_array_unsat_test,0.992196,passed
byte_buf_from_c_str_unsat_test,1.76837,passed
byte_buf_eq_ignore_case_unsat_test,4.12604,passed
byte_buf_init_unsat_test,0.991687,passed
byte_buf_init_copy_from_cursor_unsat_test,1.32756,passed
byte_buf_reserve_unsat_test,1.12784,passed
byte_buf_init_copy_unsat_test,2.93078,passed
byte_buf_reset_unsat_test,1.15418,passed
byte_buf_reserve_relative_unsat_test,1.31598,passed
byte_buf_secure_zero_unsat_test,1.13669,passed
byte_buf_write_be16_unsat_test,1.17332,passed
byte_buf_write_unsat_test,1.36963,passed
byte_buf_write_be32_unsat_test,1.17988,passed
byte_buf_write_be64_unsat_test,1.14415,passed
byte_buf_write_from_whole_buffer_unsat_test,1.75849,passed
byte_buf_write_from_whole_cursor_unsat_test,1.64183,passed
byte_buf_write_u8_unsat_test,1.11925,passed
byte_cursor_advance_unsat_test,1.1431,passed
byte_cursor_advance_nospec_unsat_test,1.31292,passed
byte_buf_write_from_whole_string_unsat_test,4.92976,passed
byte_cursor_compare_lexical_unsat_test,2.42164,passed
byte_cursor_eq_byte_buf_unsat_test,2.04101,passed
byte_cursor_eq_unsat_test,2.29147,passed
byte_cursor_compare_lookup_unsat_test,4.09485,passed
byte_cursor_eq_c_str_unsat_test,1.14476,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.15145,passed
byte_cursor_from_array_unsat_test,0.930414,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,3.31858,passed
byte_cursor_from_buf_unsat_test,1.15462,passed
byte_cursor_from_string_unsat_test,1.01046,passed
byte_cursor_eq_ignore_case_unsat_test,3.21324,passed
byte_cursor_from_c_str_unsat_test,1.32595,passed
byte_cursor_left_trim_pred_unsat_test,1.27493,passed
byte_cursor_read_unsat_test,1.88271,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.88158,passed
byte_cursor_read_be16_unsat_test,1.16828,passed
byte_cursor_read_be32_unsat_test,1.18404,passed
byte_cursor_read_be64_unsat_test,1.18282,passed
byte_cursor_read_u8_unsat_test,1.17157,passed
byte_cursor_right_trim_pred_unsat_test,1.16731,passed
byte_cursor_satisfies_pred_unsat_test,1.06734,passed
hash_ptr_unsat_test,0.93304,passed
byte_cursor_trim_pred_unsat_test,1.90854,passed
hash_string_unsat_test,1.24517,passed
hash_array_ignore_case_unsat_test,1.10484,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.08984,passed
hash_byte_cursor_ptr_unsat_test,1.83849,passed
hash_c_string_unsat_test,1.81851,passed
hash_callback_string_destroy_unsat_test,1.12619,passed
hash_iter_begin_unsat_test,3.8055,passed
hash_callback_c_str_eq_unsat_test,9.05469,passed
hash_callback_string_eq_unsat_test,9.89689,passed
hash_iter_begin_done_unsat_test,6.06699,passed
hash_iter_done_unsat_test,3.15687,passed
hash_iter_next_unsat_test,4.81984,passed
array_list_swap_unsat_test,50.8455,passed
hash_table_get_entry_count_unsat_test,1.45604,passed
hash_table_move_unsat_test,1.36199,passed
hash_table_swap_unsat_test,2.83839,passed
hash_table_clean_up_unsat_test,3.65866,passed
hash_iter_delete_unsat_test,8.43864,passed
hash_table_clear_unsat_test,3.89987,passed
hash_table_find_unsat_test,8.90669,passed
hash_table_eq_unsat_test,33.58356,passed
hash_table_create_unsat_test,20.3242,passed
hash_table_init_bounded_unsat_test,9.37143,passed
hash_table_init_unbounded_unsat_test,3.58826,passed
linked_list_back_unsat_test,2.81907,passed
linked_list_begin_unsat_test,2.92643,passed
linked_list_end_unsat_test,3.05096,passed
hash_table_put_unsat_test,11.8973,passed
linked_list_init_unsat_test,0.771136,passed
linked_list_remove_unsat_test,0.808154,passed
hash_table_remove_unsat_test,13.3114,passed
linked_list_front_unsat_test,3.74396,passed
linked_list_prev_unsat_test,0.821353,passed
linked_list_next_unsat_test,0.801978,passed
linked_list_node_reset_unsat_test,1.08945,passed
linked_list_pop_back_unsat_test,4.99833,passed
linked_list_pop_front_unsat_test,5.06119,passed
linked_list_push_back_unsat_test,3.2255,passed
linked_list_insert_after_unsat_test,0.801089,passed
linked_list_insert_before_unsat_test,0.795824,passed
linked_list_push_front_unsat_test,4.67331,passed
linked_list_rbegin_unsat_test,2.40718,passed
string_bytes_unsat_test,1.18894,passed
linked_list_rend_unsat_test,3.22098,passed
hash_table_foreach_unsat_test,48.4298,passed
string_compare_unsat_test,6.04174,passed
string_eq_unsat_test,5.36042,passed
string_eq_byte_buf_unsat_test,4.23024,passed
string_eq_byte_cursor_unsat_test,3.85151,passed
string_eq_byte_buf_ignore_case_unsat_test,4.81918,passed
string_eq_c_str_unsat_test,3.60567,passed
linked_list_swap_contents_unsat_test,20.6588,passed
string_eq_byte_cursor_ignore_case_unsat_test,7.31312,passed
string_new_from_c_str_unsat_test,1.51604,passed
string_eq_c_str_ignore_case_unsat_test,6.41382,passed
string_new_from_array_unsat_test,3.00345,passed
string_destroy_unsat_test,1.03328,passed
string_destroy_secure_unsat_test,1.18196,passed
string_new_from_string_unsat_test,2.95763,passed
string_eq_ignore_case_unsat_test,6.8589,passed
priority_queue_size_unsat_test,2.45214,passed
priority_queue_capacity_unsat_test,2.63773,passed
priority_queue_init_static_unsat_test,1.50009,passed
priority_queue_init_dynamic_unsat_test,1.48226,passed
priority_queue_top_unsat_test,2.7038,passed
priority_queue_clean_up_unsat_test,1.13396,passed
ring_buffer_init_unsat_test,1.11271,passed
ring_buffer_clean_up_unsat_test,1.52888,passed
byte_buf_eq2_unsat_test,3.70596,passed
priority_queue_s_sift_either_unsat_test,6.43363,passed
priority_queue_s_remove_node_unsat_test,9.81517,passed
priority_queue_remove_unsat_test,11.8201,passed
priority_queue_s_swap_unsat_test,38.9102,passed
priority_queue_pop_unsat_test,8.63313,passed
priority_queue_push_unsat_test,8.31167,passed
priority_queue_push_ref_unsat_test,12.1165,passed
