job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time
ptr_eq,true,6,30,0,0,0.02,0.01
nospec_mask,true,14,84,0,0,0.06,0.04
array_eq_c_str_ignore_case,true,99,572,0,11,0.14,0.1
array_eq_c_str,true,595,2600,0,57,1.71,1.52
add_size_checked,true,30,185,0,0,0.06,0.04
add_size_saturating,true,26,168,0,0,0.14,0.12
array_eq,true,447,2114,3,49,2.55,2.29
mul_size_checked,true,30,159,0,0,0.31,0.29
array_eq_ignore_case,true,257,2767,3,25,2.21,1.97
is_power_of_two,true,7,38,0,0,0.03,0.01
mul_size_saturating,true,34,188,0,0,0.39,0.36
round_up_to_power_of_two,true,27,644,0,0,0.34,0.27
array_list_back,true,235,1147,2,5,0.42,0.31
array_list_clean_up,true,75,405,0,0,0.05,0.01
array_list_capacity,true,180,895,0,3,0.37,0.29
array_list_clear,true,133,640,0,0,0.85,0.78
array_list_ensure_capacity,true,218,1118,0,7,1.3,1.19
array_list_copy,true,303,1429,4,4,2.15,1.99
array_list_front,true,230,1119,2,5,0.42,0.3
array_list_get_at,true,232,1137,2,5,0.68,0.57
array_list_get_at_ptr,true,221,1090,0,3,0.4,0.3
array_list_init_dynamic,true,119,596,0,0,0.54,0.48
array_list_erase,true,273,1351,8,3,4.39,4.24
array_list_init_static,true,149,742,0,3,0.6,0.53
array_list_length,true,178,895,0,3,0.38,0.31
array_list_pop_back,true,199,991,0,3,1.98,1.88
array_list_pop_front,true,220,1073,4,3,2.86,2.72
array_list_comparator_string,true,427,2813,50,7,9.93,9.32
array_list_push_back,true,297,1459,2,9,1.34,1.19
array_list_pop_front_n,true,224,1096,4,3,3.56,3.42
array_list_sort,true,186,937,0,3,0.4,0.32
array_list_set_at,true,293,1573,2,9,2.52,2.31
array_list_shrink_to_fit,true,261,1286,6,5,2.95,2.8
byte_buf_advance,true,307,1406,4,1,0.33,0.15
array_list_swap_contents,true,349,1708,0,6,1.49,1.32
byte_buf_append,true,181,836,2,2,0.17,0.08
