Name,Timing,Result
ptr_eq_unsat_test,0.884144,passed
nospec_mask_unsat_test,0.931758,passed
array_eq_c_str_ignore_case_unsat_test,1.10224,passed
array_eq_c_str_unsat_test,2.76631,passed
add_size_checked_unsat_test,0.847381,passed
add_size_saturating_unsat_test,0.880508,passed
array_eq_unsat_test,3.65222,passed
mul_size_checked_unsat_test,1.05092,passed
array_eq_ignore_case_unsat_test,3.32031,passed
is_power_of_two_unsat_test,0.773901,passed
mul_size_saturating_unsat_test,1.16437,passed
round_up_to_power_of_two_unsat_test,1.07932,passed
array_list_back_unsat_test,1.4,passed
array_list_clean_up_unsat_test,0.871448,passed
array_list_capacity_unsat_test,1.28857,passed
array_list_clear_unsat_test,1.72854,passed
array_list_ensure_capacity_unsat_test,2.32434,passed
array_list_copy_unsat_test,3.48961,passed
array_list_front_unsat_test,1.44764,passed
array_list_get_at_unsat_test,1.62082,passed
array_list_get_at_ptr_unsat_test,1.36603,passed
array_list_init_dynamic_unsat_test,1.38042,passed
array_list_erase_unsat_test,5.61267,passed
array_list_init_static_unsat_test,1.49432,passed
array_list_length_unsat_test,1.30498,passed
array_list_pop_back_unsat_test,2.96297,passed
array_list_pop_front_unsat_test,3.88427,passed
array_list_comparator_string_unsat_test,11.148,passed
array_list_push_back_unsat_test,2.41441,passed
array_list_pop_front_n_unsat_test,4.60259,passed
array_list_sort_unsat_test,1.31557,passed
array_list_set_at_unsat_test,3.67821,passed
array_list_shrink_to_fit_unsat_test,4.01066,passed
byte_buf_advance_unsat_test,1.34289,passed
array_list_swap_contents_unsat_test,2.61754,passed
byte_buf_append_unsat_test,1.13027,passed
byte_buf_append_dynamic_unsat_test,1.27769,passed
byte_buf_append_with_lookup_unsat_test,1.66651,passed
byte_buf_clean_up_unsat_test,0.920366,passed
byte_buf_clean_up_secure_unsat_test,1.1955,passed
byte_buf_eq_c_str_unsat_test,1.21119,passed
byte_buf_cat_unsat_test,4.22866,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.23154,passed
byte_buf_from_array_unsat_test,1.04228,passed
byte_buf_eq_unsat_test,4.54642,passed
byte_buf_from_empty_array_unsat_test,1.02955,passed
