job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.07,0.07,0.01,0,0.01,0.01,0.08,0
array_eq,TRUE,470,2220,0,52,0,0,1.43,1.43,0.05,0,0.01,0.01,1.52,0
array_eq_c_str,TRUE,602,2659,0,57,0,0,1.09,1.09,0.04,0,0.01,0.01,1.19,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.07,0.07,0.01,0,0,0.01,0.1,0
array_eq_c_str_ignore_case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_eq_c_str2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_eq_ignore_case,TRUE,258,2798,0,28,0,0,1.31,1.31,0.26,0,0.01,0.03,1.72,0
array_eq_ignore_case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_eq2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_back,TRUE,213,1065,2,5,0,0,0.23,0.23,0.09,0,0.01,0.02,0.39,0
array_list_back2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_capacity,TRUE,167,855,0,3,0,0,0.22,0.22,0.06,0,0.01,0.01,0.31,0
array_list_capacity2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_clean_up,TRUE,70,384,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
array_list_clear,TRUE,118,592,0,0,0,0,0.6,0.6,0.03,0,0.01,0.01,0.64,0
array_list_clear2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_comparator_string,TRUE,426,2816,50,7,0,0,6.54,6.54,0.33,0,0.01,0.05,7.05,0
array_list_copy,TRUE,270,1328,0,8,0,0,1.18,1.18,0.11,0,0.01,0.03,1.38,0
array_list_ensure_capacity,TRUE,203,1071,0,7,0,0,0.89,0.89,0.1,0,0.01,0.01,1.05,0
array_list_ensure_capacity2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_erase,TRUE,260,1302,8,3,0,0,1.79,1.79,0.09,0,0.01,0.03,1.96,0
array_list_erase2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_front,TRUE,208,1037,2,5,0,0,0.23,0.23,0.08,0,0.01,0.02,0.39,0
array_list_front2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_get_at,TRUE,214,1068,2,5,0,0,0.58,0.58,0.08,0,0.01,0.02,0.73,0
array_list_get_at_ptr,TRUE,203,1036,0,3,0,0,0.24,0.24,0.08,0,0.01,0.01,0.35,0
array_list_get_at_ptr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_get_at2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_init_dynamic,TRUE,114,574,0,0,0,0,0.41,0.41,0.02,0,0.01,0.01,0.45,0
array_list_init_static,TRUE,149,744,0,3,0,0,0.42,0.42,0.06,0,0.01,0.01,0.52,0
array_list_init_static2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_length,TRUE,165,855,0,3,0,0,0.24,0.24,0.04,0,0.01,0.01,0.33,0
array_list_length2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_pop_back,TRUE,182,938,0,3,0,0,0.8,0.8,0.07,0,0.01,0.01,0.9,0
array_list_pop_back2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_pop_front,TRUE,203,1023,4,3,0,0,1.79,1.79,0.08,0,0.01,0.03,1.95,0
array_list_pop_front_n,TRUE,211,1056,4,3,0,0,2.37,2.37,0.09,0,0.01,0.03,2.54,0
array_list_pop_front_n2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_pop_front2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_push_back,TRUE,277,1520,2,9,0,0,2.41,2.41,0.14,0,0.01,0.05,2.65,0
array_list_push_back2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_push_front,TRUE,279,1509,8,7,0,0,3.49,3.49,0.14,0,0.01,0.05,3.75,0
array_list_set_at,TRUE,273,1508,2,9,0,0,1.47,1.47,0.17,0,0.01,0.05,1.77,0
array_list_set_at2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_shrink_to_fit,TRUE,247,1234,6,5,0,0,2.43,2.43,0.09,0,0.01,0.03,2.6,0
array_list_shrink_to_fit2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_sort,TRUE,172,891,0,3,0,0,0.23,0.23,0.06,0,0.01,0.01,0.33,0
array_list_sort2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_swap,TRUE,261,1490,14,14,0,0,44.39,44.39,0.09,0,0.01,0.02,44.56,0
array_list_swap_contents,TRUE,323,1631,0,6,0,0,1.05,1.05,0.26,0,0.01,0.02,1.41,0
byte_buf_advance,TRUE,279,1317,0,5,0,0,0.06,0.06,0.1,0,0.01,0.01,0.22,0
byte_buf_advance2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_append,TRUE,173,811,2,2,0,0,0.05,0.05,0.03,0,0.01,0.01,0.1,0
byte_buf_append_dynamic,TRUE,222,1068,6,6,0,0,0.1,0.1,0.05,0,0.01,0.01,0.2,0
byte_buf_append_dynamic2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_append_with_lookup,TRUE,337,1592,10,10,0,0,0.13,0.13,0.22,0,0.01,0.03,0.46,0
byte_buf_append_with_lookup2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_append2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_cat,TRUE,655,3020,6,16,0,0,0.46,0.46,1.21,0,0.01,0.03,2.18,0
byte_buf_cat2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_clean_up,TRUE,62,299,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
byte_buf_clean_up_secure,TRUE,71,342,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_buf_eq,TRUE,677,3170,0,52,0,0,1.69,1.69,0.21,0,0.01,0.02,2,0
byte_buf_eq_c_str,TRUE,112,637,0,11,0,0,0.08,0.08,0.02,0,0,0.01,0.13,0
byte_buf_eq_c_str_ignore_case,TRUE,112,637,0,11,0,0,0.09,0.09,0.02,0,0,0.01,0.13,0
byte_buf_eq_c_str_ignore_case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_eq_c_str2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_eq_ignore_case,TRUE,460,3791,0,28,0,0,0.86,0.86,0.72,0,0.01,0.04,1.92,0
byte_buf_eq_ignore_case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_eq2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_from_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_buf_from_c_str,TRUE,335,1539,0,33,0,0,0.41,0.41,0.02,0,0.01,0.01,0.47,0
byte_buf_from_empty_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_buf_init,TRUE,71,345,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0
byte_buf_init_copy,TRUE,284,1684,0,9,0,0,0.53,0.53,0.15,0,0.01,0.03,0.77,0
byte_buf_init_copy_from_cursor,TRUE,129,643,2,2,0,0,0.07,0.07,0.07,0,0.01,0.03,0.2,0
byte_buf_init_copy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_reserve,TRUE,124,563,0,4,0,0,0.02,0.02,0.02,0,0.01,0.02,0.09,0
byte_buf_reserve_relative,TRUE,215,993,0,4,0,0,0.03,0.03,0.04,0,0.01,0.01,0.1,0
byte_buf_reset,TRUE,78,371,0,2,0,0,0.06,0.06,0.02,0,0.01,0.01,0.1,0
byte_buf_secure_zero,TRUE,114,530,0,2,0,0,0.07,0.07,0.02,0,0.01,0.01,0.13,0
byte_buf_write,TRUE,198,945,2,5,0,0,0.15,0.15,0.09,0,0.01,0.02,0.3,0
byte_buf_write_be16,TRUE,175,844,0,5,0,0,0.03,0.03,0.06,0,0.01,0.01,0.13,0
byte_buf_write_be162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_write_be32,TRUE,175,844,0,5,0,0,0.03,0.03,0.05,0,0.01,0.01,0.11,0
byte_buf_write_be322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_write_be64,TRUE,175,842,0,5,0,0,0.03,0.03,0.06,0,0.01,0.01,0.13,0
byte_buf_write_be642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byte_buf_write_from_whole_buffer,TRUE,342,1575,2,8,0,0,0.14,0.14,0.26,0,0.01,0.04,0.52,0
byte_buf_write_from_whole_buffer2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
