job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.08,0
array_eq,TRUE,475,2230,52,0,0,0,1.58,1.58,0.1,0,0.01,0.02,1.77,0
array_eq_c_str,TRUE,602,2659,0,57,0,0,1.13,1.13,0.03,0,0.01,0.02,1.22,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.07,0.07,0.01,0,0,0.01,0.1,0
array_eq_c_str_ignore_case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_eq_c_str2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_eq_ignore_case,TRUE,283,2869,28,0,0,0,1.28,1.28,0.06,0,0.01,0.03,1.42,0
array_eq_ignore_case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_eq2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_back,TRUE,213,1065,2,5,0,0,0.23,0.23,0.02,0,0.01,0.02,0.3,0
array_list_back2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_capacity,TRUE,167,855,0,3,0,0,0.23,0.23,0.02,0,0.01,0.01,0.29,0
array_list_capacity2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_clean_up,TRUE,70,384,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
array_list_clear,TRUE,118,592,0,0,0,0,0.59,0.59,0.02,0,0,0.01,0.62,0
array_list_clear2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_list_comparator_string,TRUE,426,2816,2,55,0,0,6.22,6.22,0.03,0,0.01,0.04,6.33,0
array_list_copy,TRUE,270,1328,0,8,0,0,1.21,1.21,0.03,0,0.01,0.03,1.3,0
array_list_ensure_capacity,TRUE,205,1078,4,3,0,0,1.15,1.15,0.03,0,0.01,0.01,1.22,0
