job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
ptr_eq,TRUE,6,30,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0
add_size_saturating,TRUE,26,168,0,0,0.06,0.06,0.01,0.01,0.01,0.07,0
is_power_of_two,TRUE,7,38,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0
nospec_mask,TRUE,14,84,0,0,0.02,0.02,0.00,0.00,0.00,0.03,0
add_size_checked,TRUE,30,185,0,0,0.03,0.03,0.01,0.01,0.01,0.04,0
array_eq_c_str_ignore_case,TRUE,100,581,0,0,0.08,0.08,0.01,0,0.01,0.11,0
mul_size_saturating,TRUE,34,188,0,0,0.19,0.19,0.01,0.01,0.01,0.20,0
mul_size_checked,TRUE,30,159,0,0,0.18,0.18,0.01,0.01,0.01,0.19,0
array_list_clean_up,TRUE,75,398,0,0,0.01,0.01,0.03,0.01,0.01,0.06,0
array_list_capacity,TRUE,182,895,0,0,0.21,0.21,0.10,0.01,0.01,0.33,0
array_list_back,TRUE,238,1147,0,0,0.22,0.22,0.18,0.01,0.01,0.43,0
array_eq_c_str,TRUE,600,2605,0,0,0.80,0.80,0.07,0.01,0.01,0.91,0
array_list_clear,TRUE,133,633,0,0,0.48,0.48,0.05,0.01,0.01,0.54,0
array_list_front,TRUE,233,1119,0,0,0.21,0.21,0.16,0.01,0.01,0.41,0
array_list_get_at_ptr,TRUE,223,1090,0,0,0.20,0.20,0.16,0.01,0.01,0.39,0
array_list_get_at,TRUE,235,1137,0,0,0.38,0.38,0.16,0.01,0.01,0.57,0
array_list_init_dynamic,TRUE,118,587,0,0,0.33,0.33,0.09,0.01,0.01,0.43,0
array_list_init_static,TRUE,152,743,0,0,0.36,0.36,0.11,0.01,0.01,0.50,0
array_list_ensure_capacity,TRUE,221,1120,0,0,0.96,0.96,0.26,0.01,0.01,1.27,0
array_eq,TRUE,471,2182,0,0,1.46,1.46,0.54,0.00,0.01,2.05,0
array_list_length,TRUE,180,895,0,0,0.21,0.21,0.11,0.01,0.01,0.35,0
round_up_to_power_of_two,TRUE,27,644,0,0,0.15,0.15,2.03,0.01,0.02,2.21,0
array_list_copy,TRUE,303,1419,0,0,1.56,1.56,0.30,0.01,0.01,1.91,0
array_eq_ignore_case,TRUE,279,2816,0,0,1.06,1.06,1.49,0.01,0.02,2.61,0
array_list_sort,TRUE,188,937,0,0,0.18,0.18,0.13,0.01,0.01,0.34,0
array_list_pop_back,TRUE,201,992,0,0,1.08,1.08,0.13,0.01,0.01,1.24,0
byte_buf_append,TRUE,181,833,0,0,0.06,0.06,0.09,0.01,0.01,0.17,0
array_list_erase,TRUE,275,1353,0,0,2.50,2.50,0.26,0.01,0.01,2.81,0
array_list_pop_front,TRUE,222,1076,0,0,1.41,1.41,0.15,0.01,0.02,1.60,0
byte_buf_advance,TRUE,307,1398,0,0,0.10,0.10,0.80,0.01,0.01,0.98,0
array_list_shrink_to_fit,TRUE,261,1288,0,0,1.37,1.37,0.29,0.01,0.01,1.70,0
array_list_swap_contents,TRUE,354,1712,0,0,0.77,0.77,0.57,0.01,0.01,1.40,0
byte_buf_append_dynamic,TRUE,232,1097,0,0,0.20,0.20,0.16,0.01,0.01,0.41,0
byte_buf_clean_up,TRUE,66,308,0,0,0.01,0.01,0.02,0.01,0.01,0.04,0
array_list_pop_front_n,TRUE,226,1095,0,0,1.83,1.83,0.21,0.01,0.02,2.09,0
array_list_set_at,TRUE,297,1609,0,0,1.32,1.32,0.54,0.01,0.04,1.96,0
byte_buf_clean_up_secure,TRUE,75,351,0,0,0.01,0.01,0.02,0.01,0.01,0.05,0
array_list_push_back,TRUE,301,1466,0,0,1.74,1.74,0.44,0.01,0.01,2.25,0
byte_buf_from_array,TRUE,69,353,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0
byte_buf_eq_c_str,TRUE,113,640,0,0,0.09,0.09,0.03,0,0.01,0.14,0
byte_buf_eq_c_str_ignore_case,TRUE,113,640,0,0,0.08,0.08,0.03,0,0.01,0.13,0
byte_buf_from_empty_array,TRUE,69,353,0,0,0.01,0.01,0.02,0.01,0.01,0.04,0
byte_buf_append_with_lookup,TRUE,354,1668,0,0,0.12,0.12,0.89,0.01,0.02,1.08,0
byte_buf_init,TRUE,91,418,0,0,0.02,0.02,0.04,0.01,0.01,0.08,0
byte_buf_from_c_str,TRUE,334,1530,0,0,0.36,0.36,0.03,0.01,0.01,0.42,0
byte_buf_reserve,TRUE,133,587,0,0,0.05,0.05,0.05,0.01,0.02,0.13,0
