job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.05,0.05,0.01,0,0.01,0.01,0.07,0,0
array_eq,TRUE,470,2186,0,52,0,0,0.97,0.97,0.03,0,0,0.01,1.03,0,0.01
array_eq_c_str,TRUE,602,2617,0,57,0,0,0.66,0.66,0.02,0,0.01,0.01,0.72,0,0.01
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.06,0.06,0.01,0,0,0.01,0.09,0,0.01
array_eq_c_str_ignore_case2,TRUE,99,583,0,11,0,0,0.05,0.05,0.01,0,0,0.01,0.08,0,0.01
array_eq_c_str2,TRUE,530,2288,0,51,0,0,0.55,0.55,0.01,0,0.01,0.01,0.59,0,0.01
array_eq_ignore_case,TRUE,258,2760,0,28,0,0,0.86,0.86,0.07,0,0.01,0.02,0.99,0,0.02
array_eq_ignore_case2,TRUE,191,2445,0,22,0,0,0.72,0.72,0.05,0,0.01,0.02,0.81,0,0.02
array_eq2,TRUE,406,1881,0,46,0,0,0.86,0.86,0.02,0,0,0.01,0.91,0,0.01
array_list_back,TRUE,237,1145,2,5,0,0,0.14,0.14,0.02,0,0.01,0.01,0.19,0,0.01
array_list_back2,TRUE,197,898,2,2,0,0,0.14,0.14,0.02,0,0.01,0.01,0.19,0,0.01
array_list_capacity,TRUE,182,896,0,3,0,0,0.13,0.13,0.02,0,0.01,0.01,0.16,0,0.01
array_list_capacity2,TRUE,135,626,0,0,0,0,0.15,0.15,0.01,0,0.01,0.01,0.18,0,0
array_list_clean_up,TRUE,75,398,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0,0
array_list_clear,TRUE,133,633,0,0,0,0,0.35,0.35,0.01,0,0.01,0.01,0.38,0,0
array_list_clear2,TRUE,137,646,0,0,0,0,0.41,0.41,0.01,0,0.01,0.01,0.43,0,0
array_list_comparator_string,TRUE,429,2820,2,55,0,0,3.97,3.97,0.03,0,0.01,0.03,4.06,0,0.01
array_list_copy,TRUE,300,1410,0,8,0,0,0.83,0.83,0.03,0,0.01,0.01,0.89,0,0.01
array_list_ensure_capacity,TRUE,219,1116,0,7,0,0,0.58,0.58,0.03,0,0.01,0.01,0.65,0,0.01
array_list_ensure_capacity2,TRUE,183,882,0,4,0,0,0.57,0.57,0.02,0,0.01,0.01,0.61,0,0.01
array_list_erase,TRUE,275,1355,8,3,0,0,2.19,2.19,0.04,0,0.01,0.01,2.26,0,0.01
array_list_erase2,TRUE,252,1184,8,0,0,0,1.66,1.66,0.04,0,0.01,0.01,1.73,0,0.01
array_list_front,TRUE,231,1113,0,7,0,0,0.16,0.16,0.03,0,0.01,0.01,0.22,0,0.01
array_list_front2,TRUE,191,866,0,4,0,0,0.14,0.14,0.01,0,0.01,0.01,0.16,0,0.01
array_list_get_at,TRUE,234,1135,2,5,0,0,0.32,0.32,0.02,0,0.01,0.01,0.37,0,0.01
array_list_get_at_ptr,TRUE,223,1091,0,3,0,0,0.16,0.16,0.03,0,0.01,0.01,0.21,0,0.01
array_list_get_at_ptr2,TRUE,182,842,0,0,0,0,0.13,0.13,0.02,0,0.01,0.01,0.16,0,0
array_list_get_at2,TRUE,194,888,2,2,0,0,0.43,0.43,0.02,0,0.01,0.01,0.47,0,0.01
array_list_init_dynamic,TRUE,118,585,0,0,0,0,0.26,0.26,0.02,0,0.01,0.01,0.3,0,0
array_list_init_static,TRUE,151,740,0,3,0,0,0.26,0.26,0.02,0,0.01,0.01,0.31,0,0.01
array_list_init_static2,TRUE,122,578,0,0,0,0,0.25,0.25,0.01,0,0.01,0.01,0.28,0,0
array_list_length,TRUE,180,896,0,3,0,0,0.15,0.15,0.02,0,0.01,0.01,0.21,0,0.01
array_list_length2,TRUE,139,647,0,0,0,0,0.14,0.14,0.02,0,0.01,0.01,0.17,0,0
array_list_pop_back,TRUE,201,992,0,3,0,0,0.48,0.48,0.02,0,0.01,0.01,0.53,0,0.01
array_list_pop_back2,TRUE,159,741,0,0,0,0,0.4,0.4,0.02,0,0.01,0.01,0.44,0,0
array_list_pop_front,TRUE,222,1077,4,3,0,0,0.8,0.8,0.02,0,0.01,0.02,0.86,0,0.01
array_list_pop_front_n,TRUE,226,1097,4,3,0,0,1,1,0.04,0,0.01,0.02,1.09,0,0.01
array_list_pop_front_n2,TRUE,189,873,4,0,0,0,0.7,0.7,0.03,0,0.01,0.02,0.77,0,0.01
array_list_pop_front2,TRUE,180,838,4,0,0,0,0.58,0.58,0.02,0,0.01,0.01,0.63,0,0.01
array_list_push_back,TRUE,298,1454,2,9,0,0,0.58,0.58,0.05,0,0.01,0.01,0.67,0,0.01
array_list_push_back2,TRUE,257,1202,2,6,0,0,0.24,0.24,0.05,0,0.01,0.01,0.33,0,0.01
array_list_set_at,TRUE,294,1571,2,9,0,0,0.94,0.94,0.04,0,0.01,0.04,1.06,0,0.01
array_list_set_at2,TRUE,253,1342,2,6,0,0,0.93,0.93,0.05,0,0.01,0.03,1.03,0,0.01
array_list_shrink_to_fit,TRUE,262,1294,6,5,0,0,1.16,1.16,0.05,0,0.01,0.01,1.25,0,0.01
array_list_shrink_to_fit2,TRUE,215,1011,6,2,0,0,0.73,0.73,0.04,0,0.01,0.02,0.81,0,0.01
array_list_sort,TRUE,188,938,0,3,0,0,0.16,0.16,0.02,0,0.01,0.01,0.21,0,0.01
array_list_sort2,TRUE,147,689,0,0,0,0,0.15,0.15,0.02,0,0.01,0.01,0.18,0,0
array_list_swap,TRUE,276,1519,14,14,0,0,15.24,15.24,0.04,0,0.01,0.02,15.32,0,0.02
array_list_swap_contents,TRUE,353,1713,0,6,0,0,0.59,0.59,0.04,0,0.01,0.01,0.68,0,0.01
byte_buf_advance,TRUE,305,1394,0,5,0,0,0.05,0.05,0.07,0,0.01,0.01,0.18,0,0.01
byte_buf_advance2,TRUE,244,1078,0,0,0,0,0.05,0.05,0.07,0,0.01,0.01,0.15,0,0
byte_buf_append,TRUE,181,829,2,2,0,0,0.03,0.03,0.03,0,0.01,0.01,0.1,0,0.01
byte_buf_append_dynamic,TRUE,230,1086,6,6,0,0,0.07,0.07,0.05,0,0.01,0.01,0.14,0,0.01
byte_buf_append_dynamic2,TRUE,236,1073,6,6,0,0,0.05,0.05,0.04,0,0.01,0.01,0.12,0,0.01
byte_buf_append_with_lookup,TRUE,345,1564,10,10,0,0,0.07,0.07,0.1,0,0.01,0.02,0.22,0,0.02
byte_buf_append_with_lookup2,TRUE,347,1550,10,10,0,0,0.06,0.06,0.12,0,0.01,0.02,0.23,0,0.02
byte_buf_append2,TRUE,187,817,2,2,0,0,0.03,0.03,0.03,0,0.01,0.01,0.08,0,0.01
byte_buf_cat,TRUE,687,3078,6,16,0,0,0.41,0.41,0.23,0,0.01,0.02,0.74,0,0.03
byte_buf_cat2,TRUE,553,2328,6,6,0,0,0.47,0.47,0.16,0,0.01,0.04,0.72,0,0.01
byte_buf_clean_up,TRUE,66,308,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0
byte_buf_clean_up_secure,TRUE,75,351,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0
byte_buf_eq,TRUE,693,3172,0,52,0,0,1.1,1.1,0.07,0,0.01,0.02,1.24,0,0.01
byte_buf_eq_c_str,TRUE,112,637,0,11,0,0,0.06,0.06,0.01,0,0,0.01,0.09,0,0.01
byte_buf_eq_c_str_ignore_case,TRUE,112,637,0,11,0,0,0.06,0.06,0.01,0,0,0.01,0.09,0,0.01
byte_buf_eq_c_str_ignore_case2,TRUE,112,642,0,11,0,0,0.07,0.07,0.01,0,0,0.01,0.1,0,0.01
byte_buf_eq_c_str2,TRUE,112,642,0,11,0,0,0.07,0.07,0.01,0,0,0.01,0.09,0,0.01
byte_buf_eq_ignore_case,TRUE,476,3788,0,28,0,0,0.53,0.53,0.17,0,0.01,0.02,0.79,0,0.03
byte_buf_eq_ignore_case2,TRUE,284,2906,0,22,0,0,0.47,0.47,0.1,0,0.01,0.02,0.64,0,0.02
byte_buf_eq2,TRUE,616,2750,0,46,0,0,0.86,0.86,0.04,0,0.01,0.01,0.95,0,0.01
byte_buf_from_array,TRUE,69,353,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0
byte_buf_from_c_str,TRUE,332,1526,0,33,0,0,0.33,0.33,0.01,0,0,0.01,0.36,0,0.01
byte_buf_from_empty_array,TRUE,69,353,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0
byte_buf_init,TRUE,91,418,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.04,0,0
byte_buf_init_copy,TRUE,308,1746,0,9,0,0,0.56,0.56,0.04,0,0.01,0.02,0.65,0,0.01
byte_buf_init_copy_from_cursor,TRUE,152,723,2,2,0,0,0.06,0.06,0.04,0,0.01,0.02,0.14,0,0.01
byte_buf_init_copy2,TRUE,302,1719,0,7,0,0,0.55,0.55,0.04,0,0.01,0.03,0.64,0,0.01
byte_buf_reserve,TRUE,132,581,0,4,0,0,0.02,0.02,0.02,0,0.01,0.02,0.06,0,0.01
byte_buf_reserve_relative,TRUE,238,1043,0,4,0,0,0.02,0.02,0.03,0,0.01,0.01,0.07,0,0.01
