job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.08,0
array_eq,TRUE,173,813,0,14,0,0,0.14,0.14,0.07,0,0.01,0.01,0.26,0
array_eq_c_str,TRUE,161,779,0,11,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
array_eq_c_str_ignore_case,TRUE,132,938,0,10,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
array_eq_c_str_ignore_case2,TRUE,64,629,0,4,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
array_eq_c_str2,TRUE,89,451,0,5,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
array_eq_ignore_case,TRUE,124,872,0,8,0,0,0.07,0.07,0.05,0,0.01,0.01,0.16,0
array_eq_ignore_case2,TRUE,57,557,0,2,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
array_eq2,TRUE,109,507,0,8,0,0,0.11,0.11,0.01,0,0.01,0.01,0.15,0
array_list_back,TRUE,213,1077,2,5,0,0,0.23,0.23,0.15,0,0.01,0.01,0.47,0
array_list_back2,TRUE,177,847,2,2,0,0,0.24,0.24,0.07,0,0.01,0.01,0.34,0
array_list_capacity,TRUE,167,855,0,3,0,0,0.23,0.23,0.1,0,0.01,0.01,0.36,0
array_list_capacity2,TRUE,120,585,0,0,0,0,0.24,0.24,0.05,0,0.01,0.01,0.32,0
array_list_clean_up,TRUE,63,337,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
array_list_clear,TRUE,118,592,0,0,0,0,0.58,0.58,0.04,0,0.01,0.01,0.64,0
array_list_clear2,TRUE,122,605,0,0,0,0,0.73,0.73,0.05,0,0.01,0.01,0.81,0
array_list_comparator_string,TRUE,130,873,8,11,0,0,0.63,0.63,0.07,0,0,0.02,0.76,0
array_list_copy,TRUE,270,1328,0,8,0,0,1.89,1.89,0.15,0,0.01,0.01,2.12,0
array_list_ensure_capacity,TRUE,203,1071,0,7,0,0,0.88,0.88,0.19,0,0.01,0.01,1.16,0
array_list_ensure_capacity2,TRUE,171,855,0,4,0,0,1.05,1.05,0.11,0,0.01,0.01,1.23,0
array_list_erase,TRUE,260,1314,8,3,0,0,1.72,1.72,0.21,0,0.01,0.01,2.05,0
array_list_erase2,TRUE,233,1134,8,0,0,0,3.22,3.22,0.09,0,0.01,0.02,3.36,0
array_list_front,TRUE,208,1049,2,5,0,0,0.22,0.22,0.15,0,0.01,0.01,0.45,0
array_list_front2,TRUE,172,819,2,2,0,0,0.25,0.25,0.07,0,0.01,0.01,0.37,0
array_list_get_at,TRUE,214,1080,2,5,0,0,0.77,0.77,0.15,0,0.01,0.01,1,0
array_list_get_at_ptr,TRUE,203,1036,0,3,0,0,0.23,0.23,0.17,0,0.01,0.01,0.45,0
array_list_get_at_ptr2,TRUE,167,804,0,0,0,0,0.26,0.26,0.06,0,0.01,0.01,0.35,0
array_list_get_at2,TRUE,178,852,4,0,0,0,0.57,0.57,0.06,0,0.01,0.01,0.66,0
array_list_init_dynamic,TRUE,107,527,0,0,0,0,0.37,0.37,0.03,0,0.01,0.01,0.43,0
array_list_init_static,TRUE,148,738,0,3,0,0,0.41,0.41,0.08,0,0.01,0.01,0.52,0
array_list_init_static2,TRUE,119,575,0,0,0,0,0.45,0.45,0.05,0,0.01,0.01,0.54,0
array_list_length,TRUE,165,855,0,3,0,0,0.25,0.25,0.09,0,0.01,0.01,0.38,0
array_list_length2,TRUE,124,606,0,0,0,0,0.25,0.25,0.04,0,0.01,0.01,0.32,0
array_list_pop_back,TRUE,182,938,0,3,0,0,0.79,0.79,0.11,0,0.01,0.01,0.95,0
array_list_pop_back2,TRUE,140,687,0,0,0,0,0.82,0.82,0.04,0,0.01,0.01,0.9,0
array_list_pop_front,TRUE,203,1023,4,3,0,0,1.75,1.75,0.12,0,0.01,0.03,1.96,0
array_list_pop_front_n,TRUE,211,1056,4,3,0,0,2.33,2.33,0.15,0,0.01,0.03,2.56,0
array_list_pop_front_n2,TRUE,174,832,4,0,0,0,1.46,1.46,0.06,0,0.01,0.02,1.58,0
array_list_pop_front2,TRUE,161,784,4,0,0,0,1.34,1.34,0.06,0,0.01,0.02,1.45,0
array_list_push_back,TRUE,277,1398,2,9,0,0,2.17,2.17,0.27,0,0.01,0.02,2.57,0
array_list_push_back2,TRUE,237,1160,2,6,0,0,0.81,0.81,0.12,0,0.01,0.02,1,0
array_list_set_at,TRUE,273,1508,2,9,0,0,1.43,1.43,0.27,0,0.01,0.05,1.87,0
array_list_set_at2,TRUE,232,1287,2,6,0,0,2.72,2.72,0.15,0,0.01,0.05,3,0
array_list_shrink_to_fit,TRUE,247,1247,6,5,0,0,2.25,2.25,0.12,0,0.01,0.02,2.44,0
array_list_shrink_to_fit2,TRUE,200,964,6,2,0,0,1.38,1.38,0.06,0,0.01,0.03,1.51,0
array_list_sort,TRUE,172,891,0,3,0,0,0.24,0.24,0.09,0,0.01,0.01,0.38,0
array_list_sort2,TRUE,131,642,0,0,0,0,0.24,0.24,0.04,0,0,0.01,0.31,0
array_list_swap,TRUE,256,1465,14,12,0,0,48.77,48.77,0.09,0,0.01,0.02,48.94,0
array_list_swap_contents,TRUE,323,1631,0,6,0,0,0.99,0.99,0.46,0,0.01,0.02,1.59,0
byte_buf_advance,TRUE,279,1317,0,5,0,0,0.06,0.06,0.24,0,0.01,0.02,0.39,0
byte_buf_advance2,TRUE,223,1011,0,0,0,0,0.05,0.05,0.09,0,0.01,0.01,0.19,0
byte_buf_append,TRUE,173,811,2,2,0,0,0.04,0.04,0.08,0,0.01,0.01,0.16,0
byte_buf_append_dynamic,TRUE,222,1068,6,6,0,0,0.1,0.1,0.13,0,0.01,0.01,0.33,0
byte_buf_append_dynamic2,TRUE,237,1089,8,4,0,0,0.12,0.12,0.16,0,0.01,0.02,0.39,0
byte_buf_append_with_lookup,TRUE,178,821,1,1,0,0,0.04,0.04,0.08,0,0.01,0.02,0.16,0
byte_buf_append_with_lookup2,TRUE,184,809,1,1,0,0,0.03,0.03,0.1,0,0.01,0.02,0.19,0
byte_buf_append2,TRUE,179,799,2,2,0,0,0.05,0.05,0.09,0,0.01,0.01,0.19,0
byte_buf_cat,TRUE,655,3020,6,16,0,0,0.43,0.43,2.31,0,0.01,0.03,3.92,0
byte_buf_cat2,TRUE,521,2256,6,6,0,0,1.03,1.03,0.66,0,0.01,0.05,2.04,0
byte_buf_clean_up,TRUE,62,299,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.04,0
byte_buf_clean_up_secure,TRUE,71,342,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0
byte_buf_eq,TRUE,380,1760,0,14,0,0,0.19,0.19,0.67,0,0.01,0.02,1.01,0
byte_buf_eq_c_str,TRUE,261,1227,0,11,0,0,0.01,0.01,0.04,0,0.01,0.01,0.09,0
byte_buf_eq_c_str_ignore_case,TRUE,247,1445,0,11,0,0,0.01,0.01,0.03,0,0.01,0.01,0.08,0
byte_buf_eq_c_str_ignore_case2,TRUE,117,854,0,5,0,0,0.01,0.01,0.02,0,0.01,0.01,0.08,0
byte_buf_eq_c_str2,TRUE,131,635,0,5,0,0,0.01,0.01,0.03,0,0.01,0.01,0.09,0
byte_buf_eq_ignore_case,TRUE,326,1800,0,8,0,0,0.09,0.09,0.44,0,0.01,0.02,0.69,0
byte_buf_eq_ignore_case2,TRUE,142,935,0,2,0,0,0.01,0.01,0.12,0,0.01,0.01,0.2,0
byte_buf_eq2,TRUE,303,1338,0,8,0,0,0.09,0.09,0.2,0,0.01,0.01,0.34,0
byte_buf_from_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_buf_from_c_str,TRUE,202,1081,0,18,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
byte_buf_from_empty_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.04,0
byte_buf_init,TRUE,71,345,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0
byte_buf_init_copy,TRUE,284,1684,0,9,0,0,0.48,0.48,0.37,0,0.01,0.03,0.99,0
byte_buf_init_copy_from_cursor,TRUE,129,643,2,2,0,0,0.06,0.06,0.09,0,0.01,0.02,0.21,0
byte_buf_init_copy2,TRUE,278,1694,0,7,0,0,0.99,0.99,0.47,0,0.01,0.03,1.6,0
byte_buf_reserve,TRUE,124,563,0,4,0,0,0.02,0.02,0.04,0,0.01,0.02,0.12,0
byte_buf_reserve_relative,TRUE,215,993,0,4,0,0,0.03,0.03,0.07,0,0.01,0.01,0.14,0
byte_buf_reset,TRUE,74,359,0,2,0,0,0.06,0.06,0.02,0,0.01,0.01,0.12,0
byte_buf_secure_zero,TRUE,110,518,0,2,0,0,0.07,0.07,0.03,0,0.01,0.01,0.13,0
byte_buf_write,TRUE,198,945,2,5,0,0,0.14,0.14,0.16,0,0.01,0.02,0.38,0
byte_buf_write_be16,TRUE,175,844,0,5,0,0,0.03,0.03,0.13,0,0.01,0.01,0.22,0
byte_buf_write_be162,TRUE,134,595,0,2,0,0,0.03,0.03,0.05,0,0.01,0.01,0.11,0
byte_buf_write_be32,TRUE,175,844,0,5,0,0,0.03,0.03,0.13,0,0.01,0.01,0.22,0
byte_buf_write_be322,TRUE,134,595,0,2,0,0,0.02,0.02,0.06,0,0.01,0.01,0.1,0
byte_buf_write_be64,TRUE,175,842,0,5,0,0,0.03,0.03,0.14,0,0.01,0.01,0.24,0
byte_buf_write_be642,TRUE,151,678,0,3,0,0,0.04,0.04,0.1,0,0.01,0.01,0.18,0
byte_buf_write_from_whole_buffer,TRUE,342,1575,2,8,0,0,0.14,0.14,0.76,0,0.01,0.03,1.14,0
byte_buf_write_from_whole_buffer2,TRUE,267,1173,2,2,0,0,0.15,0.15,0.17,0,0.01,0.03,0.4,0
byte_buf_write_from_whole_cursor,TRUE,266,1267,2,8,0,0,0.12,0.12,0.5,0,0.01,0.03,0.8,0
byte_buf_write_from_whole_cursor2,TRUE,191,884,2,2,0,0,0.12,0.12,0.12,0,0.01,0.02,0.3,0
byte_buf_write_from_whole_string,TRUE,272,1634,17,6,0,0,0.79,0.79,0.23,0,0.01,0.04,1.21,0
byte_buf_write_from_whole_string2,TRUE,231,1414,17,3,0,0,1.04,1.04,0.11,0,0.01,0.04,1.25,0
byte_buf_write_u8,TRUE,175,842,0,5,0,0,0.04,0.04,0.13,0,0.01,0.01,0.23,0
byte_buf_write_u82,TRUE,134,595,0,2,0,0,0.04,0.04,0.05,0,0.01,0.01,0.12,0
byte_buf_write2,TRUE,174,810,2,3,0,0,0.11,0.11,0.1,0,0.01,0.02,0.28,0
byte_cursor_advance,TRUE,119,584,0,3,0,0,0.08,0.08,0.07,0,0.01,0.01,0.17,0
byte_cursor_advance_nospec,TRUE,132,686,2,1,0,0,0.15,0.15,0.05,0,0.01,0.01,0.22,0
byte_cursor_advance_nospec2,TRUE,100,492,0,0,0,0,0.09,0.09,0.03,0,0.01,0.01,0.16,0
byte_cursor_advance2,TRUE,90,412,0,0,0,0,0.03,0.03,0.03,0,0.01,0.01,0.08,0
byte_cursor_compare_lexical,TRUE,207,1068,0,8,0,0,0.17,0.17,0.11,0,0.01,0.01,0.34,0
byte_cursor_compare_lexical2,TRUE,188,919,2,6,0,0,0.1,0.1,0.04,0,0.01,0.01,0.17,0
byte_cursor_compare_lookup,TRUE,265,1277,7,11,0,0,0.09,0.09,0.14,0,0.01,0.01,0.31,0
byte_cursor_compare_lookup2,TRUE,204,980,5,7,0,0,0.04,0.04,0.06,0,0.01,0.01,0.14,0
byte_cursor_eq,TRUE,183,943,0,8,0,0,0.15,0.15,0.11,0,0.01,0.01,0.31,0
byte_cursor_eq_byte_buf,TRUE,251,1219,0,8,0,0,0.05,0.05,0.29,0,0.01,0.01,0.47,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,238,1422,0,7,0,0,0.08,0.08,0.2,0,0.01,0.01,0.38,0
byte_cursor_eq_byte_buf_ignore_case2,TRUE,168,1066,0,1,0,0,0.05,0.05,0.1,0,0.01,0.01,0.19,0
byte_cursor_eq_byte_buf2,TRUE,195,925,2,0,0,0,0.05,0.05,0.11,0,0.01,0.01,0.19,0
byte_cursor_eq_c_str,TRUE,169,856,0,10,0,0,0.01,0.01,0.02,0,0.01,0.01,0.07,0
byte_cursor_eq_c_str_ignore_case,TRUE,159,1085,0,10,0,0,0.01,0.01,0.02,0,0.01,0.01,0.07,0
byte_cursor_eq_c_str_ignore_case2,TRUE,98,797,0,4,0,0,0.01,0.01,0.02,0,0.01,0.01,0.07,0
byte_cursor_eq_c_str2,TRUE,108,564,0,4,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
byte_cursor_eq_ignore_case,TRUE,165,1111,0,7,0,0,0.08,0.08,0.08,0,0.01,0.01,0.22,0
byte_cursor_eq_ignore_case2,TRUE,110,835,0,1,0,0,0.01,0.01,0.03,0,0.01,0.01,0.07,0
