job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,30,185,0,0,0,0,0.03,0.03,0.01,0,0.01,0.01,0.05,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.09,0
array_eq,TRUE,173,813,0,14,0,0,0.14,0.14,0.05,0,0.01,0.01,0.23,0
array_eq_c_str,TRUE,161,779,0,11,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
array_eq_c_str_ignore_case,TRUE,132,938,0,10,0,0,0.01,0.01,0.02,0,0.01,0.01,0.07,0
array_eq_c_str_ignore_case2,TRUE,64,629,0,4,0,0,0.01,0.01,0.01,0,0.01,0.01,0.06,0
array_eq_c_str2,TRUE,89,451,0,5,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
array_eq_ignore_case,TRUE,124,872,0,8,0,0,0.07,0.07,0.05,0,0.01,0.01,0.17,0
array_eq_ignore_case2,TRUE,57,557,0,2,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
array_eq2,TRUE,109,507,0,8,0,0,0.11,0.11,0.03,0,0.01,0.01,0.15,0
array_list_back,TRUE,214,1081,0,7,0,0,0.21,0.21,0.1,0,0.01,0.01,0.37,0
array_list_back2,TRUE,177,849,0,4,0,0,0.25,0.25,0.08,0,0.01,0.01,0.37,0
array_list_capacity,TRUE,167,855,0,3,0,0,0.22,0.22,0.08,0,0.01,0.01,0.35,0
array_list_capacity2,TRUE,120,585,0,0,0,0,0.23,0.23,0.06,0,0.01,0.01,0.31,0
array_list_clean_up,TRUE,63,337,0,0,0,0,0.01,0.01,0.03,0,0.01,0.01,0.06,0
array_list_clear,TRUE,118,592,0,0,0,0,0.62,0.62,0.04,0,0.01,0.01,0.69,0
array_list_clear2,TRUE,122,605,0,0,0,0,0.71,0.71,0.04,0,0.01,0.01,0.78,0
array_list_comparator_string,TRUE,130,873,2,17,0,0,0.64,0.64,0.07,0,0.01,0.02,0.77,0
array_list_copy,TRUE,273,1337,0,8,0,0,1.5,1.5,0.12,0,0.01,0.02,1.69,0
array_list_ensure_capacity,TRUE,203,1071,0,7,0,0,0.85,0.85,0.15,0,0.01,0.02,1.07,0
array_list_ensure_capacity2,TRUE,171,855,0,4,0,0,1,1,0.11,0,0.01,0.01,1.17,0
array_list_erase,TRUE,260,1314,0,11,0,0,1.67,1.67,0.09,0,0.01,0.01,1.82,0
array_list_erase2,TRUE,233,1134,0,8,0,0,3.12,3.12,0.07,0,0.01,0.01,3.24,0
array_list_front,TRUE,209,1053,0,7,0,0,0.23,0.23,0.09,0,0.01,0.01,0.38,0
array_list_front2,TRUE,172,821,0,4,0,0,0.26,0.26,0.07,0,0.01,0.01,0.38,0
array_list_get_at,TRUE,215,1084,0,7,0,0,0.46,0.46,0.1,0,0.01,0.01,0.62,0
array_list_get_at_ptr,TRUE,203,1036,0,3,0,0,0.24,0.24,0.1,0,0.01,0.01,0.4,0
array_list_get_at_ptr2,TRUE,167,804,0,0,0,0,0.25,0.25,0.08,0,0.01,0.01,0.37,0
array_list_get_at2,TRUE,178,852,0,4,0,0,0.57,0.57,0.09,0,0.01,0.01,0.71,0
array_list_init_dynamic,TRUE,107,527,0,0,0,0,0.37,0.37,0.03,0,0.01,0.01,0.43,0
array_list_init_static,TRUE,150,746,2,1,0,0,0.41,0.41,0.07,0,0.01,0.01,0.53,0
array_list_init_static2,TRUE,119,575,0,0,0,0,0.44,0.44,0.06,0,0.01,0.01,0.54,0
array_list_length,TRUE,165,855,0,3,0,0,0.23,0.23,0.08,0,0.01,0.01,0.35,0
array_list_length2,TRUE,124,606,0,0,0,0,0.24,0.24,0.05,0,0.01,0.01,0.32,0
array_list_pop_back,TRUE,182,938,0,3,0,0,0.77,0.77,0.08,0,0.01,0.01,0.9,0
array_list_pop_back2,TRUE,140,687,0,0,0,0,0.8,0.8,0.06,0,0.01,0.01,0.89,0
array_list_pop_front,TRUE,203,1023,0,7,0,0,1.72,1.72,0.08,0,0.01,0.03,1.88,0
array_list_pop_front_n,TRUE,211,1056,0,7,0,0,2.28,2.28,0.11,0,0.01,0.03,2.46,0
array_list_pop_front_n2,TRUE,174,832,0,4,0,0,1.43,1.43,0.07,0,0.01,0.02,1.55,0
array_list_pop_front2,TRUE,161,784,0,4,0,0,1.21,1.21,0.05,0,0.01,0.02,1.32,0
array_list_push_back,TRUE,278,1398,0,11,0,0,1.95,1.95,0.17,0,0.01,0.02,2.21,0
array_list_push_back2,TRUE,236,1153,0,8,0,0,0.33,0.33,0.12,0,0.01,0.02,0.53,0
array_list_set_at,TRUE,273,1508,2,9,0,0,1.45,1.45,0.2,0,0.01,0.06,1.81,0
array_list_set_at2,TRUE,232,1287,2,6,0,0,2.61,2.61,0.16,0,0.01,0.06,2.91,0
array_list_shrink_to_fit,TRUE,247,1247,0,11,0,0,2.43,2.43,0.1,0,0.01,0.02,2.58,0
array_list_shrink_to_fit2,TRUE,200,964,0,8,0,0,1.29,1.29,0.07,0,0.01,0.03,1.42,0
array_list_sort,TRUE,172,891,0,3,0,0,0.23,0.23,0.08,0,0.01,0.01,0.36,0
array_list_sort2,TRUE,131,642,0,0,0,0,0.22,0.22,0.06,0,0.01,0.01,0.31,0
array_list_swap,TRUE,258,1469,0,26,0,0,42.16,42.16,0.04,0,0.01,0.02,42.26,0
array_list_swap_contents,TRUE,323,1631,0,6,0,0,0.97,0.97,0.29,0,0.01,0.02,1.39,0
byte_buf_advance,TRUE,279,1317,0,5,0,0,0.05,0.05,0.18,0,0.01,0.02,0.32,0
byte_buf_advance2,TRUE,223,1011,0,0,0,0,0.05,0.05,0.13,0,0.01,0.02,0.26,0
byte_buf_append,TRUE,172,807,0,4,0,0,0.04,0.04,0.09,0,0.01,0.01,0.17,0
byte_buf_append_dynamic,TRUE,221,1064,4,8,0,0,0.08,0.08,0.12,0,0.01,0.02,0.28,0
byte_buf_append_dynamic2,TRUE,235,1082,4,8,0,0,0.14,0.14,0.19,0,0.01,0.02,0.42,0
byte_buf_append_with_lookup,TRUE,177,814,0,2,0,0,0.03,0.03,0.09,0,0.01,0.02,0.18,0
byte_buf_append_with_lookup2,TRUE,183,802,0,2,0,0,0.03,0.03,0.1,0,0.01,0.02,0.2,0
byte_buf_append2,TRUE,178,795,0,4,0,0,0.04,0.04,0.1,0,0.01,0.01,0.19,0
byte_buf_cat,TRUE,652,3007,0,22,0,0,0.41,0.41,3.3,0,0.01,0.04,4.63,0
byte_buf_cat2,TRUE,518,2243,0,12,0,0,0.91,0.91,4.79,0,0.01,0.05,5.94,0
byte_buf_clean_up,TRUE,62,299,0,0,0,0,0.01,0.01,0.03,0,0.01,0.01,0.06,0
byte_buf_clean_up_secure,TRUE,71,342,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0
byte_buf_eq,TRUE,380,1760,0,14,0,0,0.17,0.17,0.33,0,0.01,0.02,0.64,0
byte_buf_eq_c_str,TRUE,261,1227,0,11,0,0,0.01,0.01,0.04,0,0.01,0.01,0.11,0
byte_buf_eq_c_str_ignore_case,TRUE,247,1445,0,11,0,0,0.01,0.01,0.04,0,0.01,0.01,0.1,0
byte_buf_eq_c_str_ignore_case2,TRUE,117,854,0,5,0,0,0.01,0.01,0.03,0,0.01,0.01,0.11,0
byte_buf_eq_c_str2,TRUE,131,635,0,5,0,0,0.01,0.01,0.03,0,0.01,0.01,0.1,0
