job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,28,173,0,0,0,0,0.02,0.02,0.01,0.06,0.01,0.01,0.04,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0.05,0.01,0.01,0.09,0
array_eq,0,0,0,0,0,0,14,0,0,0,0.2,0,0,0,0
array_eq_c_str,TRUE,360,1739,0,0,0,11,0.76,0.76,0.07,0.27,0.01,0.01,0.87,0
array_eq_c_str_ignore_case,TRUE,262,3029,0,0,0,11,1.21,1.21,0.05,0.31,0.01,0.02,1.31,0
array_eq_c_str_ignore_case2,TRUE,237,2914,0,0,0,5,1.19,1.19,0.05,0.19,0.01,0.02,1.29,0
array_eq_c_str2,TRUE,331,1604,0,0,0,5,0.69,0.69,0.06,0.19,0,0.01,0.78,0
array_eq_ignore_case,TRUE,160,2506,0,0,0,8,0.7,0.7,0.16,0.23,0.01,0.02,0.91,0
array_eq_ignore_case2,TRUE,130,2371,0,0,0,2,0.01,0.01,0.13,0.1,0.01,0.02,0.19,0
array_eq2,TRUE,228,1245,0,0,0,8,1.16,1.16,0.06,0.09,0.01,0.01,1.23,0
array_list_back,TRUE,67,320,0,0,0,7,0.29,0.29,0.03,1.49,0.01,0.01,0.33,0
array_list_back2,TRUE,89,371,0,0,0,4,0.3,0.3,0.05,0.54,0,0.01,0.38,0
array_list_capacity,TRUE,56,275,0,0,0,3,0.29,0.29,0.02,1.2,0.01,0.01,0.33,0
array_list_capacity2,TRUE,65,276,0,0,0,0,0.29,0.29,0.04,0.38,0.01,0.01,0.35,0
array_list_clean_up,TRUE,33,164,0,0,0,2,0.01,0.01,0.01,0.26,0.01,0.01,0.03,0
array_list_clear,TRUE,41,201,0,0,0,0,0.69,0.69,0.02,0.37,0.01,0.01,0.73,0
array_list_clear2,TRUE,45,214,0,0,0,0,0.65,0.65,0.03,0.43,0.01,0.01,0.69,0
array_list_comparator_string,TRUE,221,2047,2,0,2,17,5.41,5.41,0.1,0.14,0.01,0.03,5.57,0
array_list_copy,TRUE,87,411,0,0,0,8,0.94,0.94,0.04,1.69,0.01,0.01,1,0
array_list_ensure_capacity,TRUE,73,388,0,0,0,7,0.84,0.84,0.05,1.37,0.01,0.01,0.91,0
