job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef
chan_msg_sync,TRUE,422,2213,0,6,0,0,0.04,0.04,0.21,0,0.01,0.08,0.41,0,0.03
gatekeeper_ipc,TRUE,3637,23698,0,53,0,0,1.05,1.05,1.94,0,0.01,1.18,5.14,0,0.02
port_accept_pf,TRUE,101,598,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0,0
port_close_pf,TRUE,48,272,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0
port_connect_pf,TRUE,117,629,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0,0
port_create_pf,TRUE,46,260,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0,0
port_get_msg_pf,TRUE,223,1168,0,0,0,0,0.01,0.01,0.03,0,0.01,0.02,0.09,0,0
port_put_msg_pf,TRUE,1100,4817,0,127,0,0,0.03,0.03,0.12,0,0.01,0.04,0.28,0,0.03
port_read_msg_pf,TRUE,367,1880,0,2,0,0,0.02,0.02,0.05,0,0.01,0.03,0.14,0,0.01
port_send_msg_pf,TRUE,463,2413,0,2,0,0,0.03,0.03,0.1,0,0.01,0.06,0.23,0,0.01
port_set_cookie_pf,TRUE,55,309,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0,0
port_wait_any_pf,TRUE,1289,5733,0,127,0,0,0.04,0.04,0.15,0,0.01,0.05,0.35,0,0.03
port_wait_pf,TRUE,1094,4823,0,127,0,0,0.03,0.03,0.12,0,0.01,0.04,0.29,0,0.02
rpmb_program_key,TRUE,1035,5257,2,9,0,0,0.03,0.03,0.52,0,0.01,0.31,1.05,0,0.03
rpmb_read,TRUE,1035,5257,2,9,0,0,0.03,0.03,0.47,0,0.01,0.31,0.97,0,0.02
rpmb_read_no_mac,TRUE,1035,5257,2,9,0,0,0.03,0.03,0.5,0,0.01,0.32,1.02,0,0.03
rpmb_send,TRUE,1703,8695,0,30,0,0,0.1,0.1,1.59,0,0.01,275.7,277.96,0,0.29
rpmb_verify,TRUE,1299,6609,3,26,0,0,0.11,0.11,0.6,0,0.01,0.3,1.25,0,0.06
rpmb_write,TRUE,1035,5257,2,9,0,0,0.03,0.03,0.47,0,0.01,0.31,0.99,0,0.02
storage_ipc_indirect_handlers,TRUE,1889,10199,0,94,0,0,0.72,0.72,1.56,0,0.01,312.63,315.78,0,0.55
storage_ipc_msg_buffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
storage_ipc_port_create_destroy,TRUE,208,1160,0,8,0,0,0.08,0.08,0.03,0,0.01,0.03,0.15,0,0.01
storage_multiple_ports,TRUE,560,2899,0,20,0,0,0.01,0.01,0.05,0,0.01,0.04,0.14,0,0.01
tipc_ns_open_close_file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tipc_ns_open_file,TRUE,823,4211,0,8,0,0,0.06,0.06,0.23,0,0.01,0.26,0.66,0,0.01
tipc_ns_read_ops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tipc_ns_write_ops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
