job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef
chan_msg_sync,TRUE,234,1490,0,6,28,0,0.07,0.07,0.12,0.08,0.01,0.04,0.27,0,0.01
gatekeeper_ipc,TRUE,1810,10472,0,47,47,33,0.42,0.42,0.66,8.27,0.01,0.29,1.81,0,0.01
port_accept_pf,TRUE,38,310,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0
port_close_pf,TRUE,11,89,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0,0
port_connect_pf,TRUE,41,290,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0,0
port_create_pf,TRUE,15,125,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.02,0,0
port_get_msg_pf,TRUE,116,865,0,0,0,0,0.01,0.01,0.02,0.03,0.01,0.01,0.06,0,0
port_put_msg_pf,TRUE,196,934,0,0,0,34,0.02,0.02,0.04,0.11,0.01,0.01,0.09,0,0
port_read_msg_pf,TRUE,173,1124,0,0,0,17,0.02,0.02,0.04,0.06,0.01,0.02,0.1,0,0
port_send_msg_pf,TRUE,149,951,0,0,0,24,0.04,0.04,0.03,0.11,0.01,0.02,0.11,0,0
port_set_cookie_pf,TRUE,21,139,0,0,0,0,0.01,0.01,0.01,0.02,0,0.01,0.03,0,0
port_wait_any_pf,TRUE,305,1435,0,0,0,34,0.02,0.02,0.06,0.1,0.01,0.02,0.13,0,0
port_wait_pf,TRUE,190,1252,0,0,0,34,0.02,0.02,0.03,0.1,0.01,0.02,0.1,0,0
rpmb_program_key,TRUE,999,4773,0,0,2,97,0.02,0.02,1.65,2.05,0.01,131.09,132.91,0,0
rpmb_read,TRUE,1230,5647,1,0,4,119,0.02,0.02,2.81,2.22,0.01,8.99,12.22,0,0.21
rpmb_read_no_mac,TRUE,1095,5065,1,0,4,109,0.02,0.02,2.75,2.09,0.01,8.92,12.09,0,0.25
rpmb_send,TRUE,653,3217,0,24,8,24,0.01,0.01,0.54,0.61,0.01,9.18,9.92,0,0.08
rpmb_verify,TRUE,755,3648,0,4,7,61,0.02,0.02,0.55,0.47,0.01,0.05,0.71,0,0.01
rpmb_write,0,0,0,0,0,12,245,0,0,0,6.65,0,0,0,0,0
storage_ipc_indirect_handlers,TRUE,1142,5675,90,4,54,18,0.61,0.61,0.7,0.53,0.01,0.59,2.27,0,0.19
storage_ipc_msg_buffer,0,0,0,0,0,86,13,0,0,0,1.14,0,0,0,0,0
storage_ipc_port_create_destroy,TRUE,60,534,0,0,0,8,0.01,0.01,0.01,0.03,0.01,0.01,0.04,0,0
storage_multiple_ports,TRUE,94,570,0,0,0,14,0.01,0.01,0.01,0.06,0.01,0.01,0.05,0,0
tipc_ns_open_close_file,TRUE,721,3462,0,5,10,56,0.01,0.01,0.22,0.3,0.01,45.67,45.99,0,0.01
tipc_ns_open_file,TRUE,405,1906,0,3,8,26,0.01,0.01,0.11,0.15,0.01,0.04,0.2,0,0.01
tipc_ns_read_ops,0,0,0,0,0,13,84,0,0,0,0.52,0,0,0,0,0
tipc_ns_write_ops,0,0,0,0,0,14,84,0,0,0,0.47,0,0,0,0,0
